Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-12-31,18,1999-18,1999,5,4,76.0,94.81,55.19,94.19,67.5,190792000,,
2000-12-31,01,2000-01,2000,1,3,94.19,133.62,69.38,106.94,77.03,465230800,0.1411851851851853,0.39367574106867076
2001-12-31,00,2001-00,2001,1,2,104.38,120.0,63.27,92.75,67.16,759902600,-0.12813189666363756,-0.3572784163397112
2002-12-31,00,2002-00,2002,1,2,92.8,97.25,58.57,68.1,49.71,1125765800,-0.259827278141751,-0.7244931267975743
2003-12-31,00,2003-00,2003,1,2,68.1,100.78,61.02,98.73,72.72,983067800,0.46288473144236564,1.290691296264044
2004-12-31,00,2004-00,2004,1,2,98.8,110.88,83.29,104.04,77.44,908601800,0.06490649064906484,0.18098294642544802
2005-12-31,01,2005-01,2005,1,3,104.9,134.99,94.75,127.71,95.94,947414600,0.2388946280991735,0.6661252710821607
2006-12-31,01,2006-01,2006,1,3,126.7,206.7,124.23,199.35,151.0,1167932200,0.5739003543881593,1.6002433046851896
2007-12-31,00,2007-00,2007,1,3,200.6,250.7,157.38,215.05,163.97,2414238700,0.08589403973509935,0.2395038806780222
2008-12-31,00,2008-00,2008,1,2,214.8,215.05,47.41,84.39,64.9,4244211000,-0.6041958894919802,-1.6847182955804814
2009-12-31,00,2009-00,2009,1,2,84.02,193.6,59.13,168.84,131.46,4004602500,1.02557781201849,2.859684637877504
2010-12-31,01,2010-01,2010,1,4,170.05,186.41,129.5,168.16,132.17,2750970800,0.005400882397687434,0.015059628087362836
2011-12-31,01,2011-01,2011,1,3,170.55,175.34,84.27,90.43,71.9,1692929700,-0.4560036316864643,-1.271504282823372
2012-12-31,01,2012-01,2012,1,3,92.97,129.72,90.43,127.56,103.11,1280208800,0.4340751043115436,1.2103595582296165
2013-12-31,00,2013-00,2013,1,2,131.3,177.44,129.62,177.26,145.17,905996200,0.40791387838230997,1.1374125277642937
2014-12-31,00,2014-00,2014,1,2,176.95,198.06,151.65,193.83,160.82,737008700,0.10780464283254121,0.3005986258549548
2015-12-31,00,2015-00,2015,1,2,195.3,218.77,167.49,180.23,151.51,703297300,-0.057890809600795956,-0.1614206713031961
2016-12-31,01,2016-01,2016,1,4,175.79,245.57,138.2,239.45,204.42,943572100,0.34921787340769583,0.9737466783634298
2017-12-31,01,2017-01,2017,1,3,242.7,262.14,209.62,254.76,220.24,813008500,0.07738968789746603,0.2157906489561693
2018-12-31,00,2018-00,2018,1,2,257.77,275.31,151.7,167.05,146.4,849165900,-0.33527061387577184,-0.9348566367141916
2019-12-31,00,2019-00,2019,1,2,164.33,232.21,163.35,229.93,205.66,649800700,0.4047814207650273,1.1286780945287351
2020-12-31,00,2020-00,2020,1,2,231.0,263.93,130.85,263.71,241.56,908188600,0.17455995332101537,0.4867367556619117
2021-12-31,01,2021-01,2021,1,4,267.0,426.16,260.16,382.55,356.57,689796200,0.476113594966054,1.327578188074636
2022-12-31,01,2022-01,2022,1,3,389.0,412.66,277.84,343.38,328.5,659356700,-0.07872227052191716,-0.21950637487690197
2023-12-31,01,2023-01,2023,1,3,345.5,387.76,289.36,385.77,380.75,585726800,0.15905631659056318,0.44350696727359956
