Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,19.67,41.33,18.44,40.79,24.53,1582880850,,
1999-12-31,01,1999-01,1999,1,4,40.25,69.75,34.58,68.75,41.45,1388627100,0.6897676314716674,2.2717646880800384
2000-12-31,01,2000-01,2000,1,3,68.62,70.0,34.69,45.69,27.64,1741526400,-0.3331724969843185,-1.0973108611570408
2001-12-31,00,2001-00,2001,1,2,45.69,53.73,30.3,51.01,31.01,1851471200,0.12192474674384957,0.4015618037407955
2002-12-31,00,2002-00,2002,1,2,51.01,52.6,23.01,24.02,14.69,2877795100,-0.5262818445662689,-1.733320695133817
2003-12-31,00,2003-00,2003,1,2,24.21,37.89,20.1,35.49,21.9,2617314100,0.49081007488087125,1.6164936506071497
2004-12-31,00,2004-00,2004,1,2,35.75,44.3,32.34,42.74,26.6,1785756000,0.21461187214611877,0.7068288660401236
2005-12-31,01,2005-01,2005,1,3,42.99,43.98,34.56,40.48,25.44,1975207900,-0.043609022556390986,-0.14362726374086784
2006-12-31,01,2006-01,2006,1,3,40.39,43.95,32.85,40.16,25.7,3030296300,0.010220125786163381,0.03366020643677579
2007-12-31,00,2007-00,2007,1,3,41.3,42.01,25.57,26.94,17.69,4637940200,-0.31167315175097265,-1.026502300288868
2008-12-31,00,2008-00,2008,1,2,27.13,31.08,17.05,23.02,15.68,5212146400,-0.11362351611079713,-0.3742215202027857
2009-12-31,00,2009-00,2009,1,2,23.07,29.44,17.49,28.93,20.47,4415795600,0.30548469387755106,1.0061204797611132
2010-12-31,01,2010-01,2010,1,4,29.15,37.03,26.62,35.06,25.58,3979062900,0.24963361016121155,0.8221737214780757
2011-12-31,01,2011-01,2011,1,3,35.2,42.47,28.13,42.04,31.59,2932559700,0.23494917904612977,0.7738102283976428
2012-12-31,01,2012-01,2012,1,3,42.41,65.92,41.92,61.85,47.49,2391465700,0.50332383665717,1.6577079970353623
2013-12-31,00,2013-00,2013,1,2,63.57,82.47,62.38,82.34,64.54,1763669000,0.3590229522004633,1.182449897335842
2014-12-31,00,2014-00,2014,1,2,82.11,106.02,73.96,104.97,84.06,1621792500,0.30244809420514396,0.9961193727319365
2015-12-31,00,2015-00,2015,1,2,105.16,135.47,92.17,132.25,108.04,1288726600,0.2852724244587199,0.939550931065863
2016-12-31,01,2016-01,2016,1,4,130.11,139.0,109.62,134.08,111.86,1294453100,0.03535727508330244,0.11644995406583965
2017-12-31,01,2017-01,2017,1,3,135.1,191.49,133.05,189.53,161.77,1127421300,0.4461827284105133,1.4695125149198094
2018-12-31,00,2018-00,2018,1,2,190.21,215.43,158.09,171.82,149.96,1250490400,-0.07300488347654077,-0.24044317067408744
2019-12-31,00,2019-00,2019,1,2,169.71,239.31,168.21,218.38,195.79,1056470300,0.30561483062149897,1.0065490879561538
2020-12-31,00,2020-00,2020,1,2,219.08,292.95,140.63,265.62,243.77,1200072000,0.2450584810255887,0.8071054342180043
2021-12-31,01,2021-01,2021,1,4,266.01,420.61,246.59,415.01,388.82,959473000,0.5950281002584403,1.9597379826281365
2022-12-31,01,2022-01,2022,1,3,416.57,417.84,264.51,315.86,303.37,1074111900,-0.21976750167172465,-0.7238090439532349
2023-12-31,01,2023-01,2023,1,3,317.42,354.92,274.26,346.55,342.11,914857700,0.1276988495896101,0.42057893697790366
