Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,16.91,17.06,8.06,9.69,3.8,157427400,,
1999-12-31,01,1999-01,1999,1,4,9.81,15.19,8.0,10.88,4.32,109464200,0.1368421052631581,0.3067050843767075
2000-12-31,01,2000-01,2000,1,3,10.59,22.41,9.88,21.94,8.8,158745800,1.0370370370370372,2.3243177334531078
2001-12-31,00,2001-00,2001,1,2,22.06,29.36,11.7,16.69,6.74,237599000,-0.23409090909090913,-0.5246694494101537
2002-12-31,00,2002-00,2002,1,2,16.4,21.62,11.73,13.95,7.78,180522800,0.1543026706231454,0.3458395610182453
2003-12-31,00,2003-00,2003,1,2,13.95,16.4,11.3,13.97,7.88,170816400,0.01285347043701801,0.02880856537056279
2004-12-31,00,2004-00,2004,1,2,14.0,17.12,11.97,17.02,9.72,190313000,0.23350253807106602,0.5233507296861422
2005-12-31,01,2005-01,2005,1,3,16.97,32.81,15.68,30.95,17.79,283212600,0.8302469135802466,1.860837709222874
2006-12-31,01,2006-01,2006,1,3,31.27,40.24,21.26,24.47,14.15,387154600,-0.2046093310848791,-0.4585922003608997
2007-12-31,00,2007-00,2007,1,3,24.22,40.6,22.72,40.07,23.31,311671700,0.6473498233215547,1.4509092928763818
2008-12-31,00,2008-00,2008,1,2,40.1,77.24,17.01,22.75,13.29,473246600,-0.4298584298584298,-0.9634444438444623
2009-12-31,00,2009-00,2009,1,2,23.1,46.24,19.5,39.88,23.46,522485200,0.7652370203160272,1.7151306203076666
2010-12-31,01,2010-01,2010,1,4,40.71,49.46,32.34,48.48,28.67,473579300,0.222080136402387,0.4977496278846191
2011-12-31,01,2011-01,2011,1,3,49.1,73.4,35.58,58.36,34.68,398654200,0.20962678758283904,0.4698378576504004
2012-12-31,01,2012-01,2012,1,3,60.29,68.6,38.71,56.01,33.47,401593000,-0.03489042675893894,-0.07820013629913616
2013-12-31,00,2013-00,2013,1,2,57.62,84.87,55.78,84.08,51.19,302042500,0.5294293397072005,1.1866133599313937
2014-12-31,00,2014-00,2014,1,2,83.95,118.95,59.24,67.42,42.2,341862000,-0.17562023832779827,-0.39361876164504256
2015-12-31,00,2015-00,2015,1,2,67.02,79.9,46.16,53.55,34.98,602918300,-0.17109004739336509,-0.38346521577466924
2016-12-31,01,2016-01,2016,1,4,53.31,85.78,40.02,77.4,53.06,510860700,0.5168667810177245,1.1584568169183096
2017-12-31,01,2017-01,2017,1,3,78.52,81.3,42.16,64.64,46.57,456378600,-0.12231436110064087,-0.2741439586135563
2018-12-31,00,2018-00,2018,1,2,65.17,75.02,44.56,47.94,36.05,365385200,-0.22589649989263483,-0.5063032677459591
2019-12-31,00,2019-00,2019,1,2,47.17,64.8,35.74,45.43,36.23,371014800,0.0049930651872398535,0.01119098888902506
2020-12-31,00,2020-00,2020,1,2,45.86,47.33,12.4,23.16,20.19,630762100,-0.4427270218051338,-0.9922869011512476
2021-12-31,01,2021-01,2021,1,4,23.31,36.26,20.93,23.7,21.44,338248700,0.06191183754333829,0.13876339684434016
2022-12-31,01,2022-01,2022,1,3,23.95,54.59,23.83,49.57,46.14,304877000,1.15205223880597,2.5821020396453176
2023-12-31,01,2023-01,2023,1,3,48.9,51.25,30.41,36.22,35.43,352506700,-0.23211963589076723,-0.5202512221984605
