Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,49.95,90.79,45.71,88.13,47.36,2177041050,,
1999-12-31,01,1999-01,1999,1,4,88.43,133.07,77.32,103.13,55.69,2489027085,0.17588682432432434,0.801456793054988
2000-12-31,01,2000-01,2000,1,3,107.49,129.0,76.54,81.26,44.08,1917220400,-0.20847548931585558,-0.9499523215540145
2001-12-31,00,2001-00,2001,1,2,80.78,119.22,80.07,115.64,63.04,2222813066,0.4301270417422869,1.95994350802164
2002-12-31,00,2002-00,2002,1,2,115.3,120.83,51.63,74.09,40.69,2455219630,-0.3545368020304569,-1.615504341879263
2003-12-31,00,2003-00,2003,1,2,75.33,90.38,69.95,88.6,49.03,1938680449,0.20496436470877377,0.9339533137919586
2004-12-31,00,2004-00,2004,1,2,88.78,96.01,78.3,94.24,52.55,1376794987,0.07179277993065458,0.3271354257987337
2005-12-31,01,2005-01,2005,1,3,94.62,94.74,68.69,78.59,44.23,1609928835,-0.158325404376784,-0.7214353396759977
2006-12-31,01,2006-01,2006,1,3,78.82,93.58,69.53,92.88,52.98,1522748186,0.197829527470043,0.9014422727046606
2007-12-31,00,2007-00,2007,1,3,92.91,116.12,84.87,103.35,59.78,2112007263,0.12835032087580234,0.5848490184063955
2008-12-31,00,2008-00,2008,1,2,104.2,125.17,66.44,80.46,47.35,2486832781,-0.20792907326865173,-0.9474624883641318
2009-12-31,00,2009-00,2009,1,2,80.2,127.01,78.16,125.14,75.12,2180104990,0.5864836325237592,2.672407629777915
2010-12-31,01,2010-01,2010,1,4,125.41,141.04,110.9,140.31,85.84,1693003193,0.14270500532481356,0.6502584622804117
2011-12-31,01,2011-01,2011,1,3,140.74,186.33,140.19,175.79,109.37,1512710671,0.2741146318732526,1.2490477023195838
2012-12-31,01,2012-01,2012,1,3,178.52,202.48,169.55,183.13,115.85,1067933049,0.05924842278504161,0.2699750313946544
2013-12-31,00,2013-00,2013,1,2,185.55,206.41,164.98,179.32,115.64,1119177839,-0.0018126888217522286,-0.008259810110672693
2014-12-31,00,2014-00,2014,1,2,178.98,190.45,143.88,153.38,101.32,1191995452,-0.12383258388101015,-0.564263218318064
2015-12-31,00,2015-00,2015,1,2,154.22,168.55,125.86,131.57,89.74,1156439400,-0.11429135412554281,-0.5207870601067058
2016-12-31,01,2016-01,2016,1,4,129.64,162.48,111.76,158.69,112.37,1065461565,0.25217294406061974,1.1490668491995104
2017-12-31,01,2017-01,2017,1,3,159.66,174.75,133.01,146.67,107.89,1120440154,-0.039868292248820936,-0.18166632874899288
2018-12-31,00,2018-00,2018,1,2,147.71,163.6,101.28,108.67,83.55,1431514599,-0.22560014829919361,-1.0279836028831888
2019-12-31,00,2019-00,2019,1,2,107.08,146.22,106.78,128.15,103.25,990437937,0.23578695391980853,1.0744014320499609
2020-12-31,00,2020-00,2020,1,2,129.06,151.77,86.58,120.34,102.05,1468958052,-0.011622276029055745,-0.052958782501360394
2021-12-31,01,2021-01,2021,1,4,120.32,146.12,112.2,133.66,119.04,1402480072,0.166487016168545,0.7586250452603285
2022-12-31,01,2022-01,2022,1,3,134.07,153.21,115.55,140.89,131.7,1256844400,0.10635080645161277,0.48460466896799614
2023-12-31,01,2023-01,2023,1,3,141.1,166.34,120.55,163.55,160.48,1114005600,0.218526955201215,0.9957534533040958
