Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,17.67,31.55,16.41,29.64,16.92,17367297600,,
1999-12-31,01,1999-01,1999,1,4,29.98,44.75,25.06,41.16,23.53,13399583600,0.3906619385342789,1.0077074326881523
2000-12-31,01,2000-01,2000,1,3,41.63,75.83,29.81,30.06,17.21,13238366000,-0.26859328516787084,-0.6928329154595703
2001-12-31,00,2001-00,2001,1,2,30.69,38.59,18.96,31.45,18.05,12936547700,0.04880883207437536,0.12590175292405703
2002-12-31,00,2002-00,2002,1,2,31.9,36.78,12.95,15.57,8.97,14525757100,-0.5030470914127423,-1.2976034852811655
2003-12-31,00,2003-00,2003,1,2,16.02,34.51,14.88,32.05,18.53,14380315600,1.0657748049052396,2.7491523656086536
2004-12-31,00,2004-00,2004,1,2,32.36,34.6,19.64,23.39,13.61,16478927100,-0.26551538046411227,-0.6848934999671875
2005-12-31,01,2005-01,2005,1,3,23.64,28.84,21.89,24.96,14.71,14749705300,0.08082292432035287,0.2084816910364691
2006-12-31,01,2006-01,2006,1,3,25.19,26.63,16.75,20.25,12.18,17797122700,-0.17199184228416053,-0.4436507392599987
2007-12-31,00,2007-00,2007,1,3,20.45,27.99,18.75,26.66,16.35,16361470900,0.3423645320197046,0.8831248954005401
2008-12-31,00,2008-00,2008,1,2,26.28,26.34,12.06,14.66,9.24,18140836300,-0.434862385321101,-1.121721915190162
2009-12-31,00,2009-00,2009,1,2,14.69,21.27,12.05,20.4,13.29,16209481200,0.4383116883116882,1.1306193477740718
2010-12-31,01,2010-01,2010,1,4,20.79,24.37,17.6,21.03,14.13,16814658800,0.06320541760722365,0.1630375596556078
2011-12-31,01,2011-01,2011,1,3,21.01,25.78,19.16,24.25,16.87,15479327000,0.19391365888181178,0.5001977824819769
2012-12-31,01,2012-01,2012,1,3,24.62,29.27,19.23,20.62,14.84,10573755900,-0.1203319502074689,-0.3103947138256651
2013-12-31,00,2013-00,2013,1,2,21.15,26.04,20.1,25.96,19.43,9856167600,0.309299191374663,0.797833275599062
2014-12-31,00,2014-00,2014,1,2,25.78,37.9,23.5,36.29,28.02,7965304500,0.44209984559958837,1.1403908506482219
2015-12-31,00,2015-00,2015,1,2,36.67,37.49,24.87,34.45,27.4,7633745600,-0.02212705210563881,-0.05707644556822815
2016-12-31,01,2016-01,2016,1,4,33.88,38.36,27.68,36.27,29.8,5763208600,0.08759124087591252,0.22594047631105574
2017-12-31,01,2017-01,2017,1,3,36.61,47.64,33.23,46.16,39.0,5999715600,0.3087248322147651,0.7963517235527244
2018-12-31,00,2018-00,2018,1,2,46.38,57.6,42.04,46.93,40.65,7379750000,0.04230769230769238,0.10913214673101318
2019-12-31,00,2019-00,2019,1,2,45.96,60.48,42.86,59.85,53.13,5519974300,0.30701107011070117,0.791931096305023
2020-12-31,00,2020-00,2020,1,2,60.24,69.29,43.61,49.82,45.32,7989672500,-0.14699792960662528,-0.37917926381601735
2021-12-31,01,2021-01,2021,1,4,49.89,68.49,47.87,51.5,48.07,7243336900,0.06067961165048552,0.15652227576160316
2022-12-31,01,2022-01,2022,1,3,51.65,56.28,24.59,26.43,25.65,9802928800,-0.46640316205533605,-1.2030809420436506
2023-12-31,01,2023-01,2023,1,3,27.05,51.28,24.73,50.25,49.9,10458813900,0.9454191033138402,2.4386963853944246
