Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,36.21,51.71,23.71,47.33,22.57,1687000650,,
1999-12-31,01,1999-01,1999,1,4,46.75,60.75,43.88,51.79,25.21,1368552300,0.11696942844483837,0.48205034851117723
2000-12-31,01,2000-01,2000,1,3,49.83,67.17,32.38,45.44,22.67,1967503700,-0.10075366917889728,-0.41522252427155903
2001-12-31,00,2001-00,2001,1,2,44.62,57.33,29.04,36.35,18.74,2059046200,-0.17335685928539935,-0.7144322712899218
2002-12-31,00,2002-00,2002,1,2,36.49,39.68,15.26,24.0,12.97,2966392100,-0.3078975453575239,-1.268896676838297
2003-12-31,00,2003-00,2003,1,2,25.25,38.26,20.13,36.73,20.83,2316111000,0.6060138781804161,2.4974833600836557
2004-12-31,00,2004-00,2004,1,2,36.56,43.84,34.62,39.01,22.9,2487704700,0.09937590014402309,0.4095445103472436
2005-12-31,01,2005-01,2005,1,3,39.48,40.56,32.92,39.69,24.21,2672214600,0.057205240174672545,0.2357522502204153
2006-12-31,01,2006-01,2006,1,3,39.83,49.0,37.88,48.3,30.42,2705876700,0.2565055762081785,1.0571018773894774
2007-12-31,00,2007-00,2007,1,3,48.0,53.25,40.15,43.65,28.33,4752487100,-0.0687047994740303,-0.28314383485652
2008-12-31,00,2008-00,2008,1,2,43.55,50.63,19.69,31.53,21.21,12395426900,-0.25132368513942804,-1.0357464477797984
2009-12-31,00,2009-00,2009,1,2,31.19,47.47,14.96,41.67,28.49,16068859200,0.34323432343234317,1.4145253801046542
2010-12-31,01,2010-01,2010,1,4,41.79,48.2,35.16,42.42,29.15,10370153600,0.02316602316602312,0.09547101058175886
2011-12-31,01,2011-01,2011,1,3,43.0,48.36,27.85,33.25,23.34,9690046600,-0.19931389365351626,-0.821405500362065
2012-12-31,01,2012-01,2012,1,3,34.06,46.49,30.83,43.97,31.79,8269140600,0.3620394173093402,1.4920242802678432
2013-12-31,00,2013-00,2013,1,2,44.98,58.55,44.2,58.48,43.47,5323533600,0.3674111355772256,1.5141620191417164
2014-12-31,00,2014-00,2014,1,2,58.31,63.49,52.97,62.58,47.76,3982504800,0.09868875086266393,0.4067126545797804
2015-12-31,00,2015-00,2015,1,2,62.18,70.61,50.07,66.03,51.76,3999543100,0.08375209380234505,0.34515622195247897
2016-12-31,01,2016-01,2016,1,4,63.95,87.39,52.5,86.29,69.64,4298014400,0.3454404945904175,1.4236173761053574
2017-12-31,01,2017-01,2017,1,3,87.34,108.46,81.64,106.94,88.28,3500746300,0.26766226306720275,1.1030804280255435
2018-12-31,00,2018-00,2018,1,2,107.63,119.33,91.11,97.62,82.43,3809327400,-0.06626642501132751,-0.2730948906565323
2019-12-31,00,2019-00,2019,1,2,95.95,140.08,95.94,139.4,121.38,2965728900,0.4725221399975734,1.9473418421677258
2020-12-31,00,2020-00,2020,1,2,139.79,141.1,76.91,127.07,114.66,4865182000,-0.05536332179930792,-0.228161400144642
2021-12-31,01,2021-01,2021,1,4,127.5,172.96,123.77,158.35,146.48,3252213700,0.27751613465899183,1.1436898616028512
2022-12-31,01,2022-01,2022,1,3,159.86,169.81,101.28,134.1,127.96,3433043000,-0.12643364281813219,-0.5210539402845804
2023-12-31,01,2023-01,2023,1,3,135.24,170.69,123.11,170.1,167.15,2686395200,0.3062675836198814,1.2621793351009132
