Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,16.2,36.0,15.55,34.67,21.42,15014506000,,
1999-12-31,01,1999-01,1999,1,4,34.9,59.97,34.0,58.38,36.06,15074828200,0.6834733893557423,2.007213338435685
2000-12-31,01,2000-01,2000,1,3,58.69,59.31,20.16,21.69,13.4,20095843800,-0.6283971159179146,-1.845466250110936
2001-12-31,00,2001-00,2001,1,2,22.06,38.08,21.44,33.12,20.46,18918937600,0.526865671641791,1.5472903848972561
2002-12-31,00,2002-00,2002,1,2,33.33,35.31,20.7,25.85,15.97,19379726800,-0.21945259042033238,-0.6444847356254333
2003-12-31,00,2003-00,2003,1,2,26.15,30.0,22.55,27.37,17.06,16398810300,0.06825297432686273,0.2004442054224305
2004-12-31,00,2004-00,2004,1,2,27.58,30.2,24.01,26.72,18.61,16832020700,0.09085580304806573,0.26682381873603944
2005-12-31,01,2005-01,2005,1,3,26.8,28.25,23.82,26.15,18.44,16786350700,-0.009134873723804282,-0.026827145970714682
2006-12-31,01,2006-01,2006,1,3,26.25,30.26,21.46,29.86,21.36,16832459500,0.15835140997830788,0.4650438001224382
2007-12-31,00,2007-00,2007,1,3,29.91,37.5,26.6,35.6,25.81,15661695600,0.20833333333333326,0.6118298854350575
2008-12-31,00,2008-00,2008,1,2,35.79,35.96,17.5,19.44,14.35,21296026200,-0.4440139480821387,-1.3039728143359801
2009-12-31,00,2009-00,2009,1,2,19.53,31.5,14.87,30.48,23.03,15732659600,0.6048780487804879,1.7763958429802262
2010-12-31,01,2010-01,2010,1,4,30.62,31.58,22.73,27.91,21.53,15892924000,-0.0651324359531047,-0.19127985997101252
2011-12-31,01,2011-01,2011,1,3,28.05,29.46,23.65,25.96,20.56,15292282000,-0.045053413841152024,-0.13231212013867336
2012-12-31,01,2012-01,2012,1,3,26.55,32.95,26.26,26.71,21.75,11984490100,0.05787937743190663,0.16997919774343628
2013-12-31,00,2013-00,2013,1,2,27.25,38.98,26.28,37.41,31.39,12251098000,0.4432183908045977,1.3016364348897005
2014-12-31,00,2014-00,2014,1,2,37.35,50.05,34.63,46.45,40.04,8399600600,0.27556546670914295,0.809276102047263
2015-12-31,00,2015-00,2015,1,2,46.66,56.85,39.72,55.48,49.12,9059455900,0.22677322677322675,0.665983859310728
2016-12-31,01,2016-01,2016,1,4,54.32,64.1,48.04,62.14,56.53,7819726800,0.15085504885993495,0.4430286108541153
2017-12-31,01,2017-01,2017,1,3,62.79,87.5,61.95,85.54,79.56,5631478600,0.40739430390942855,1.1964288493814434
2018-12-31,00,2018-00,2018,1,2,86.13,116.18,83.83,101.57,96.1,7929137400,0.20789341377576664,0.6105379369590256
2019-12-31,00,2019-00,2019,1,2,99.55,159.55,97.2,157.7,151.41,6194410500,0.5755463059313215,1.6902548660185492
2020-12-31,00,2020-00,2020,1,2,158.78,232.86,132.52,222.42,215.81,9527876900,0.425335182616736,1.249117325049105
2021-12-31,01,2021-01,2021,1,4,222.53,349.67,211.94,336.32,329.07,6555279200,0.5248134933506325,1.5412635816551514
2022-12-31,01,2022-01,2022,1,3,335.35,338.0,213.43,239.82,236.85,7836049700,-0.2802443249156714,-0.8230168953935055
2023-12-31,01,2023-01,2023,1,3,243.08,384.3,219.35,376.04,374.67,6918889900,0.5818872704243192,1.7088769055991821
