Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,39.66,47.41,32.56,45.66,23.6,1166302000,,
1999-12-31,01,1999-01,1999,1,4,45.0,57.81,41.0,54.78,28.69,1184182400,0.21567796610169498,1.60610871326699
2000-12-31,01,2000-01,2000,1,3,53.91,59.19,26.38,39.22,20.92,2474217800,-0.27082607180202156,-2.0167851244294535
2001-12-31,00,2001-00,2001,1,2,39.06,40.86,27.98,39.56,21.57,1672617800,0.031070745697896696,0.23137734602692245
2002-12-31,00,2002-00,2002,1,2,39.45,47.38,37.04,42.97,24.05,1974544800,0.11497450162262401,0.8561910713334332
2003-12-31,00,2003-00,2003,1,2,43.05,49.97,39.78,49.94,28.49,1674395600,0.18461538461538463,1.3747921644165377
2004-12-31,00,2004-00,2004,1,2,49.83,57.4,48.89,55.08,32.02,1472901800,0.12390312390312408,0.9226806543973762
2005-12-31,01,2005-01,2005,1,3,55.65,59.7,51.16,57.88,34.32,2036185300,0.07183010618363506,0.5349037803983757
2006-12-31,01,2006-01,2006,1,3,58.3,64.73,52.75,64.27,38.91,2085362500,0.13374125874125853,0.9959431872903878
2007-12-31,00,2007-00,2007,1,3,63.72,75.18,60.42,73.42,45.39,2740117800,0.16653816499614504,1.240174890028797
2008-12-31,00,2008-00,2008,1,2,73.59,73.81,53.77,61.82,39.12,4147645500,-0.13813615333773965,-1.0286710483365649
2009-12-31,00,2009-00,2009,1,2,61.69,63.48,43.93,60.63,39.58,3361518200,0.011758691206543936,0.08756451456214716
2010-12-31,01,2010-01,2010,1,4,61.11,65.38,39.37,64.33,43.29,3015919100,0.09373420919656406,0.6980190551815911
2011-12-31,01,2011-01,2011,1,3,64.39,67.72,57.56,66.71,46.35,2643687100,0.0706860706860708,0.5263843872766031
2012-12-31,01,2012-01,2012,1,3,66.3,70.99,59.07,67.89,48.76,2709943700,0.051995685005393755,0.38720099344813136
2013-12-31,00,2013-00,2013,1,2,68.65,85.82,68.35,81.41,60.29,2180634100,0.23646431501230514,1.7609003069831384
2014-12-31,00,2014-00,2014,1,2,81.33,93.89,75.26,91.09,69.59,2043376300,0.15425443688837293,1.1487005354533606
2015-12-31,00,2015-00,2015,1,2,90.84,91.79,65.02,79.41,62.65,2224820300,-0.09972697226613025,-0.7426459086174982
2016-12-31,01,2016-01,2016,1,4,78.36,90.33,74.46,84.08,68.51,3027448000,0.09353551476456512,0.6965394192953706
2017-12-31,01,2017-01,2017,1,3,83.88,94.67,83.24,91.88,77.21,1832769500,0.12698876076485166,0.9456587468709566
2018-12-31,00,2018-00,2018,1,2,91.92,96.9,70.73,91.92,79.97,2381829600,0.03574666493977463,0.26619793884247156
2019-12-31,00,2019-00,2019,1,2,91.03,126.6,89.08,124.9,111.71,1907446100,0.39689883706389883,2.9556226443330393
2020-12-31,00,2020-00,2020,1,2,124.5,146.92,94.34,139.14,127.53,2024186300,0.1416166860621253,1.0545898477229187
2021-12-31,01,2021-01,2021,1,4,139.66,164.98,121.54,163.58,153.7,1953733700,0.20520661805065465,1.52813077398831
2022-12-31,01,2022-01,2022,1,3,161.69,165.35,122.18,151.56,145.94,1838648900,-0.050487963565387095,-0.37597330716314314
2023-12-31,01,2023-01,2023,1,3,150.95,158.38,135.83,146.54,144.69,1573166300,-0.008565163765931194,-0.06378298350854435
