Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,11.53,17.7,10.23,17.11,10.07,1225368791,,
1999-12-31,01,1999-01,1999,1,4,17.19,23.9,16.24,20.45,12.17,1319119471,0.20854021847070503,0.9670881709346405
2000-12-31,01,2000-01,2000,1,3,20.43,25.09,14.63,24.74,14.92,1510388989,0.22596548890714874,1.0478964343861774
2001-12-31,00,2001-00,2001,1,2,24.47,27.53,12.62,20.34,12.42,1989043772,-0.1675603217158177,-0.7770472584986461
2002-12-31,00,2002-00,2002,1,2,20.36,24.47,15.37,19.49,12.09,2157943999,-0.02657004830917875,-0.12321642131864524
2003-12-31,00,2003-00,2003,1,2,19.6,30.44,16.84,29.82,18.78,1821110004,0.5533498759305211,2.566114696363628
2004-12-31,00,2004-00,2004,1,2,29.84,33.44,25.38,32.52,20.8,1723331519,0.10756123535676254,0.49880641311044943
2005-12-31,01,2005-01,2005,1,3,32.48,37.06,30.48,35.19,22.88,1519323625,0.09999999999999987,0.4637418038719914
2006-12-31,01,2006-01,2006,1,3,35.53,42.46,34.11,39.35,26.01,1447426309,0.13680069930069938,0.6344020306465629
2007-12-31,00,2007-00,2007,1,3,39.4,51.92,38.92,48.17,32.37,1828734356,0.2445213379469433,1.1339476634470844
2008-12-31,00,2008-00,2008,1,2,48.23,48.55,26.28,33.73,23.15,2767532393,-0.28483163422922453,-1.32088335857268
2009-12-31,00,2009-00,2009,1,2,33.64,44.61,23.54,43.68,30.83,2369190586,0.3317494600431965,1.5384609303399126
2010-12-31,01,2010-01,2010,1,4,44.19,50.16,39.57,49.54,35.82,1900878447,0.16185533571196897,0.7505908534937533
2011-12-31,01,2011-01,2011,1,3,49.84,57.79,42.08,46.0,34.04,1871011756,-0.04969290898939138,-0.23044679254387085
2012-12-31,01,2012-01,2012,1,3,47.14,55.07,44.5,51.61,39.19,1649701408,0.15129259694477093,0.7016070181964629
2013-12-31,00,2013-00,2013,1,2,52.5,71.71,52.3,71.62,55.6,1285077550,0.41872926767032426,1.9418226592343435
2014-12-31,00,2014-00,2014,1,2,71.05,75.93,61.23,72.37,57.4,1529111560,0.03237410071942448,0.15013223866359462
2015-12-31,00,2015-00,2015,1,2,72.46,78.32,53.81,60.46,49.1,1813579578,-0.14459930313588842,-0.6705674167486988
2016-12-31,01,2016-01,2016,1,4,59.44,70.29,52.48,68.99,57.52,1740791467,0.17148676171079424,0.7952558021593017
2017-12-31,01,2017-01,2017,1,3,69.47,80.86,67.24,80.28,68.53,1212463739,0.19141168289290666,0.8876559910693025
2018-12-31,00,2018-00,2018,1,2,80.49,90.72,63.23,67.01,58.48,1842428663,-0.14665110170728157,-0.6800824644554971
2019-12-31,00,2019-00,2019,1,2,66.18,95.07,64.97,94.25,84.11,1350333644,0.43826949384404923,2.0324388565730427
2020-12-31,00,2020-00,2020,1,2,94.24,99.71,43.44,71.51,65.64,2623051981,-0.21959338960884556,-1.0183463461557118
2021-12-31,01,2021-01,2021,1,4,71.38,92.32,65.02,86.06,80.92,1464107500,0.2327848872638636,1.079520835338824
2022-12-31,01,2022-01,2022,1,3,86.08,106.02,80.27,100.92,97.11,1318403000,0.20007414730598128,0.927827459798264
2023-12-31,01,2023-01,2023,1,3,100.99,104.91,68.56,84.14,83.09,1695098900,-0.1443723612398311,-0.6695149923061813
