Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,41.12,47.19,28.06,34.81,18.19,184367800,,
1999-12-31,01,1999-01,1999,1,4,34.75,37.06,25.38,33.69,18.19,196642900,0.0,0.0
2000-12-31,01,2000-01,2000,1,3,33.25,57.0,21.31,54.31,30.14,243111500,0.6569543705332599,3.7306312225332796
2001-12-31,00,2001-00,2001,1,2,54.44,54.44,34.0,43.97,25.04,341854800,-0.16921035169210352,-0.9608908160333781
2002-12-31,00,2002-00,2002,1,2,44.15,50.6,23.0,34.05,20.03,387498000,-0.20007987220447276,-1.1361888309542574
2003-12-31,00,2003-00,2003,1,2,34.05,39.74,29.0,39.65,24.08,343718800,0.2021967049425859,1.148209638882326
2004-12-31,00,2004-00,2004,1,2,39.75,43.63,30.23,37.07,23.2,576904300,-0.03654485049833878,-0.20752637687949016
2005-12-31,01,2005-01,2005,1,3,37.45,46.97,33.7,44.67,28.58,644872200,0.2318965517241378,1.3168654552943162
2006-12-31,01,2006-01,2006,1,3,44.85,55.0,40.23,53.69,35.14,646355100,0.22953114065780267,1.3034330515018995
2007-12-31,00,2007-00,2007,1,3,53.69,56.99,47.26,53.8,35.97,686869700,0.023619806488332395,0.13412923561805554
2008-12-31,00,2008-00,2008,1,2,53.66,58.57,28.91,45.2,31.02,1184881400,-0.13761467889908252,-0.7814692173568809
2009-12-31,00,2009-00,2009,1,2,45.26,54.47,33.07,49.86,35.2,1519578400,0.13475177304964547,0.7652117017239253
2010-12-31,01,2010-01,2010,1,4,50.15,57.55,47.35,55.71,40.42,1146844000,0.14829545454545445,0.8421218850221931
2011-12-31,01,2011-01,2011,1,3,56.09,64.17,45.97,59.17,44.18,1061595400,0.09302325581395343,0.5282489593296124
2012-12-31,01,2012-01,2012,1,3,60.11,74.7,55.86,71.82,55.16,675368100,0.2485287460389316,1.4113143031795117
2013-12-31,00,2013-00,2013,1,2,73.09,91.68,72.5,90.54,71.21,497933100,0.29097171863669313,1.6523342063149566
2014-12-31,00,2014-00,2014,1,2,90.51,107.94,79.89,105.85,85.17,548808800,0.19603988203903966,1.1132470344978944
2015-12-31,00,2015-00,2015,1,2,106.29,116.48,95.21,112.86,92.92,497516500,0.09099448162498525,0.5167282073987122
2016-12-31,01,2016-01,2016,1,4,110.71,123.09,101.23,122.42,103.11,425428000,0.10966422729229452,0.6227476498855374
2017-12-31,01,2017-01,2017,1,3,123.07,137.95,113.76,135.64,116.89,371591900,0.13364368150518868,0.7589192085180119
2018-12-31,00,2018-00,2018,1,2,136.3,150.55,111.08,119.75,105.62,413801700,-0.09641543331337155,-0.5475120373443485
2019-12-31,00,2019-00,2019,1,2,117.49,155.09,115.06,136.95,123.57,327765900,0.16994887331944697,0.9650846413050589
2020-12-31,00,2020-00,2020,1,2,137.52,141.87,76.99,140.37,130.13,450357800,0.05308731892854257,0.30146570050922
2021-12-31,01,2021-01,2021,1,4,140.63,163.29,133.12,156.43,148.3,319702000,0.1396296011680629,0.7929113087178595
2022-12-31,01,2022-01,2022,1,3,156.92,191.22,149.65,187.49,181.56,338641000,0.22427511800404587,1.2735858001585056
2023-12-31,01,2023-01,2023,1,3,186.71,194.51,157.33,190.49,188.69,336912800,0.03927076448556943,0.22300596006948892
