Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2008-12-31,11,2008-11,2008,3,19,14.88,22.46,10.89,13.11,11.74,10762452000,,
2009-12-31,00,2009-00,2009,1,2,13.23,22.42,10.44,21.86,19.71,7979410000,0.6788756388415673,2.7694462229265295
2010-12-31,01,2010-01,2010,1,4,22.0,24.3,16.23,17.59,15.97,6872832400,-0.18975139523084728,-0.774083285288941
2011-12-31,01,2011-01,2011,1,3,17.6,25.86,16.88,25.38,23.22,5697984000,0.45397620538509686,1.8519779107815189
2012-12-31,01,2012-01,2012,1,3,25.85,38.13,24.58,37.9,34.93,3323459600,0.5043066322136089,2.057298889328272
2013-12-31,00,2013-00,2013,1,2,38.54,55.68,38.48,55.67,51.72,3259514400,0.4806756369882623,1.9608971822608248
2014-12-31,00,2014-00,2014,1,2,55.38,67.33,48.71,65.55,61.36,2946979200,0.18638824439288482,0.7603634449346446
2015-12-31,00,2015-00,2015,1,2,65.85,81.01,60.0,77.55,73.1,2241963600,0.19132985658409374,0.7805225557276968
2016-12-31,01,2016-01,2016,1,4,76.06,83.96,66.12,78.02,74.1,2394317100,0.013679890560875485,0.05580657056499044
2017-12-31,01,2017-01,2017,1,3,78.76,114.92,78.49,114.02,109.06,1927191200,0.4717948717948719,1.924668453147049
2018-12-31,00,2018-00,2018,1,2,114.57,151.56,111.02,131.94,127.04,2147651800,0.16486337795708783,0.6725536066683344
2019-12-31,00,2019-00,2019,1,2,130.0,189.89,127.88,187.9,182.09,1904911500,0.4333280856423174,1.7677447258498078
2020-12-31,00,2020-00,2020,1,2,189.0,220.39,133.93,218.73,213.27,2462070000,0.1712340051622825,0.6985423274909074
2021-12-31,01,2021-01,2021,1,4,220.25,252.67,190.1,216.71,212.6,2201286600,-0.0031415576499274067,-0.012815859739117625
2022-12-31,01,2022-01,2022,1,3,217.52,235.85,174.6,207.76,205.36,1884574000,-0.0340545625587958,-0.13892423627515432
2023-12-31,01,2023-01,2023,1,3,209.28,263.25,206.16,260.35,259.39,1492772700,0.26309894818854684,1.073301716290868
