Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,15.81,30.22,14.78,29.28,17.42,423106600,,
1999-12-31,01,1999-01,1999,1,4,29.0,33.94,22.69,29.25,17.49,573996100,0.0040183696900113475,0.015570696619802612
2000-12-31,01,2000-01,2000,1,3,28.5,45.75,22.06,41.81,25.1,549306500,0.4351057747284164,1.6859822610799202
2001-12-31,00,2001-00,2001,1,2,40.5,45.29,28.7,33.66,20.29,704292600,-0.19163346613545829,-0.7425565076338241
2002-12-31,00,2002-00,2002,1,2,33.6,40.7,27.7,29.19,17.66,749803300,-0.12962050271069492,-0.502263773398319
2003-12-31,00,2003-00,2003,1,2,29.6,37.42,26.9,36.38,22.13,831676000,0.253114382785957,0.980787624957821
2004-12-31,00,2004-00,2004,1,2,36.43,39.51,32.0,38.37,23.46,695239500,0.060099412562133026,0.23287795604258718
2005-12-31,01,2005-01,2005,1,3,39.75,49.01,39.66,44.26,27.21,793391600,0.15984654731457804,0.6193860410964801
2006-12-31,01,2006-01,2006,1,3,44.63,51.6,39.55,45.89,28.39,1201892600,0.04336640940830572,0.1680395922917125
2007-12-31,00,2007-00,2007,1,3,45.89,49.1,35.8,38.08,23.75,1580730100,-0.16343783022190916,-0.6333018280796777
2008-12-31,00,2008-00,2008,1,2,37.99,39.0,21.28,24.67,15.59,1885593800,-0.3435789473684211,-1.3313268731154764
2009-12-31,00,2009-00,2009,1,2,24.65,40.69,21.39,36.72,23.58,1974126300,0.5125080179602308,1.9859065935898415
2010-12-31,01,2010-01,2010,1,4,37.01,40.2,26.26,38.96,25.5,2105111000,0.08142493638676851,0.31551178203355373
2011-12-31,01,2011-01,2011,1,3,39.14,47.11,30.34,33.06,22.1,1921635700,-0.1333333333333333,-0.5166505430799437
2012-12-31,01,2012-01,2012,1,3,33.45,37.75,28.53,37.01,25.47,2063124600,0.15248868778280533,0.5908752251740078
2013-12-31,00,2013-00,2013,1,2,37.86,60.93,37.06,57.44,40.49,1476350400,0.5897133882999608,2.285068067450164
2014-12-31,00,2014-00,2014,1,2,57.2,77.98,55.27,76.2,54.79,1723094400,0.353173623116819,1.3685050813861195
2015-12-31,00,2015-00,2015,1,2,76.11,97.3,73.0,85.16,62.25,1134792100,0.1361562328892134,0.5275889374944857
2016-12-31,01,2016-01,2016,1,4,83.7,88.0,71.5,82.76,61.62,1153756200,-0.010120481927710867,-0.03921564363136932
2017-12-31,01,2017-01,2017,1,3,83.1,89.69,63.82,72.62,55.15,1369166500,-0.10499837715027582,-0.40685601432902074
2018-12-31,00,2018-00,2018,1,2,73.28,86.31,59.07,68.33,53.13,1606127900,-0.03662737987307341,-0.14192666777264085
2019-12-31,00,2019-00,2019,1,2,67.2,74.94,49.03,58.96,47.29,1442372900,-0.10991906644080562,-0.4259230902861199
2020-12-31,00,2020-00,2020,1,2,59.28,59.78,33.36,39.88,33.4,1815564300,-0.2937196024529499,-1.1381279409040634
2021-12-31,01,2021-01,2021,1,4,40.17,57.05,39.94,52.16,45.35,1477521300,0.35778443113772473,1.3863714048964069
2022-12-31,01,2022-01,2022,1,3,52.26,55.0,30.39,37.36,33.99,1749465800,-0.2504961411245865,-0.970642255135859
2023-12-31,01,2023-01,2023,1,3,37.85,37.96,19.68,26.11,25.46,2399005500,-0.2509561635775228,-0.9724247865118979
