Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,6.57,13.79,6.26,13.57,8.75,4963524600,,
1999-12-31,01,1999-01,1999,1,4,13.6,23.42,12.9,23.04,14.92,5052798600,0.7051428571428571,3.4652409277773843
2000-12-31,01,2000-01,2000,1,3,22.79,23.0,13.81,17.71,11.52,6135651000,-0.2278820375335121,-1.1198669250739461
2001-12-31,00,2001-00,2001,1,2,17.71,19.58,14.0,19.18,12.55,5599263300,0.08940972222222232,0.4393807944691174
2002-12-31,00,2002-00,2002,1,2,19.22,21.31,14.57,16.84,11.07,6867117300,-0.11792828685258971,-0.5795278531219324
2003-12-31,00,2003-00,2003,1,2,16.88,20.07,15.42,17.68,11.71,6310304400,0.057813911472448076,0.2841114111840719
2004-12-31,00,2004-00,2004,1,2,17.78,20.44,17.03,17.61,11.77,7563536700,0.005123825789923098,0.025179707422670106
2005-12-31,01,2005-01,2005,1,3,17.92,18.2,14.1,15.6,10.56,9943411500,-0.10280373831775691,-0.5052021983043865
2006-12-31,01,2006-01,2006,1,3,15.45,17.38,14.1,15.39,10.57,10077255000,0.0009469696969697239,0.004653635952011962
2007-12-31,00,2007-00,2007,1,3,15.7,17.15,14.03,15.84,11.09,13146099000,0.04919583727530741,0.24176012998758112
2008-12-31,00,2008-00,2008,1,2,15.8,21.28,14.37,18.69,13.31,18063398700,0.20018034265103712,0.9837341600559406
2009-12-31,00,2009-00,2009,1,2,18.66,19.17,15.42,17.82,12.96,14555545200,-0.026296018031555235,-0.129224932221155
2010-12-31,01,2010-01,2010,1,4,17.91,18.76,15.92,17.98,13.38,10134279000,0.03240740740740744,0.15925776369107167
2011-12-31,01,2011-01,2011,1,3,18.08,20.0,16.1,19.92,15.23,9168111900,0.13826606875934222,0.6794725856390362
2012-12-31,01,2012-01,2012,1,3,19.99,25.87,19.06,22.74,17.82,6929261400,0.17005909389363105,0.8357111276553144
2013-12-31,00,2013-00,2013,1,2,22.98,27.12,22.57,26.23,21.06,5255331000,0.18181818181818166,0.8934981027862705
2014-12-31,00,2014-00,2014,1,2,26.24,29.36,24.09,28.63,23.55,4925802900,0.11823361823361833,0.5810283246751184
2015-12-31,00,2015-00,2015,1,2,28.76,30.32,18.77,20.43,17.28,6836240100,-0.26624203821656045,-1.308377158156457
2016-12-31,01,2016-01,2016,1,4,20.17,25.06,20.07,23.04,20.05,7085422500,0.16030092592592582,0.7877571525433353
2017-12-31,01,2017-01,2017,1,3,23.08,33.38,21.76,32.92,29.39,6704396700,0.4658354114713217,2.289226809981584
2018-12-31,00,2018-00,2018,1,2,33.1,36.66,27.26,31.05,28.38,7128159300,-0.0343654304185097,-0.1688799578420462
2019-12-31,00,2019-00,2019,1,2,30.55,41.79,30.55,39.61,36.94,4567672800,0.30162085976039466,1.4822371627617215
2020-12-31,00,2020-00,2020,1,2,39.62,51.22,34.0,48.05,45.55,6877478400,0.23308067135896038,1.1454142571045982
2021-12-31,01,2021-01,2021,1,4,48.1,50.86,42.09,48.23,46.45,6294271800,0.01975850713501659,0.0970980375146448
2022-12-31,01,2022-01,2022,1,3,48.0,53.59,39.09,47.26,46.24,5999980800,-0.004520990312163686,-0.022217229466483513
2023-12-31,01,2023-01,2023,1,3,47.52,56.65,45.36,52.55,52.19,4735434600,0.12867647058823528,0.6323470028910192
