Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,25.97,26.17,23.41,23.74,16.7,36979207,,
1998-01-31,02,1998-02,1998,1,16,24.0,24.8,22.87,24.42,17.18,46479607,0.028742514970059974,2.2827392869908376
1998-02-15,05,1998-05,1998,2,2,24.58,26.11,24.58,25.77,18.13,40646864,0.05529685681024432,4.3916931980148215
1998-02-28,07,1998-07,1998,2,17,25.75,26.44,25.06,26.28,18.49,36654632,0.019856591285162706,1.5770165234175475
1998-03-15,09,1998-09,1998,3,2,26.2,27.48,26.17,26.92,18.93,37502228,0.0237966468361277,1.8899369344700587
1998-03-31,11,1998-11,1998,3,16,27.02,28.63,26.44,26.79,18.84,46470011,-0.004754358161648153,-0.3775925722340201
1998-04-15,13,1998-13,1998,4,1,27.08,31.69,26.81,30.27,21.34,65841312,0.13269639065817418,10.538787733530965
1998-04-30,15,1998-15,1998,4,16,30.05,31.58,29.21,29.81,21.02,79533760,-0.014995313964386137,-1.1909323990236451
1998-05-15,17,1998-17,1998,5,1,29.81,30.98,28.88,30.36,21.4,48038729,0.01807802093244515,1.4357619246792437
1998-05-31,20,1998-20,1998,5,18,30.27,31.11,29.03,29.94,21.11,36307093,-0.013551401869158819,-1.0762564609517662
1998-06-15,22,1998-22,1998,6,1,29.94,32.02,29.4,29.56,20.84,43974180,-0.01279014684983415,-1.0157973556215076
1998-06-30,24,1998-24,1998,6,16,29.49,33.26,29.16,33.19,23.44,51812293,0.124760076775432,9.908483269467965
1998-07-15,26,1998-26,1998,7,1,33.26,34.61,32.09,33.43,23.61,35086256,0.007252559726962371,0.5760005009036271
1998-07-31,28,1998-28,1998,7,16,33.48,34.1,30.51,32.2,22.75,47809095,-0.03642524354087251,-2.892903928399187
1998-08-15,31,1998-31,1998,8,3,32.09,32.62,27.17,27.33,19.31,83982862,-0.15120879120879127,-12.009048219693158
1998-08-31,33,1998-33,1998,8,17,27.32,29.83,22.74,22.76,16.08,76561179,-0.1672708441222165,-13.284701350722035
1998-09-15,35,1998-35,1998,9,1,22.9,24.93,19.84,24.76,17.49,130302753,0.08768656716417911,6.96409385245298
1998-09-30,37,1998-37,1998,9,16,25.06,25.82,21.88,22.65,16.0,115184508,-0.08519153802172663,-6.765937878572611
1998-10-15,39,1998-39,1998,10,1,22.03,26.37,19.55,25.82,18.3,118932365,0.14375000000000004,11.416668751734091
1998-10-31,41,1998-41,1998,10,16,25.97,26.99,24.82,25.7,18.21,83598995,-0.004918032786885185,-0.390591660786336
1998-11-15,44,1998-44,1998,11,2,26.4,28.57,26.04,27.59,19.55,57136067,0.07358594179022515,5.844217893588779
1998-11-30,46,1998-46,1998,11,16,28.26,31.82,28.08,29.19,20.69,54930195,0.058312020460357994,4.631158412801724
1998-12-15,48,1998-48,1998,12,1,28.92,29.67,26.62,27.64,19.59,51896948,-0.05316578057032384,-4.222442474426209
1998-12-31,50,1998-50,1998,12,16,27.79,30.89,27.04,29.91,21.19,37156062,0.08167432363450744,6.486599641440681
1999-01-15,01,1999-01,1999,1,4,29.83,31.77,27.68,30.45,21.63,54488063,0.020764511562057386,1.649123828143038
1999-01-31,03,1999-03,1999,1,19,30.56,31.0,28.52,30.02,21.32,49290072,-0.014331946370781279,-1.1382475428370602
1999-02-15,05,1999-05,1999,2,1,30.34,30.43,27.75,29.16,20.71,51369131,-0.02861163227016883,-2.272344543130039
1999-02-28,07,1999-07,1999,2,16,29.47,33.02,29.45,31.66,22.48,58820976,0.08546595847416705,6.7877324344280074
1999-03-15,09,1999-09,1999,3,1,32.09,37.46,31.29,36.69,26.06,73899463,0.1592526690391458,12.647895445213681
