Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,48.94,49.81,43.94,44.12,27.75,41894900,,
1998-01-31,02,1998-02,1998,1,16,44.12,48.19,42.81,47.62,29.95,56158300,0.07927927927927936,5.8722588029130804
1998-02-15,05,1998-05,1998,2,2,48.06,50.75,46.06,50.38,31.78,38389000,0.06110183639399014,4.525845843966216
1998-02-28,07,1998-07,1998,2,17,50.94,54.75,49.06,54.25,34.22,42988500,0.0767778477029577,5.686976422353161
1998-03-15,09,1998-09,1998,3,2,54.25,54.25,50.19,51.81,32.68,28678700,-0.04500292226767966,-3.33339062672666
1998-03-31,11,1998-11,1998,3,16,51.81,53.44,50.25,52.12,32.88,43775000,0.006119951040391758,0.45330806103493926
1998-04-15,13,1998-13,1998,4,1,52.12,56.25,51.81,52.56,33.16,46061900,0.008515815085157863,0.6307709978245001
1998-04-30,15,1998-15,1998,4,16,52.56,53.88,48.38,50.06,31.58,39154000,-0.04764776839565732,-3.5292958001661807
1998-05-15,17,1998-17,1998,5,1,51.19,52.38,49.0,49.62,31.39,24759700,-0.006016466117796049,-0.44564287722895757
1998-05-31,20,1998-20,1998,5,18,49.38,49.38,45.25,47.75,30.21,30443400,-0.0375915896782415,-2.784429240658414
1998-06-15,22,1998-22,1998,6,1,47.75,47.75,43.38,43.5,27.52,41017700,-0.0890433631247931,-6.5954897383535505
1998-06-30,24,1998-24,1998,6,16,43.5,46.12,42.12,44.56,28.19,40300100,0.024345930232558155,1.803316130304595
1998-07-15,26,1998-26,1998,7,1,45.25,49.69,45.25,49.31,31.19,31795300,0.10642071656615815,7.882639642402418
1998-07-31,28,1998-28,1998,7,16,49.31,50.12,37.94,38.81,24.55,97725700,-0.21288874639307476,-15.768783803444625
1998-08-15,31,1998-31,1998,8,3,38.69,39.44,36.06,36.81,23.37,64079500,-0.0480651731160896,-3.5602131920271907
1998-08-31,33,1998-33,1998,8,17,36.81,37.94,29.0,30.94,19.64,45773400,-0.15960633290543436,-11.82212681453544
1998-09-15,35,1998-35,1998,9,1,32.12,37.75,32.12,34.25,21.75,59535900,0.10743380855397144,7.9576799101455205
1998-09-30,37,1998-37,1998,9,16,34.25,36.25,33.56,34.31,21.79,41879500,0.0018390804597701038,0.1362216775597382
1998-10-15,39,1998-39,1998,10,1,34.31,34.38,29.5,33.94,21.55,40645300,-0.011014226709499697,-0.8158296889190374
1998-10-31,41,1998-41,1998,10,16,33.94,37.88,31.75,37.56,23.85,42323100,0.10672853828306272,7.905440162327088
1998-11-15,44,1998-44,1998,11,2,37.81,42.75,37.81,42.12,26.83,44552800,0.12494758909853232,9.254935043013074
1998-11-30,46,1998-46,1998,11,16,42.12,44.0,40.06,40.62,25.88,30775300,-0.03540812523294812,-2.6226988562971503
1998-12-15,48,1998-48,1998,12,1,40.62,40.69,31.5,33.31,21.22,107200400,-0.18006182380216385,-13.337276013395817
1998-12-31,50,1998-50,1998,12,16,33.0,33.12,31.0,32.62,20.78,56670100,-0.020735155513666226,-1.5358641072651913
1999-01-15,01,1999-01,1999,1,4,32.81,36.75,32.81,33.69,21.46,49167300,0.032723772858517686,2.4238674339611803
1999-01-31,03,1999-03,1999,1,19,33.69,36.44,32.56,34.69,22.1,40545500,0.02982292637465056,2.20900017664442
1999-02-15,05,1999-05,1999,2,1,34.69,37.69,33.75,35.56,22.74,35349300,0.028959276018099445,2.1450291308049327
