Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,30.5,31.34,28.12,30.06,15.13,67358400,,
1998-01-31,02,1998-02,1998,1,16,30.28,31.5,29.0,29.94,15.07,48081400,-0.00396563119629878,-0.24226954778315776
1998-02-15,05,1998-05,1998,2,2,30.62,32.81,30.53,32.16,16.19,44207400,0.07431984074319842,4.540370326160408
1998-02-28,07,1998-07,1998,2,17,32.5,34.47,32.0,34.25,17.24,39933600,0.06485484867201952,3.962132150357305
1998-03-15,09,1998-09,1998,3,2,34.25,35.28,33.78,34.59,17.51,38191800,0.015661252900232236,0.9567820278895809
1998-03-31,11,1998-11,1998,3,16,34.59,37.56,34.53,36.47,18.46,56144200,0.05425471159337514,3.3145453503342677
1998-04-15,13,1998-13,1998,4,1,36.47,42.5,36.03,40.19,20.34,74985400,0.10184182015167931,6.221751467102916
1998-04-30,15,1998-15,1998,4,16,40.06,40.09,36.09,38.0,19.24,59581800,-0.0540806293018683,-3.303910262008409
1998-05-15,17,1998-17,1998,5,1,38.25,39.47,36.25,37.56,19.01,46213800,-0.011954261954261747,-0.7303134089835311
1998-05-31,20,1998-20,1998,5,18,37.72,39.0,36.75,37.75,19.11,33408400,0.005260389268805676,0.3213693019427489
1998-06-15,22,1998-22,1998,6,1,37.56,39.72,37.0,37.69,19.17,47600800,0.0031397174254317317,0.19181257236834995
1998-06-30,24,1998-24,1998,6,16,37.81,39.88,36.88,38.34,19.51,53361600,0.01773604590505995,1.0835359134986142
1998-07-15,26,1998-26,1998,7,1,38.5,44.22,38.5,43.0,21.88,50073200,0.1214761660686825,7.421258902582568
1998-07-31,28,1998-28,1998,7,16,43.0,43.47,39.25,39.88,20.29,48414400,-0.07266910420475314,-4.439523027235705
1998-08-15,31,1998-31,1998,8,3,40.19,40.22,34.28,35.03,17.82,53113800,-0.12173484475110885,-7.437062179365105
1998-08-31,33,1998-33,1998,8,17,34.91,37.91,28.5,28.75,14.63,72486400,-0.17901234567901236,-10.936276695557117
1998-09-15,35,1998-35,1998,9,1,29.0,30.5,23.94,28.41,14.55,130797000,-0.005468215994531733,-0.3340659155123362
1998-09-30,37,1998-37,1998,9,16,28.75,29.72,25.0,26.75,13.7,130636200,-0.05841924398625442,-3.56896623054442
1998-10-15,39,1998-39,1998,10,1,26.0,28.0,22.0,24.5,12.55,226982400,-0.08394160583941601,-5.1281861273151
1998-10-31,41,1998-41,1998,10,16,24.75,29.22,24.12,28.75,14.72,183034400,0.17290836653386443,10.563370544185041
1998-11-15,44,1998-44,1998,11,2,28.72,32.0,27.5,29.22,14.96,97484400,0.016304347826086918,0.9960701787932431
1998-11-30,46,1998-46,1998,11,16,29.59,33.31,29.41,32.59,16.69,91859400,0.1156417112299466,7.064818612153879
1998-12-15,48,1998-48,1998,12,1,32.41,32.91,27.69,28.56,14.73,104968600,-0.11743559017375682,-7.174410810465275
1998-12-31,50,1998-50,1998,12,16,28.5,31.19,27.5,30.06,15.5,90101000,0.052274270196877026,3.1935556218924366
1999-01-15,01,1999-01,1999,1,4,29.88,35.47,29.75,32.28,16.65,129948800,0.07419354838709658,4.5326548351107565
1999-01-31,03,1999-03,1999,1,19,32.28,33.59,30.91,33.44,17.24,91711800,0.03543543543543537,2.164832404600491
1999-02-15,05,1999-05,1999,2,1,33.31,33.34,29.78,31.44,16.21,78331600,-0.05974477958236646,-3.649946254541676
1999-02-28,07,1999-07,1999,2,16,32.38,33.81,31.5,32.66,16.84,77451600,0.038864898210980714,2.3743461880672947
1999-03-15,09,1999-09,1999,3,1,32.66,37.0,32.5,36.88,19.14,110967400,0.13657957244655594,8.343960800975887
1999-03-31,11,1999-11,1999,3,16,36.91,37.25,33.75,35.31,18.33,71473400,-0.042319749216301106,-2.5854109969931365
1999-04-15,13,1999-13,1999,4,1,35.25,37.5,34.41,35.97,18.67,69617600,0.01854882705946559,1.1331905871123151
1999-04-30,15,1999-15,1999,4,16,35.91,38.06,35.38,35.78,18.58,80923000,-0.004820567755758121,-0.2944995922302607
1999-05-15,18,1999-18,1999,5,3,35.59,36.44,33.41,34.28,17.8,72551400,-0.041980624327233484,-2.5646930760747444
1999-05-31,20,1999-20,1999,5,17,34.0,34.84,30.75,32.34,16.79,74456000,-0.05674157303370797,-3.4664734461973237
1999-06-15,22,1999-22,1999,6,1,32.44,33.94,30.94,33.66,17.6,72955600,0.04824300178677787,2.947276145470427
1999-06-30,24,1999-24,1999,6,16,34.47,37.44,33.94,36.66,19.17,83053000,0.08920454545454537,5.449711235791524
1999-07-15,26,1999-26,1999,7,1,36.66,38.06,36.31,37.34,19.53,71583000,0.018779342723004744,1.1472733201750087
1999-07-31,28,1999-28,1999,7,16,37.34,38.19,33.19,33.19,17.35,85715800,-0.11162314388120842,-6.819315072837459
1999-08-15,31,1999-31,1999,8,2,33.62,33.62,29.78,31.34,16.39,82829800,-0.05533141210374648,-3.380323465553105
1999-08-31,33,1999-33,1999,8,16,30.88,33.78,29.53,30.25,15.82,88418600,-0.03477730323367911,-2.124625591861617
1999-09-15,35,1999-35,1999,9,1,30.19,31.53,27.75,27.75,14.62,99021800,-0.07585335018963346,-4.634055951907898
1999-09-30,37,1999-37,1999,9,16,28.0,29.19,26.62,27.84,14.67,104550200,0.0034199726402188713,0.20893400923159688
1999-10-15,39,1999-39,1999,10,1,27.78,29.72,24.03,24.09,12.69,95551600,-0.13496932515337423,-8.245587083343676
1999-10-31,42,1999-42,1999,10,18,24.5,32.84,24.31,32.22,16.97,135330800,0.3372734436564224,20.6048118519374
1999-11-15,44,1999-44,1999,11,1,32.25,33.5,31.25,32.88,17.32,95440000,0.020624631703005436,1.2600062760613913
1999-11-30,46,1999-46,1999,11,16,33.03,33.75,28.16,29.3,15.44,98001200,-0.10854503464203236,-6.63126628653117
1999-12-15,48,1999-48,1999,12,1,28.56,29.5,24.5,25.33,13.46,163322800,-0.12823834196891182,-7.834375810404898
1999-12-31,50,1999-50,1999,12,16,24.97,25.53,23.81,25.09,13.33,130950000,-0.00965824665676085,-0.5900445437527148
2000-01-15,01,2000-01,2000,1,3,25.12,25.28,22.25,25.25,13.42,158840000,0.006751687921980443,0.4124761730636663
2000-01-31,03,2000-03,2000,1,18,25.0,25.0,22.25,24.22,12.87,144556200,-0.040983606557377095,-2.5037829630868496
2000-02-15,05,2000-05,2000,2,1,24.06,24.5,22.03,22.81,12.12,139711600,-0.0582750582750583,-3.5601575932004126
2000-02-29,07,2000-07,2000,2,16,23.12,23.47,21.5,23.0,12.22,113713600,0.008250825082508406,0.5040619166610578
2000-03-15,09,2000-09,2000,3,1,23.0,23.09,21.16,22.94,12.32,124634600,0.008183306055646433,0.4999370237260123
