Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2004-06-30,25,2004-25,2004,6,23,3.75,4.42,3.69,4.02,4.01,65642000,,
2004-07-15,26,2004-26,2004,7,1,4.02,4.25,3.73,3.84,3.82,15155200,-0.04738154613466328,-2.976227491480846
2004-07-31,28,2004-28,2004,7,16,3.85,4.1,2.76,3.25,3.24,48688400,-0.15183246073298418,-9.53721397035844
2004-08-15,31,2004-31,2004,8,2,3.24,3.27,2.37,2.4,2.39,18373600,-0.26234567901234573,-16.47899838322365
2004-08-31,33,2004-33,2004,8,16,2.4,3.32,2.25,3.25,3.24,17997200,0.35564853556485354,22.339730025792726
2004-09-15,35,2004-35,2004,9,1,3.3,4.28,3.24,4.09,4.07,20046400,0.25617283950617287,16.09125724479486
2004-09-30,37,2004-37,2004,9,16,4.09,4.22,3.69,3.91,3.9,25385200,-0.04176904176904184,-2.6236832806705017
2004-10-15,39,2004-39,2004,10,1,3.91,4.81,3.88,4.49,4.48,22660800,0.14871794871794886,9.341578811992129
2004-10-31,42,2004-42,2004,10,18,4.47,5.15,4.31,5.08,5.07,11670400,0.1316964285714286,8.272387948889268
2004-11-15,44,2004-44,2004,11,1,5.12,5.68,4.78,5.2,5.19,18548800,0.02366863905325456,1.4867234183541913
2004-11-30,46,2004-46,2004,11,16,5.2,5.3,4.26,4.36,4.35,23957200,-0.1618497109826591,-10.166438172907519
2004-12-15,48,2004-48,2004,12,1,4.37,4.41,3.94,4.07,4.06,21114400,-0.06666666666666665,-4.18760429503095
2004-12-31,50,2004-50,2004,12,16,4.07,4.42,3.65,4.24,4.22,87762000,0.039408866995073843,2.4754311103631204
2005-01-15,01,2005-01,2005,1,3,4.1,4.55,3.68,3.75,3.74,63409200,-0.11374407582938373,-7.144727707161802
2005-01-31,03,2005-03,2005,1,18,3.72,3.8,3.34,3.42,3.42,32102800,-0.08556149732620333,-5.3744654053873235
2005-02-15,05,2005-05,2005,2,1,3.38,3.64,3.24,3.57,3.55,22034400,0.03801169590643272,2.387669115587821
2005-02-28,07,2005-07,2005,2,16,3.57,4.22,3.38,4.01,4.0,52724400,0.12676056338028174,7.962346194777163
2005-03-15,09,2005-09,2005,3,1,4.05,4.25,3.62,3.82,3.81,21510000,-0.04749999999999999,-2.9836680602095513
2005-03-31,11,2005-11,2005,3,16,3.82,3.93,3.42,3.75,3.74,28163200,-0.01837270341207342,-1.154064175795927
2005-04-15,13,2005-13,2005,4,1,3.64,4.09,3.59,3.61,3.6,29919200,-0.03743315508021394,-2.351328614856953
2005-04-30,16,2005-16,2005,4,18,3.61,3.8,3.4,3.61,3.6,28170400,0.0,0.0
2005-05-15,18,2005-18,2005,5,2,3.62,3.92,3.52,3.72,3.71,24738800,0.030555555555555447,1.9193186352225122
2005-05-31,20,2005-20,2005,5,16,3.72,5.08,3.68,5.06,5.05,84598800,0.3611859838274931,22.687559657714843
2005-06-15,22,2005-22,2005,6,1,5.03,5.25,4.81,5.02,5.01,38620400,-0.007920792079207928,-0.4975371439640738
2005-06-30,24,2005-24,2005,6,16,5.05,5.49,4.82,5.12,5.11,57740400,0.019960079840319445,1.253773741027236
2005-07-15,26,2005-26,2005,7,1,5.11,5.79,4.7,5.7,5.68,60832000,0.11154598825831696,7.0066568928600015
2005-07-31,29,2005-29,2005,7,18,5.7,6.02,5.48,5.89,5.87,40468000,0.033450704225352235,2.101174690288425
2005-08-15,31,2005-31,2005,8,1,5.89,6.29,5.51,5.53,5.52,55627200,-0.05962521294718914,-3.745301967446765
2005-08-31,33,2005-33,2005,8,16,5.53,5.61,4.66,4.83,4.82,86815600,-0.12681159420289845,-7.965551648156693
2005-09-15,35,2005-35,2005,9,1,4.83,5.99,4.79,5.78,5.76,58666000,0.19502074688796678,12.250045759322903
2005-09-30,37,2005-37,2005,9,16,5.82,5.99,5.55,5.78,5.76,46868000,0.0,0.0
2005-10-15,40,2005-40,2005,10,3,5.97,6.15,5.07,5.55,5.54,67203200,-0.03819444444444442,-2.399148294028147
2005-10-31,42,2005-42,2005,10,17,5.55,6.43,5.47,6.25,6.23,40644400,0.12454873646209386,7.823412356240133
2005-11-15,44,2005-44,2005,11,1,6.25,7.1,6.18,6.87,6.85,62878000,0.09951845906902079,6.2511588994844
2005-11-30,46,2005-46,2005,11,16,6.88,8.02,6.53,7.96,7.94,86474000,0.15912408759124097,9.99523068959943
2005-12-15,48,2005-48,2005,12,1,8.0,9.05,7.81,8.8,8.77,80076800,0.1045340050377832,6.566205727095119
2005-12-31,50,2005-50,2005,12,16,8.8,8.94,7.82,8.01,7.99,56646400,-0.08893956670467495,-5.586655672960328
2006-01-15,01,2006-01,2006,1,3,8.02,10.04,7.9,9.53,9.51,78457600,0.1902377972465581,11.949609252403707
2006-01-31,03,2006-03,2006,1,17,9.51,10.75,9.32,10.26,10.23,65930400,0.0757097791798107,4.755638947038301
