Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,47.92,48.12,43.41,43.88,18.92,14918114,,
1998-01-31,02,1998-02,1998,1,16,43.59,44.18,42.19,42.7,18.4,15838178,-0.02748414376321373,-1.9625944284086956
1998-02-15,05,1998-05,1998,2,2,43.14,45.19,42.19,42.49,18.32,15313964,-0.004347826086956386,-0.3104706236245074
1998-02-28,07,1998-07,1998,2,17,42.64,43.82,41.3,43.41,18.71,11845541,0.021288209606986852,1.5201536538820484
1998-03-15,09,1998-09,1998,3,2,43.65,44.83,42.58,43.5,18.75,9649611,0.002137894174238264,0.15266326762936447
1998-03-31,11,1998-11,1998,3,16,43.44,46.4,43.17,46.14,20.07,14819679,0.07040000000000002,5.0271403377281825
1998-04-15,13,1998-13,1998,4,1,46.2,47.44,44.51,46.91,20.41,14101333,0.016940707523667164,1.2097061667881037
1998-04-30,15,1998-15,1998,4,16,46.91,47.44,44.12,45.87,19.95,12933178,-0.02253797158255766,-1.6093969612677141
1998-05-15,17,1998-17,1998,5,1,46.73,47.92,45.96,46.37,20.17,14565473,0.01102756892230583,0.7874593260852463
1998-05-31,20,1998-20,1998,5,18,46.37,46.94,44.83,45.96,19.99,10508548,-0.008924144769459796,-0.6372575021346208
1998-06-15,22,1998-22,1998,6,1,46.02,47.95,45.1,45.22,19.67,14524796,-0.016008004002000864,-1.1431034466615442
1998-06-30,24,1998-24,1998,6,16,45.37,47.03,44.66,45.87,20.14,16470947,0.023894255210981097,1.706246792771234
1998-07-15,26,1998-26,1998,7,1,45.93,46.97,44.89,45.4,19.93,10965315,-0.010427010923535263,-0.7445745343130185
1998-07-31,28,1998-28,1998,7,16,45.4,45.63,42.91,43.05,18.9,14841600,-0.051680883090817975,-3.6904410806145647
1998-08-15,31,1998-31,1998,8,3,43.05,43.85,40.56,40.56,17.81,13290243,-0.05767195767195765,-4.118253192733673
1998-08-31,33,1998-33,1998,8,17,40.8,41.57,37.01,37.01,16.24,19294163,-0.08815272318921952,-6.294831116833977
1998-09-15,35,1998-35,1998,9,1,37.03,39.67,35.43,39.61,17.39,21163802,0.07081280788177358,5.056618223441194
1998-09-30,37,1998-37,1998,9,16,39.38,42.58,37.45,40.53,17.98,23944863,0.03392754456584246,2.4227063614633124
1998-10-15,39,1998-39,1998,10,1,40.41,43.47,39.7,42.4,18.8,20312875,0.04560622914349288,3.2566607127688587
1998-10-31,41,1998-41,1998,10,16,42.7,46.11,42.55,44.39,19.68,19603804,0.04680851063829783,3.3425135224256497
1998-11-15,44,1998-44,1998,11,2,45.13,47.83,44.18,46.17,20.47,12945192,0.040142276422764134,2.8664894467771664
1998-11-30,46,1998-46,1998,11,16,46.2,47.15,43.77,46.2,20.49,7961668,0.0009770395701025336,0.06976867946617966
1998-12-15,48,1998-48,1998,12,1,45.75,45.75,43.02,44.0,19.51,14209677,-0.047828208882381484,-3.4153283828680294
1998-12-31,50,1998-50,1998,12,16,43.17,44.12,41.07,43.14,19.32,23820923,-0.009738595592004184,-0.695416004735598
