Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2019-03-31,11,2019-11,2019,3,20,52.75,53.5,48.0,51.63,39.15,10048800,,
2019-04-15,13,2019-13,2019,4,1,52.3,60.52,51.25,57.78,43.81,133835300,0.11902937420178805,7.933867192155577
2019-04-30,15,2019-15,2019,4,16,58.71,59.05,54.8,56.73,43.01,56460900,-0.018260671079662227,-1.2171595470212928
2019-05-15,17,2019-17,2019,5,1,56.82,57.48,50.76,52.95,40.15,68473900,-0.06649616368286448,-4.432281821068001
2019-05-31,19,2019-19,2019,5,16,53.29,53.55,46.75,46.76,35.97,46437900,-0.1041095890410959,-6.939393392774323
2019-06-15,22,2019-22,2019,6,3,46.85,52.95,46.85,51.15,39.35,52762400,0.09396719488462613,6.263355156099152
2019-06-30,24,2019-24,2019,6,17,50.06,51.22,48.31,49.31,37.93,54368800,-0.036086404066073774,-2.4053284260515877
2019-07-15,26,2019-26,2019,7,1,50.0,50.95,47.18,50.93,39.18,42241700,0.032955444239388454,2.196635239050672
2019-07-31,28,2019-28,2019,7,16,50.95,52.99,47.78,48.44,37.26,50912700,-0.049004594180704464,-3.2663865087291097
2019-08-15,30,2019-30,2019,8,1,48.15,48.6,42.96,43.38,33.37,54103000,-0.10440150295222761,-6.958850826857237
2019-08-31,32,2019-32,2019,8,16,43.29,45.86,40.44,42.63,33.34,50826600,-0.0008990110878032143,-0.059923314078877785
2019-09-15,35,2019-35,2019,9,3,42.14,48.44,41.15,48.2,37.7,33928300,0.1307738452309537,8.7166913816666
2019-09-30,37,2019-37,2019,9,16,48.69,49.98,45.95,47.65,37.27,46099000,-0.011405835543766618,-0.760252542926102
2019-10-15,39,2019-39,2019,10,1,47.94,48.57,43.83,47.2,36.92,38755000,-0.009390931043734896,-0.6259496885648954
2019-10-31,41,2019-41,2019,10,16,47.49,51.63,46.02,50.49,39.49,48645600,0.06960996749729143,4.639831479223893
2019-11-15,43,2019-43,2019,11,1,50.98,56.25,50.9,54.86,42.91,45129200,0.08660420359584697,5.772577182897855
