Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,37.06,38.13,33.25,34.92,19.58,15161172,,
1998-01-31,02,1998-02,1998,1,16,35.04,38.31,33.01,37.12,20.82,17819220,0.06332992849846786,5.4860465825067255
1998-02-15,05,1998-05,1998,2,2,38.61,41.05,38.02,40.46,22.69,12825774,0.0898174831892411,7.780569288209639
1998-02-28,07,1998-07,1998,2,17,40.58,40.99,39.09,40.58,22.84,15013697,0.00661084178051996,0.5726737234259095
1998-03-15,09,1998-09,1998,3,2,40.1,40.88,38.61,38.73,21.8,10173809,-0.045534150612959734,-3.944461604178469
1998-03-31,11,1998-11,1998,3,16,39.09,41.77,38.43,40.04,22.54,15807721,0.03394495412844023,2.9405307096498996
1998-04-15,13,1998-13,1998,4,1,40.04,45.05,39.33,44.33,24.95,18505101,0.10692102928127767,9.26218868699411
1998-04-30,15,1998-15,1998,4,16,44.03,45.34,40.04,41.77,23.51,16824851,-0.05771543086172337,-4.99968261048204
1998-05-15,17,1998-17,1998,5,1,41.77,43.14,40.94,41.11,23.14,12859338,-0.015737983836665248,-1.3633255948610816
1998-05-31,20,1998-20,1998,5,18,40.52,42.19,37.78,40.76,23.02,13416622,-0.005185825410544576,-0.44922962090005975
1998-06-15,22,1998-22,1998,6,1,40.76,42.42,38.85,39.15,22.11,13836816,-0.03953084274543872,-3.4244163839924684
1998-06-30,24,1998-24,1998,6,16,39.15,42.54,38.13,42.31,23.9,15094985,0.08095884215287197,7.013176705658366
1998-07-15,26,1998-26,1998,7,1,42.54,43.62,40.99,43.26,24.43,16275326,0.022175732217573296,1.9210048523857963
1998-07-31,28,1998-28,1998,7,16,43.44,44.51,40.82,41.47,23.42,14770139,-0.041342611543184526,-3.58136347452023
1998-08-15,31,1998-31,1998,8,3,41.65,42.01,33.37,35.33,19.96,35351768,-0.14773697694278398,-12.797929141613405
1998-08-31,33,1998-33,1998,8,17,35.04,37.3,31.94,32.71,18.55,28456334,-0.07064128256513025,-6.1194031951212535
1998-09-15,35,1998-35,1998,9,1,32.71,34.92,31.1,34.8,19.73,17621394,0.06361185983827489,5.5104692922732035
1998-09-30,37,1998-37,1998,9,16,34.56,35.1,32.41,33.73,19.12,14230474,-0.03091738469336036,-2.6782631318012435
1998-10-15,39,1998-39,1998,10,1,32.77,35.87,31.52,35.39,20.07,14703008,0.04968619246861916,4.304138230581361
1998-10-31,41,1998-41,1998,10,16,36.35,38.37,34.56,37.12,21.05,10793611,0.04882909815645253,4.2298911970913196
1998-11-15,44,1998-44,1998,11,2,37.78,40.94,37.54,39.09,22.16,12855457,0.052731591448931026,4.567950318553536
1998-11-30,46,1998-46,1998,11,16,38.97,42.9,38.91,41.95,23.87,13836291,0.07716606498194944,6.684621901790991
1998-12-15,48,1998-48,1998,12,1,41.47,42.54,38.31,40.04,22.79,17568320,-0.045245077503142106,-3.919420228263321
1998-12-31,50,1998-50,1998,12,16,40.04,43.02,39.51,42.25,24.04,12300268,0.05484861781483108,4.7513407870901245
1999-01-15,01,1999-01,1999,1,4,41.59,42.72,39.09,40.58,23.09,15579165,-0.039517470881863526,-3.4232580269848456
1999-01-31,03,1999-03,1999,1,19,40.16,40.4,36.05,37.18,21.16,17669538,-0.08358596795149409,-7.240755274765623
1999-02-15,05,1999-05,1999,2,1,36.94,42.25,36.7,40.99,23.33,18190114,0.10255198487712658,8.883713901209486
1999-02-28,07,1999-07,1999,2,16,41.41,41.95,39.27,39.45,22.53,11562674,-0.034290612944706256,-2.9704739041655137
1999-03-15,09,1999-09,1999,3,1,39.68,44.33,38.67,44.33,25.33,20279650,0.12427873945849965,10.765825416983388
1999-03-31,11,1999-11,1999,3,16,44.09,48.56,40.99,46.89,26.79,24962828,0.057639163047769504,4.993075800873736
1999-04-15,13,1999-13,1999,4,1,46.95,53.81,46.95,53.51,30.57,22125628,0.14109742441209416,12.222768307960386
1999-04-30,15,1999-15,1999,4,16,54.82,58.16,52.08,56.01,32.0,27469201,0.0467778868171409,4.05220205035082
1999-05-15,18,1999-18,1999,5,3,55.89,62.68,55.53,57.62,32.92,21186012,0.028750000000000053,2.4905103003690345
1999-05-31,20,1999-20,1999,5,17,57.32,59.7,53.39,55.36,31.71,19168644,-0.03675577156743626,-3.1840218325812564
1999-06-15,22,1999-22,1999,6,1,55.53,61.02,54.16,59.47,34.07,34004444,0.07442447177546518,6.44712742804592
1999-06-30,24,1999-24,1999,6,16,60.06,65.42,59.59,60.06,34.41,25583679,0.009979454065159876,0.8644846310031394
1999-07-15,26,1999-26,1999,7,1,60.18,63.58,58.57,63.52,36.39,17720306,0.057541412380122114,4.984608008016561
1999-07-31,28,1999-28,1999,7,16,63.82,64.83,60.06,61.67,35.33,16586853,-0.029128881560868458,-2.523331463150344
1999-08-15,31,1999-31,1999,8,2,61.55,61.91,58.81,60.36,34.58,13602281,-0.021228417775261854,-1.8389423697331009
1999-08-31,33,1999-33,1999,8,16,60.12,64.05,58.33,58.57,33.65,18840439,-0.026894158473105834,-2.329745345983551
1999-09-15,35,1999-35,1999,9,1,58.63,62.74,58.57,60.42,34.71,13181774,0.03150074294205063,2.728797383181013
1999-09-30,37,1999-37,1999,9,16,60.18,61.25,54.04,57.14,32.82,25107895,-0.05445116681071738,-4.71691101945057
1999-10-15,39,1999-39,1999,10,1,57.14,61.25,54.94,56.07,32.21,23235166,-0.018586227909811126,-1.6100588540657723
1999-10-31,42,1999-42,1999,10,18,55.83,56.61,49.87,54.28,31.18,26586648,-0.0319776466935735,-2.7701098598923983
1999-11-15,44,1999-44,1999,11,1,54.34,59.59,52.44,58.1,33.37,19321574,0.07023733162283508,6.084410360942822
1999-11-30,46,1999-46,1999,11,16,58.45,59.59,54.88,57.2,32.95,18145220,-0.012586155229247664,-1.0902938866255596
1999-12-15,48,1999-48,1999,12,1,58.99,61.02,55.06,57.96,33.39,31311469,0.013353566009104645,1.156771954515926
1999-12-31,50,1999-50,1999,12,16,57.44,60.9,51.42,55.0,31.68,51173547,-0.05121293800539084,-4.436394769203006
2000-01-15,01,2000-01,2000,1,3,55.0,57.68,51.54,57.08,32.88,25515501,0.03787878787878807,3.2813047435692253
2000-01-31,03,2000-03,2000,1,18,56.96,57.56,42.54,45.76,26.36,55420903,-0.1982968369829684,-17.177750088232386
2000-02-15,05,2000-05,2000,2,1,45.76,46.72,40.28,44.15,25.43,37206664,-0.035280728376327786,-3.056244084374479
2000-02-29,07,2000-07,2000,2,16,43.97,47.55,40.58,45.88,26.54,24992407,0.04364923318914671,3.7811779082010295
2000-03-15,09,2000-09,2000,3,1,46.72,47.37,38.43,43.8,25.33,35588718,-0.045591559909570534,-3.9494347674670305
2000-03-31,11,2000-11,2000,3,16,45.64,51.48,43.74,50.23,29.05,42632683,0.14686142913541267,12.722083547431707
2000-04-15,14,2000-14,2000,4,3,52.44,54.34,48.62,51.6,29.84,26821290,0.027194492254733138,2.355762193868476
2000-04-30,16,2000-16,2000,4,17,50.29,55.71,50.29,53.39,30.88,21364643,0.034852546916890104,3.019152246629902
2000-05-15,18,2000-18,2000,5,1,52.55,53.81,49.93,52.97,30.64,17517657,-0.007772020725388518,-0.6732625276960585
2000-05-31,20,2000-20,2000,5,16,53.63,54.34,50.05,52.14,30.26,20866305,-0.012402088772845876,-1.074348863821348
2000-06-15,22,2000-22,2000,6,1,51.9,56.37,47.61,48.5,28.15,26537663,-0.06972901520158636,-6.040376716317895
2000-06-30,24,2000-24,2000,6,16,48.5,48.56,30.63,32.12,18.64,129865909,-0.33783303730017755,-29.265275102645106
2000-07-15,27,2000-27,2000,7,3,32.59,35.16,31.94,34.44,19.99,58284431,0.07242489270386265,6.273911001116234
2000-07-31,29,2000-29,2000,7,17,35.63,35.99,31.46,32.41,18.81,57778857,-0.05902951475737872,-5.113517027096951
2000-08-15,31,2000-31,2000,8,1,32.41,35.27,31.58,33.73,19.57,45307616,0.04040404040404044,3.5000583931404927
2000-08-31,33,2000-33,2000,8,16,33.43,38.97,32.41,37.06,21.62,57140173,0.10475217169136442,9.074308263769327
2000-09-15,35,2000-35,2000,9,1,37.06,39.8,33.37,34.8,20.3,47018914,-0.06105457909343204,-5.28894115189176
2000-09-30,38,2000-38,2000,9,18,34.92,35.27,32.65,33.96,19.81,27640279,-0.024137931034482807,-2.0909831607296243
2000-10-15,40,2000-40,2000,10,2,34.32,37.24,32.65,33.01,19.26,31896341,-0.027763755678949842,-2.405075460707956
2000-10-31,42,2000-42,2000,10,16,33.79,51.6,31.82,51.3,29.93,182989172,0.5539979231568015,47.990870748002244
2000-11-15,44,2000-44,2000,11,1,50.41,51.96,47.49,49.22,28.71,81667915,-0.040761777480788464,-3.5310478844262274
2000-11-30,46,2000-46,2000,11,16,48.62,49.93,44.81,46.48,27.21,44759559,-0.05224660397074188,-4.525937577336839
2000-12-15,48,2000-48,2000,12,1,47.31,53.09,45.64,45.64,26.73,62715662,-0.01764057331863289,-1.5281401584163579
2000-12-31,51,2000-51,2000,12,18,46.6,48.09,43.85,45.11,26.41,35358588,-0.01197156752712314,-1.0370543387082982
2001-01-15,00,2001-00,2001,1,2,44.33,46.54,40.46,44.33,25.96,53618979,-0.017039000378644475,-1.4760280330784648
2001-01-31,02,2001-02,2001,1,16,44.09,47.13,43.15,45.05,26.38,59207474,0.016178736517719505,1.4015064328465041
2001-02-15,04,2001-04,2001,2,1,45.43,47.38,44.62,46.24,27.18,36351803,0.030326004548900665,2.627033972106962
2001-02-28,06,2001-06,2001,2,16,45.69,47.61,43.62,44.55,26.19,48776785,-0.03642384105960261,-3.155267872624164
2001-03-15,08,2001-08,2001,3,1,43.62,44.93,36.8,38.62,22.7,61256523,-0.13325696830851474,-11.543577466723665
2001-03-31,10,2001-10,2001,3,16,38.19,39.56,33.22,38.9,22.87,66731944,0.007488986784141005,0.6487443034862854
2001-04-15,13,2001-13,2001,4,2,38.56,41.42,35.71,41.42,24.35,56384329,0.06471359860078718,5.605909004841993
2001-04-30,15,2001-15,2001,4,16,40.76,47.62,40.23,46.6,27.39,42988053,0.12484599589322376,10.814964825457508
2001-05-15,17,2001-17,2001,5,1,45.76,48.06,45.08,47.96,28.2,43628414,0.02957283680175249,2.5617897275094568
2001-05-31,19,2001-19,2001,5,16,47.21,51.39,46.05,46.14,27.13,44147204,-0.03794326241134749,-3.2868899431327288
2001-06-15,21,2001-21,2001,6,1,46.05,46.88,33.84,36.9,21.69,219048327,-0.20051603391079975,-17.36999122935626
2001-06-30,24,2001-24,2001,6,18,36.51,38.71,31.46,33.27,19.56,217081305,-0.09820193637621033,-8.506884662996033
2001-07-15,26,2001-26,2001,7,2,32.8,34.93,32.3,34.8,20.57,108947263,0.05163599182004108,4.473042417307245
2001-07-31,28,2001-28,2001,7,16,34.8,35.94,33.37,35.15,20.77,61465464,0.009722897423432242,0.8422600411300695
2001-08-15,30,2001-30,2001,8,1,35.42,35.8,33.7,35.58,21.03,32544675,0.0125180548868562,1.0843945960452257
2001-08-31,32,2001-32,2001,8,16,35.42,37.26,34.65,35.52,21.1,37873457,0.003328578221588163,0.28834289900693383
2001-09-15,35,2001-35,2001,9,4,35.52,36.47,33.86,34.04,20.22,17101659,-0.041706161137440856,-3.612856483535547
