Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,49.95,51.24,46.61,49.44,26.38,98701187,,
1998-01-31,02,1998-02,1998,1,16,50.13,51.8,45.71,47.2,25.19,116934850,-0.0451099317664897,-4.499567933379928
1998-02-15,05,1998-05,1998,2,2,47.8,49.53,46.61,48.94,26.17,85474727,0.03890432711393421,3.880579196123304
1998-02-28,07,1998-07,1998,2,17,49.27,50.61,48.43,49.92,26.69,63425466,0.019870080244554833,1.9819754187369782
1998-03-15,09,1998-09,1998,3,2,49.8,49.98,45.83,47.62,25.46,85659449,-0.04608467590858001,-4.596795468719665
1998-03-31,11,1998-11,1998,3,16,47.65,51.0,47.44,49.65,26.55,83008675,0.04281225451688919,4.270382153913973
1998-04-15,13,1998-13,1998,4,1,49.65,52.49,49.38,52.46,28.05,67981632,0.05649717514124286,5.635408160402722
1998-04-30,15,1998-15,1998,4,16,52.28,57.36,50.91,55.39,29.62,116081524,0.05597147950089121,5.582971742225714
1998-05-15,17,1998-17,1998,5,1,55.42,61.81,55.21,59.72,31.99,96620904,0.0800135043889263,7.981084973691215
1998-05-31,20,1998-20,1998,5,18,59.63,60.71,56.11,56.17,30.09,62082818,-0.05939356048765232,-5.924313111420555
1998-06-15,22,1998-22,1998,6,1,56.11,57.36,53.6,53.66,28.74,74416832,-0.04486540378863413,-4.475177068555111
1998-06-30,24,1998-24,1998,6,16,53.48,55.6,50.67,54.88,29.4,96801651,0.022964509394572064,2.290634590460153
1998-07-15,26,1998-26,1998,7,1,55.45,57.66,53.9,55.93,29.96,57622676,0.019047619047619202,1.899937608364364
1998-07-31,28,1998-28,1998,7,16,55.99,66.03,55.45,63.34,33.93,123916272,0.13251001335113477,13.217439787160853
1998-08-15,31,1998-31,1998,8,3,64.05,64.47,59.27,59.93,32.16,94739150,-0.05216622458001774,-5.203410028212711
1998-08-31,33,1998-33,1998,8,17,59.81,62.98,53.84,53.84,28.89,101182300,-0.10167910447761186,-10.142157615545687
1998-09-15,35,1998-35,1998,9,1,54.02,62.47,52.94,62.14,33.34,106607274,0.15403253721010746,15.364241043756365
