Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,36.21,37.56,32.85,34.42,16.1,85729500,,
1998-01-31,02,1998-02,1998,1,16,34.71,36.12,34.04,35.73,16.72,71974800,0.03850931677018621,3.004726221843622
1998-02-15,05,1998-05,1998,2,2,36.17,40.33,36.15,39.4,18.43,60847800,0.10227272727272729,7.979927227733548
1998-02-28,07,1998-07,1998,2,17,39.92,41.54,39.42,41.35,19.35,42530700,0.04991861096039085,3.8949472982293982
1998-03-15,09,1998-09,1998,3,2,41.48,42.0,39.46,41.75,19.53,55574100,0.009302325581395321,0.7258228382848061
1998-03-31,11,1998-11,1998,3,16,42.4,46.38,42.21,44.96,21.04,78497400,0.07731694828469005,6.032728736537698
1998-04-15,13,1998-13,1998,4,1,45.0,49.71,44.79,46.69,21.96,69135600,0.04372623574144496,3.411781307336868
1998-04-30,15,1998-15,1998,4,16,46.71,47.12,42.79,46.19,21.73,63265500,-0.010473588342440832,-0.8172117339067366
1998-05-15,17,1998-17,1998,5,1,46.38,47.71,44.71,47.33,22.26,50611200,0.024390243902439046,1.9030720759906576
1998-05-31,20,1998-20,1998,5,18,47.04,48.83,44.5,45.31,21.31,46479900,-0.04267744833782583,-3.329948668456257
1998-06-15,22,1998-22,1998,6,1,44.71,48.25,44.48,45.46,21.38,50969850,0.003284842796809073,0.25630299662568223
1998-06-30,24,1998-24,1998,6,16,45.46,51.0,44.5,50.33,23.68,50191200,0.10757717492984109,8.393811822540648
1998-07-15,26,1998-26,1998,7,1,50.67,51.38,49.08,50.12,23.69,48854850,0.0004222972972973693,0.03295014996437086
1998-07-31,28,1998-28,1998,7,16,49.83,51.71,47.58,50.42,23.83,56110950,0.005909666525960144,0.46110737510282984
1998-08-15,31,1998-31,1998,8,3,50.42,50.71,42.42,42.92,20.28,54245550,-0.14897188417960538,-11.623673548486769
1998-08-31,33,1998-33,1998,8,17,42.71,46.92,34.83,35.0,16.54,82118700,-0.18441814595660755,-14.389401978915547
1998-09-15,35,1998-35,1998,9,1,35.33,38.62,26.71,32.75,15.48,142797450,-0.06408706166868194,-5.000454197252349
1998-09-30,37,1998-37,1998,9,16,33.33,34.21,28.25,28.75,13.59,125558700,-0.12209302325581395,-9.52642475248811
1998-10-15,39,1998-39,1998,10,1,28.33,32.42,23.71,31.33,14.94,129205050,0.09933774834437092,7.750922693604333
