Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,23.94,24.0,22.31,23.41,12.74,32444400,,
1998-01-31,02,1998-02,1998,1,16,23.69,24.34,23.12,23.56,12.82,37079400,0.006279434850863463,0.7466457766274561
1998-02-15,05,1998-05,1998,2,2,23.94,26.81,23.72,26.5,14.42,52746400,0.12480499219968788,14.839730412221092
1998-02-28,07,1998-07,1998,2,17,26.38,27.94,25.53,27.28,14.87,44878600,0.03120665742024964,3.7105757952541403
1998-03-15,09,1998-09,1998,3,2,27.38,28.25,26.25,27.31,14.89,43919600,0.0013449899125757003,0.15992379277461408
1998-03-31,11,1998-11,1998,3,16,26.5,30.12,25.0,30.0,16.35,107912400,0.0980523841504366,11.658755963382516
1998-04-15,13,1998-13,1998,4,1,30.03,31.91,29.81,30.97,16.88,68647000,0.03241590214067269,3.8543590313026472
1998-04-30,15,1998-15,1998,4,16,30.94,31.31,28.53,30.94,16.86,55410200,-0.0011848341232226778,-0.140880734511747
1998-05-15,17,1998-17,1998,5,1,31.25,32.06,30.5,31.84,17.36,47435400,0.029655990510083052,3.526196320519623
1998-05-31,20,1998-20,1998,5,18,31.84,33.53,31.25,32.81,17.91,37858800,0.03168202764976957,3.767098903246363
1998-06-15,22,1998-22,1998,6,1,32.81,33.97,31.69,31.84,17.38,32095800,-0.029592406476828703,-3.5186359665995925
1998-06-30,24,1998-24,1998,6,16,32.12,34.97,31.81,34.5,18.83,42865800,0.08342922899884919,9.92001397557458
1998-07-15,26,1998-26,1998,7,1,34.72,37.47,34.72,35.56,19.41,42173200,0.03080191184280423,3.6624501942748258
1998-07-31,28,1998-28,1998,7,16,35.56,36.84,33.09,33.41,18.23,60028200,-0.06079340546110246,-7.228538954917431
1998-08-15,31,1998-31,1998,8,3,32.94,33.28,30.5,32.44,17.71,49229400,-0.02852441031267139,-3.391647655651079
1998-08-31,33,1998-33,1998,8,17,32.06,33.34,28.0,28.19,15.41,42839400,-0.1298701298701299,-15.441992198431384
1998-09-15,35,1998-35,1998,9,1,28.0,32.25,27.75,29.09,15.9,48542800,0.031797534068786604,3.780833002250602
1998-09-30,37,1998-37,1998,9,16,29.44,30.59,26.75,29.84,16.31,51070200,0.025786163522012462,3.0660609666948204
1998-10-15,39,1998-39,1998,10,1,29.38,33.69,28.09,33.53,18.33,57310800,0.12385039852851021,14.726226036444011
1998-10-31,41,1998-41,1998,10,16,33.66,34.34,31.69,33.53,18.33,42227200,0.0,0.0
1998-11-15,44,1998-44,1998,11,2,33.94,36.06,32.75,35.69,19.51,35644400,0.06437534097108588,7.654443050460884
1998-11-30,46,1998-46,1998,11,16,35.53,36.81,34.59,35.03,19.17,31657400,-0.01742696053305992,-2.0721238121728978
1998-12-15,48,1998-48,1998,12,1,35.0,36.09,33.03,33.84,18.52,31439000,-0.03390714658320304,-4.031672976168457
1998-12-31,50,1998-50,1998,12,16,34.12,39.75,33.91,38.41,21.02,40086200,0.13498920086393085,16.05066683692246
1999-01-15,01,1999-01,1999,1,4,38.69,40.38,35.94,38.75,21.21,45025000,0.009039010466222797,1.0747685340773303
1999-01-31,03,1999-03,1999,1,19,38.75,40.31,37.67,39.41,21.57,36876000,0.016973125884016893,2.0181613566266656
1999-02-15,05,1999-05,1999,2,1,39.38,41.0,39.03,40.66,22.25,36895600,0.03152526657394539,3.748459487760173
1999-02-28,07,1999-07,1999,2,16,40.62,43.38,40.09,42.5,23.26,41562800,0.04539325842696629,5.397410037177565
1999-03-15,09,1999-09,1999,3,1,42.62,47.38,42.31,44.19,24.21,55532500,0.040842648323301756,4.856327297142106
1999-03-31,11,1999-11,1999,3,16,44.0,45.75,41.69,45.31,24.83,38237200,0.025609252375051517,3.0450256404506844
1999-04-15,13,1999-13,1999,4,1,45.25,47.06,44.19,44.25,24.25,31031300,-0.023358840112766788,-2.77744410625028
