Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,34.36,35.85,33.86,34.49,16.55,34002519,,
1998-01-31,02,1998-02,1998,1,16,34.59,35.93,33.47,34.91,16.75,28614541,0.012084592145015005,1.3288577352810835
1998-02-15,05,1998-05,1998,2,2,35.27,37.36,35.27,36.79,17.65,22845513,0.05373134328358198,5.908458497615482
1998-02-28,07,1998-07,1998,2,17,36.89,37.29,35.25,35.67,17.22,18881012,-0.02436260623229458,-2.678984723265693
1998-03-15,09,1998-09,1998,3,2,35.67,37.97,35.67,37.52,18.12,25863977,0.052264808362369575,5.747193950932634
1998-03-31,11,1998-11,1998,3,16,37.83,40.19,37.76,38.04,18.37,28876702,0.013796909492273635,1.5171492493723762
1998-04-15,13,1998-13,1998,4,1,38.72,40.53,38.15,40.53,19.57,23579140,0.06532389765922697,7.183210294687677
1998-04-30,15,1998-15,1998,4,16,40.53,40.92,37.23,39.45,19.05,20495372,-0.026571282575370447,-2.9218573504928695
1998-05-15,17,1998-17,1998,5,1,39.45,40.47,38.64,40.08,19.35,18039508,0.015748031496062964,1.7317004345592184
1998-05-31,20,1998-20,1998,5,18,40.03,40.76,38.72,38.72,18.8,13608806,-0.02842377260981921,-3.125562670645013
1998-06-15,22,1998-22,1998,6,1,38.83,39.69,33.6,33.86,16.44,28678167,-0.12553191489361704,-13.803863144842818
1998-06-30,24,1998-24,1998,6,16,33.92,35.67,33.65,34.36,16.68,29624203,0.014598540145985384,1.6052989429855538
1998-07-15,26,1998-26,1998,7,1,34.39,35.06,33.24,34.1,16.56,23856611,-0.007194244604316613,-0.7911005582338962
1998-07-31,28,1998-28,1998,7,16,34.28,35.3,30.94,31.41,15.25,32956017,-0.07910628019323662,-8.698762116473954
1998-08-15,31,1998-31,1998,8,3,31.33,33.26,30.73,31.59,15.34,26971714,0.005901639344262355,0.6489618349840034
