Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,50.21,52.48,48.37,51.85,20.69,66126075,,
1998-01-31,02,1998-02,1998,1,16,52.21,56.77,51.88,56.0,22.34,68320379,0.07974867085548576,8.040761421682898
1998-02-15,05,1998-05,1998,2,2,57.25,57.34,53.67,56.15,22.4,52566003,0.0026857654431511335,0.270795725261836
1998-02-28,07,1998-07,1998,2,17,56.45,62.44,56.3,60.86,24.28,58866580,0.08392857142857157,8.462205226501204
1998-03-15,09,1998-09,1998,3,2,60.86,62.5,59.01,61.19,24.5,38171094,0.00906095551894559,0.913582393270831
1998-03-31,11,1998-11,1998,3,16,61.19,63.36,60.23,61.16,24.49,49532462,-0.00040816326530623837,-0.04115358164864969
1998-04-15,13,1998-13,1998,4,1,61.25,63.45,57.76,58.92,23.59,50309241,-0.03674969375255199,-3.705334729899822
1998-04-30,15,1998-15,1998,4,16,57.73,58.86,53.2,57.49,23.02,79967012,-0.02416278083933876,-2.4362431866181904
1998-05-15,17,1998-17,1998,5,1,57.13,57.37,54.57,55.7,22.3,58039918,-0.0312771503040834,-3.153558559000757
1998-05-31,20,1998-20,1998,5,18,55.82,58.0,55.37,55.82,22.35,36802407,0.0022421524663678305,0.22606788125374083
1998-06-15,22,1998-22,1998,6,1,55.82,61.13,53.2,59.16,23.78,70303822,0.06398210290827744,6.4510771054140195
1998-06-30,24,1998-24,1998,6,16,59.52,64.05,58.98,63.81,25.65,58275927,0.07863751051303614,7.928727263382463
1998-07-15,26,1998-26,1998,7,1,63.28,65.78,62.32,65.18,26.2,42389295,0.021442495126705596,2.1619669111711333
1998-07-31,28,1998-28,1998,7,16,65.06,66.38,57.64,58.95,23.69,88623073,-0.09580152671755715,-9.659311081996151
1998-08-15,31,1998-31,1998,8,3,58.62,61.43,56.0,60.77,24.43,68800989,0.031236808780075842,3.149491073405672
1998-08-31,33,1998-33,1998,8,17,61.07,64.44,54.9,55.31,22.23,79807505,-0.09005321326238225,-9.079730048553365
1998-09-15,35,1998-35,1998,9,1,56.24,65.36,54.87,64.65,26.1,82635639,0.1740890688259109,17.55275233475309
1998-09-30,37,1998-37,1998,9,16,64.41,66.17,61.07,61.81,24.95,76180797,-0.044061302681992376,-4.442537022798379
1998-10-15,39,1998-39,1998,10,1,61.43,63.87,58.03,63.57,25.67,81350581,0.028857715430861797,2.909615953033973
1998-10-31,41,1998-41,1998,10,16,63.93,65.24,61.96,64.44,26.01,67244082,0.013245033112582849,1.335447351512101
1998-11-15,44,1998-44,1998,11,2,64.77,70.91,64.17,69.48,28.05,59153103,0.07843137254901955,7.9079431403265135
1998-11-30,46,1998-46,1998,11,16,69.81,76.28,69.48,74.01,29.88,44743939,0.0652406417112299,6.577970884907963
1998-12-15,48,1998-48,1998,12,1,73.59,77.17,67.51,69.6,28.19,77626826,-0.05655957161981251,-5.70269092423646
1998-12-31,50,1998-50,1998,12,16,69.6,72.28,68.49,70.37,28.51,47713134,0.011351543100390327,1.1445338067588695
1999-01-15,01,1999-01,1999,1,4,70.91,73.47,68.94,70.19,28.44,58705817,-0.0024552788495264544,-0.2475566205801943
1999-01-31,03,1999-03,1999,1,19,70.91,72.61,64.38,70.01,28.36,69587409,-0.002812939521800395,-0.2836182138935786
1999-02-15,05,1999-05,1999,2,1,69.9,72.82,68.88,71.8,29.09,50090418,0.02574047954866021,2.5953166706131676
1999-02-28,07,1999-07,1999,2,16,72.94,78.24,71.98,77.77,31.5,47072806,0.08284633894809224,8.35308775676808
1999-03-15,09,1999-09,1999,3,1,77.89,80.75,74.43,80.39,32.68,57202249,0.037460317460317416,3.7769842713083284
1999-03-31,11,1999-11,1999,3,16,81.11,83.37,76.46,76.46,31.08,50652459,-0.04895960832313351,-4.936414934597959
1999-04-15,13,1999-13,1999,4,1,76.75,81.17,71.86,73.83,30.01,50000708,-0.03442728442728438,-3.471174848516872
