Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,16.2,16.7,15.55,16.54,10.22,665342400,,
1998-01-31,02,1998-02,1998,1,16,16.55,18.77,16.54,18.65,11.52,820765600,0.12720156555772988,11.207176716037344
1998-02-15,05,1998-05,1998,2,2,18.97,20.01,18.81,19.69,12.16,636900000,0.05555555555555558,4.89475837768811
1998-02-28,07,1998-07,1998,2,17,19.81,21.5,19.11,21.19,13.09,765118400,0.07648026315789469,6.73834335875813
1998-03-15,09,1998-09,1998,3,2,21.47,21.47,19.81,20.59,12.72,536026800,-0.02826585179526353,-2.490381267792419
1998-03-31,11,1998-11,1998,3,16,20.61,22.73,19.92,22.38,13.82,563900800,0.08647798742138368,7.619199361495642
1998-04-15,13,1998-13,1998,4,1,22.45,23.27,21.66,22.84,14.11,428644800,0.02098408104196814,1.8488161166086752
1998-04-30,15,1998-15,1998,4,16,22.59,24.78,22.12,22.53,13.92,590332400,-0.013465627214741316,-1.1863978491632405
1998-05-15,17,1998-17,1998,5,1,22.55,22.75,20.47,22.36,13.81,686358400,-0.007902298850574696,-0.6962371830332207
1998-05-31,20,1998-20,1998,5,18,21.12,21.84,20.72,21.2,13.1,409024000,-0.051412020275163006,-4.5296895052030495
1998-06-15,22,1998-22,1998,6,1,20.97,22.09,20.78,21.48,13.27,398475600,0.012977099236641143,1.1433557737195053
1998-06-30,24,1998-24,1998,6,16,21.58,27.14,21.38,27.09,16.74,834676800,0.26149208741522223,23.03893054034658
1998-07-15,26,1998-26,1998,7,1,27.28,29.69,26.34,29.34,18.13,454048000,0.08303464755077661,7.315821661275776
1998-07-31,28,1998-28,1998,7,16,29.52,29.91,27.48,27.48,16.98,775250000,-0.06343077771649197,-5.588609951359282
1998-08-15,31,1998-31,1998,8,3,27.28,27.72,25.38,26.06,16.1,650726800,-0.051825677267373305,-4.566135023709041
1998-08-31,33,1998-33,1998,8,17,25.88,28.44,23.94,23.98,14.82,699312800,-0.07950310559006213,-7.004672858505218
1998-09-15,35,1998-35,1998,9,1,23.81,27.11,23.62,27.08,16.73,662256000,0.12887989203778671,11.355046762814917
1998-09-30,37,1998-37,1998,9,16,26.97,28.66,25.59,27.52,17.0,530068400,0.016138673042438656,1.421908291426425
1998-10-15,39,1998-39,1998,10,1,27.02,27.38,21.94,26.36,16.28,859066000,-0.04235294117647048,-3.7315334455786893
1998-10-31,41,1998-41,1998,10,16,26.5,27.53,24.91,26.47,16.35,783983200,0.004299754299754266,0.3788326508530078
1998-11-15,44,1998-44,1998,11,2,26.59,28.69,26.19,27.5,16.99,575410400,0.03914373088684986,3.448783884462787
1998-11-30,46,1998-46,1998,11,16,27.83,32.57,26.88,30.5,18.84,587296400,0.10888758092995898,9.593611181695954
1998-12-15,48,1998-48,1998,12,1,30.06,33.67,30.03,32.97,20.36,684586800,0.08067940552016983,7.108311529381454
1998-12-31,50,1998-50,1998,12,16,33.12,36.0,32.28,34.67,21.42,416935200,0.05206286836935181,4.587032900112443
1999-01-15,01,1999-01,1999,1,4,34.9,38.12,34.0,37.44,23.13,602321200,0.07983193277310918,7.033644391467779
1999-01-31,03,1999-03,1999,1,19,37.84,43.78,37.72,43.75,27.02,870197600,0.1681798530047558,14.817595400160894
1999-02-15,05,1999-05,1999,2,1,43.86,43.98,38.72,39.44,24.36,848691600,-0.0984455958549223,-8.673613291032813
1999-02-28,07,1999-07,1999,2,16,39.94,39.97,36.0,37.53,23.18,750411600,-0.04844006568144499,-4.267843511580271
1999-03-15,09,1999-09,1999,3,1,37.39,41.5,36.77,41.47,25.62,689622800,0.10526315789473695,9.274279031409055
1999-03-31,11,1999-11,1999,3,16,41.38,47.31,40.78,44.81,27.68,879787200,0.08040593286494913,7.084217043117671
1999-04-15,13,1999-13,1999,4,1,45.62,47.81,41.94,44.44,27.45,448137600,-0.008309248554913329,-0.7320917515761867
1999-04-30,15,1999-15,1999,4,16,44.53,44.56,39.94,40.66,25.11,715461800,-0.08524590163934431,-7.510645641829625
1999-05-15,18,1999-18,1999,5,3,40.72,40.91,38.22,38.44,23.74,608028000,-0.05455993628036648,-4.807038693500156
1999-05-31,20,1999-20,1999,5,17,38.69,40.44,37.75,40.34,24.92,516229000,0.04970513900589735,4.379303620138824
1999-06-15,22,1999-22,1999,6,1,40.31,41.31,38.06,38.84,23.99,409852200,-0.03731942215088291,-3.2880519760232385
1999-06-30,24,1999-24,1999,6,16,39.53,45.12,39.47,45.09,27.85,477580400,0.16090037515631517,14.176232266851596
1999-07-15,26,1999-26,1999,7,1,44.94,47.62,44.19,47.19,29.15,384365400,0.04667863554757612,4.112651563299866
1999-07-31,28,1999-28,1999,7,16,47.75,50.38,42.75,42.91,26.5,760335800,-0.09090909090909083,-8.009604618035079
1999-08-15,31,1999-31,1999,8,2,42.84,43.59,40.81,42.34,26.16,616858600,-0.012830188679245236,-1.1304121234509852
1999-08-31,33,1999-33,1999,8,16,42.53,48.19,41.16,46.28,28.59,731135600,0.09288990825688082,8.184125819574847
1999-09-15,35,1999-35,1999,9,1,46.16,48.34,45.34,46.31,28.61,401064800,0.0006995452955578241,0.06163389352807133
1999-09-30,37,1999-37,1999,9,16,46.44,48.94,44.41,45.28,27.97,576208800,-0.02236980076896189,-1.9709058549796215
1999-10-15,39,1999-39,1999,10,1,45.09,47.59,43.66,44.03,27.2,437104200,-0.027529495888451883,-2.425504151403543
1999-10-31,42,1999-42,1999,10,18,43.59,47.62,42.53,46.28,28.59,625200200,0.05110294117647052,4.502457890064569
1999-11-15,44,1999-44,1999,11,1,46.62,47.25,42.19,43.5,26.87,857277600,-0.06016089541797831,-5.300514843414613
1999-11-30,46,1999-46,1999,11,16,43.47,46.69,42.19,45.52,28.12,607978400,0.04652028284331977,4.098699795235676
1999-12-15,48,1999-48,1999,12,1,45.53,54.38,45.44,54.22,33.49,750825400,0.19096728307254618,16.82529675630627
1999-12-31,50,1999-50,1999,12,16,54.62,59.97,54.47,58.38,36.06,510152400,0.07673932517169302,6.761168186080973
2000-01-15,01,2000-01,2000,1,3,58.69,59.31,50.75,56.12,34.67,603197200,-0.03854686633388793,-3.3961967445855894
2000-01-31,03,2000-03,2000,1,18,55.91,58.25,47.44,48.94,30.23,671678000,-0.12806460917219498,-11.283215735357183
2000-02-15,05,2000-05,2000,2,1,49.25,55.0,48.84,49.28,30.44,698131400,0.0069467416473700805,0.6120471937697927
2000-02-29,07,2000-07,2000,2,16,49.62,50.09,44.06,44.69,27.6,636356200,-0.09329829172141912,-8.220106710493294
2000-03-15,09,2000-09,2000,3,1,44.81,51.25,44.47,47.69,29.46,1000534800,0.06739130434782603,5.937554727717308
2000-03-31,11,2000-11,2000,3,16,47.97,57.5,46.62,53.12,32.82,1027652800,0.11405295315682284,10.048709663359702
2000-04-15,14,2000-14,2000,4,3,47.22,48.25,36.62,37.06,22.89,1204470200,-0.30255941499085925,-26.65719416294858
2000-04-30,16,2000-16,2000,4,17,37.12,40.97,32.5,34.88,21.54,1053676400,-0.05897771952817832,-5.196270361634826
2000-05-15,18,2000-18,2000,5,1,36.44,37.0,32.88,34.69,21.43,635483800,-0.00510677808727944,-0.4499360068626916
2000-05-31,20,2000-20,2000,5,16,34.78,35.31,30.19,31.28,19.32,708947000,-0.09846010265982263,-8.674891422519563
2000-06-15,22,2000-22,2000,6,1,32.19,36.34,31.91,36.19,22.35,784310600,0.15683229813664612,13.817811693535695
2000-06-30,24,2000-24,2000,6,16,36.31,41.09,35.75,40.0,24.71,682739600,0.10559284116331091,9.303325990344105
2000-07-15,27,2000-27,2000,7,3,39.84,41.44,38.59,39.47,24.38,432834200,-0.013354917037636693,-1.1766436569594334
2000-07-31,29,2000-29,2000,7,17,39.12,39.78,33.62,34.91,21.56,801351600,-0.11566858080393772,-10.191055588656623
2000-08-15,31,2000-31,2000,8,1,34.97,37.44,34.06,35.81,22.12,621566600,0.025974025974025983,2.2884584622957393
2000-08-31,33,2000-33,2000,8,16,35.94,36.38,34.84,34.91,21.56,597833200,-0.025316455696202667,-2.230522805022441
2000-09-15,35,2000-35,2000,9,1,35.0,36.03,31.66,32.09,19.82,634206000,-0.08070500927643776,-7.110567364990322
2000-09-30,38,2000-38,2000,9,18,32.12,32.94,29.31,30.16,18.63,791327800,-0.06004036326942486,-5.289895280024184
2000-10-15,40,2000-40,2000,10,2,30.25,30.41,26.06,26.88,16.6,839619600,-0.10896403650026831,-9.60034734947522
2000-10-31,42,2000-42,2000,10,16,26.75,35.06,24.22,34.44,21.27,1629796000,0.28132530120481913,24.786348748702537
2000-11-15,44,2000-44,2000,11,1,34.25,36.19,32.2,35.03,21.64,1026146200,0.0173953925716972,1.53263238342279
2000-11-30,46,2000-46,2000,11,16,34.72,36.12,28.5,28.69,17.72,957316400,-0.18114602587800377,-15.959988499522783
2000-12-15,48,2000-48,2000,12,1,29.03,30.31,23.88,24.59,15.19,1093904200,-0.14277652370203153,-12.579418539498663
2000-12-31,51,2000-51,2000,12,18,24.5,25.0,20.16,21.69,13.4,962764000,-0.11784068466096109,-10.382430212581353
2001-01-15,00,2001-00,2001,1,2,22.06,27.88,21.44,26.75,16.52,884767000,0.23283582089552235,20.514151529176424
2001-01-31,02,2001-02,2001,1,16,26.69,32.38,25.56,30.53,18.86,1120764200,0.14164648910411626,12.479856105824647
2001-02-15,04,2001-04,2001,2,1,30.41,32.53,28.19,29.41,18.16,880128400,-0.03711558854718977,-3.2700930837152744
2001-02-28,06,2001-06,2001,2,16,28.5,30.59,26.94,29.5,18.22,656767200,0.0033039647577091102,0.29109796519289266
2001-03-15,08,2001-08,2001,3,1,29.28,30.56,25.81,26.84,16.58,863648000,-0.09001097694840843,-7.930475703038039
2001-03-31,10,2001-10,2001,3,16,26.25,29.28,24.88,27.34,16.89,1031701800,0.018697225572979592,1.6473312272315914
2001-04-15,13,2001-13,2001,4,2,27.41,31.16,25.53,31.09,19.2,843038800,0.13676731793960917,12.04997355501903
2001-04-30,15,2001-15,2001,4,16,30.7,35.55,30.02,33.88,20.92,1232768200,0.08958333333333357,7.8927978840220945
2001-05-15,17,2001-17,2001,5,1,33.83,36.08,33.8,34.13,21.09,845312800,0.008126195028680616,0.7159637015165142
2001-05-31,19,2001-19,2001,5,16,33.85,35.95,33.62,34.59,21.37,931993000,0.01327643432906589,1.1697288868443825
2001-06-15,21,2001-21,2001,6,1,34.8,36.88,33.2,34.01,21.01,739317600,-0.016846045858680325,-1.4842318337584843
2001-06-30,24,2001-24,2001,6,18,33.97,38.08,33.01,36.5,22.55,709860200,0.0732984293193717,6.458005817682736
2001-07-15,26,2001-26,2001,7,2,36.03,36.58,32.1,35.67,22.03,611432400,-0.023059866962305997,-2.031704586038169
2001-07-31,28,2001-28,2001,7,16,35.72,36.5,32.53,33.1,20.44,843768600,-0.07217430776214251,-6.358964356306563
2001-08-15,30,2001-30,2001,8,1,33.4,33.77,31.45,31.6,19.52,473265800,-0.045009784735812186,-3.9656163764439905
2001-08-31,32,2001-32,2001,8,16,31.42,32.35,28.15,28.52,17.62,680630600,-0.09733606557377039,-8.57585740353141
2001-09-15,35,2001-35,2001,9,4,28.59,29.54,27.35,28.79,17.78,443352200,0.009080590238365494,0.8000513125846622
2001-09-30,37,2001-37,2001,9,17,27.01,27.55,23.75,25.58,15.8,1067472200,-0.11136107986501687,-9.811540415118342
2001-10-15,39,2001-39,2001,10,1,25.47,29.33,25.2,29.03,17.93,892601200,0.1348101265822783,11.877533936744419
2001-10-31,41,2001-41,2001,10,16,28.93,31.82,27.75,29.08,17.96,858289800,0.001673173452314547,0.14741603591475533
2001-11-15,43,2001-43,2001,11,1,30.04,34.17,29.8,33.06,20.42,793645200,0.13697104677060135,12.06792321625999
2001-11-30,45,2001-45,2001,11,16,33.18,33.9,31.36,32.1,19.83,537323400,-0.028893241919686785,-2.54565788300921
2001-12-15,48,2001-48,2001,12,3,31.92,34.5,31.9,33.72,20.83,507635600,0.05042864346949072,4.443048451759254
2001-12-31,50,2001-50,2001,12,17,33.58,34.94,33.12,33.12,20.46,469453400,-0.017762842054728667,-1.565006759260808
2002-01-15,00,2002-00,2002,1,2,33.33,35.31,32.76,34.78,21.48,586000400,0.04985337243401755,4.39236382279343
2002-01-31,02,2002-02,2002,1,16,34.42,35.0,30.67,31.85,19.68,774115400,-0.08379888268156432,-7.383155094836817
2002-02-15,04,2002-04,2002,2,1,32.08,32.25,29.42,30.11,18.6,648732000,-0.05487804878048774,-4.8350662023504425
2002-02-28,07,2002-07,2002,2,19,29.95,30.18,28.58,29.17,18.02,482427200,-0.031182795698924792,-2.7473805087668786
2002-03-15,08,2002-08,2002,3,1,29.52,32.5,29.42,31.25,19.3,633541800,0.07103218645948961,6.25833701564563
2002-03-31,11,2002-11,2002,3,18,31.37,31.5,29.16,30.16,18.63,439702400,-0.03471502590673581,-3.058589949995786
2002-04-15,13,2002-13,2002,4,1,29.92,30.2,27.13,27.84,17.2,682671800,-0.07675791733762749,-6.762806260960381
2002-04-30,15,2002-15,2002,4,16,28.2,29.14,25.72,26.13,16.14,734807600,-0.06162790697674414,-5.429766851528432
2002-05-15,17,2002-17,2002,5,1,26.08,28.22,24.17,27.38,16.91,830737400,0.04770755885997513,4.203305521360412
2002-05-31,19,2002-19,2002,5,16,27.35,28.2,25.44,25.45,15.72,589528800,-0.07037256061502062,-6.200220251335255
2002-06-15,22,2002-22,2002,6,3,25.5,27.89,24.58,27.62,17.06,891552000,0.08524173027989801,7.510278121490894
2002-06-30,24,2002-24,2002,6,17,27.83,28.22,25.52,27.35,16.89,942521000,-0.009964830011723214,-0.8779578332781616
2002-07-15,26,2002-26,2002,7,1,27.06,27.47,24.0,25.9,16.0,867298200,-0.052693901716992286,-4.642630503881791
2002-07-31,28,2002-28,2002,7,16,25.66,26.65,20.7,23.99,14.82,1564889800,-0.07374999999999998,-6.497791746380961
2002-08-15,30,2002-30,2002,8,1,23.79,25.37,21.9,24.89,15.37,942195600,0.037112010796221284,3.269777863637801
2002-08-31,32,2002-32,2002,8,16,24.72,26.73,24.26,24.54,15.16,773561600,-0.013662979830839195,-1.2037857298413084
2002-09-15,35,2002-35,2002,9,3,24.26,25.55,22.94,23.95,14.8,681364200,-0.0237467018469657,-2.0922186205421465
2002-09-30,37,2002-37,2002,9,16,23.8,24.45,21.56,21.87,13.51,1014341600,-0.08716216216216222,-7.679479022291751
2002-10-15,39,2002-39,2002,10,1,22.16,26.18,21.59,26.15,16.15,1192001400,0.1954108068097704,17.21679630701249
2002-10-31,41,2002-41,2002,10,16,25.19,27.03,25.02,26.74,16.51,1283369200,0.02229102167182684,1.9639649713572285
2002-11-15,43,2002-43,2002,11,1,26.22,28.62,25.95,28.34,17.51,978329600,0.060569351907934665,5.336502168285042
2002-11-30,46,2002-46,2002,11,18,28.48,29.32,27.16,28.84,17.81,577667600,0.01713306681896043,1.5095200022567405
2002-12-15,48,2002-48,2002,12,2,29.33,29.48,26.25,26.25,16.21,663457000,-0.08983717012914083,-7.91516234011327
2002-12-31,50,2002-50,2002,12,16,26.5,27.5,25.63,25.85,15.97,604913200,-0.014805675508945071,-1.3044636762253294
2003-01-15,00,2003-00,2003,1,2,26.15,28.66,25.85,28.14,17.38,631296600,0.08829054477144638,7.7788959064323135
2003-01-31,02,2003-02,2003,1,16,28.16,28.33,23.51,23.73,14.66,1087365600,-0.1565017261219792,-13.788686431047735
2003-02-15,05,2003-05,2003,2,3,23.97,24.55,23.0,24.15,14.92,815269800,0.017735334242837686,1.5625831655921136
2003-02-28,07,2003-07,2003,2,18,24.62,24.99,23.3,23.7,14.69,531701000,-0.015415549597855294,-1.358197029733837
2003-03-15,09,2003-09,2003,3,3,24.02,24.96,22.55,24.86,15.41,614386800,0.04901293396868622,4.318316444849416
2003-03-31,11,2003-11,2003,3,17,24.52,26.8,24.01,24.21,15.0,757515800,-0.026606099935107097,-2.3441477499895047
