Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,39.66,41.41,38.78,39.97,20.4,39444200,,
1998-01-31,02,1998-02,1998,1,16,40.22,40.91,38.66,39.19,20.06,44058200,-0.016666666666666607,-2.1459026841119484
1998-02-15,05,1998-05,1998,2,2,39.59,42.38,39.34,42.34,21.68,37506000,0.08075772681954141,10.397893364690042
1998-02-28,07,1998-07,1998,2,17,42.38,42.62,41.12,42.44,21.72,29020000,0.0018450184501843658,0.2375538026692027
1998-03-15,09,1998-09,1998,3,2,42.0,43.47,39.94,41.22,21.1,36314800,-0.02854511970534057,-3.6753029396392454
1998-03-31,11,1998-11,1998,3,16,41.03,43.94,41.0,42.19,21.6,43996000,0.023696682464454888,3.051046470301348
1998-04-15,13,1998-13,1998,4,1,41.53,44.84,41.09,41.5,21.24,39837400,-0.01666666666666683,-2.1459026841119773
1998-04-30,15,1998-15,1998,4,16,41.59,44.25,40.09,41.09,21.1,61221000,-0.006591337099811523,-0.8486620784623358
1998-05-15,17,1998-17,1998,5,1,41.5,42.88,40.12,40.97,21.04,38744200,-0.0028436018957347375,-0.3661255764361812
1998-05-31,20,1998-20,1998,5,18,41.34,42.5,40.75,41.94,21.53,27621000,0.023288973384030465,2.9985522297001728
1998-06-15,22,1998-22,1998,6,1,41.97,44.5,41.78,42.41,21.77,40800000,0.011147236414305484,1.4352530725133206
1998-06-30,24,1998-24,1998,6,16,42.78,46.25,42.38,45.53,23.38,46238400,0.07395498392282951,9.522011910207384
1998-07-15,26,1998-26,1998,7,1,45.91,47.0,45.0,45.66,23.44,30630200,0.0025662959794696683,0.33042128583418096
1998-07-31,28,1998-28,1998,7,16,45.62,46.41,39.53,39.69,20.44,75419000,-0.1279863481228669,-16.478774877992837
1998-08-15,31,1998-31,1998,8,3,39.53,40.81,37.81,39.25,20.22,76824600,-0.010763209393346518,-1.3858079956104787
1998-08-31,33,1998-33,1998,8,17,39.28,41.69,38.25,38.25,19.7,55486200,-0.02571711177052416,-3.311185150558498
1998-09-15,35,1998-35,1998,9,1,38.69,40.31,32.56,34.84,17.95,77965600,-0.08883248730964466,-11.437552377246465
1998-09-30,37,1998-37,1998,9,16,34.97,37.5,32.62,35.56,18.32,61142400,0.020612813370473493,2.653985492327873
1998-10-15,39,1998-39,1998,10,1,35.0,41.84,34.81,41.47,21.36,66214800,0.1659388646288209,21.36531930032864
1998-10-31,41,1998-41,1998,10,16,41.47,44.5,40.47,44.34,22.92,58929800,0.0730337078651686,9.403393784310827
1998-11-15,44,1998-44,1998,11,2,44.44,45.72,43.52,44.78,23.15,41191400,0.010034904013961565,1.292035647501958
1998-11-30,46,1998-46,1998,11,16,44.97,46.78,43.59,43.81,22.65,36683400,-0.021598272138228958,-2.78086740921636
1998-12-15,48,1998-48,1998,12,1,43.44,46.0,41.31,44.75,23.13,59239000,0.02119205298013238,2.7285650023145314
1998-12-31,50,1998-50,1998,12,16,44.59,47.41,43.38,45.66,23.6,41774400,0.02031993082576755,2.616275645999032
1999-01-15,01,1999-01,1999,1,4,45.0,46.5,41.88,43.31,22.39,58508200,-0.05127118644067796,-6.601378596039321
1999-01-31,03,1999-03,1999,1,19,43.84,45.5,41.0,45.44,23.57,50989400,0.05270209915140689,6.785614561640309
1999-02-15,05,1999-05,1999,2,1,45.06,45.44,42.03,43.75,22.69,44283000,-0.03733559609673309,-4.807113352613965
1999-02-28,07,1999-07,1999,2,16,43.94,46.5,43.81,44.75,23.21,39509200,0.022917584839136085,2.950734409179936
1999-03-15,09,1999-09,1999,3,1,45.06,47.0,44.25,45.84,23.78,51042600,0.024558380008617098,3.1619936146759704
1999-03-31,11,1999-11,1999,3,16,45.25,50.91,45.06,48.97,25.4,70776600,0.06812447434819169,8.771309541450039
