Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,6.22,6.38,5.88,5.88,4.7,81309600,,
1998-01-31,02,1998-02,1998,1,16,5.88,6.41,5.82,6.41,5.12,74057600,0.08936170212765959,7.499651922643613
1998-02-15,05,1998-05,1998,2,2,6.61,7.38,6.41,7.27,5.82,104703200,0.13671875,11.474076834773754
1998-02-28,07,1998-07,1998,2,17,7.24,7.72,7.07,7.59,6.07,80108800,0.04295532646048117,3.6050118675774248
1998-03-15,09,1998-09,1998,3,2,7.5,8.39,7.49,8.2,6.56,92244000,0.0807248764415156,6.7748091228713525
1998-03-31,11,1998-11,1998,3,16,8.16,8.41,7.91,8.09,6.48,68104000,-0.012195121951219412,-1.023471661917093
1998-04-15,13,1998-13,1998,4,1,7.94,9.06,7.94,8.84,7.07,79392800,0.09104938271604945,7.64128996968355
1998-04-30,15,1998-15,1998,4,16,8.82,8.88,8.0,8.78,7.03,68329600,-0.005657708628005631,-0.47482136507610706
1998-05-15,17,1998-17,1998,5,1,8.72,9.24,8.62,8.79,7.03,74171200,0.0,0.0
1998-05-31,20,1998-20,1998,5,18,8.79,8.79,7.56,8.0,6.4,139882400,-0.08961593172119486,-7.520988058981144
1998-06-15,22,1998-22,1998,6,1,7.94,8.09,7.7,7.84,6.28,89800000,-0.018750000000000044,-1.5735876801975472
1998-06-30,24,1998-24,1998,6,16,7.88,8.28,7.66,7.96,6.37,84888800,0.014331210191082855,1.2027421759471715
1998-07-15,26,1998-26,1998,7,1,8.02,8.31,7.66,7.69,6.15,60220800,-0.03453689167974883,-2.8984974538437225
1998-07-31,28,1998-28,1998,7,16,7.61,7.8,6.83,7.06,5.65,123976800,-0.08130081300813008,-6.823144412780676
1998-08-15,31,1998-31,1998,8,3,7.06,7.2,3.7,3.91,3.13,490663200,-0.4460176991150443,-37.43189101213272
1998-08-31,33,1998-33,1998,8,17,3.95,4.66,3.91,4.52,3.61,249078400,0.15335463258785942,12.870237895545403
1998-09-15,35,1998-35,1998,9,1,4.52,4.97,4.31,4.7,3.76,110356000,0.04155124653739617,3.487174914565197
1998-09-30,37,1998-37,1998,9,16,4.7,5.2,4.36,4.38,3.5,89557600,-0.06914893617021267,-5.803302082998025
1998-10-15,39,1998-39,1998,10,1,4.31,5.02,4.17,4.95,3.96,119904000,0.13142857142857145,11.030100310718021
1998-10-31,41,1998-41,1998,10,16,4.95,5.48,4.49,5.38,4.3,105972800,0.08585858585858586,7.205654023800198
1998-11-15,44,1998-44,1998,11,2,5.38,6.23,5.33,5.66,4.53,94500800,0.05348837209302326,4.48899431250152
1998-11-30,46,1998-46,1998,11,16,5.69,6.33,5.42,5.64,4.51,72081600,-0.004415011037527727,-0.3705283720847896
1998-12-15,48,1998-48,1998,12,1,5.5,6.19,5.2,5.35,4.28,134072000,-0.05099778270509969,-4.279972404380598
1998-12-31,50,1998-50,1998,12,16,5.38,5.77,5.36,5.38,4.31,54930400,0.007009345794392274,0.588257076709341
