Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,41.59,41.76,38.11,40.02,11.94,34075419,,
1998-01-31,02,1998-02,1998,1,16,40.3,41.99,40.02,41.62,12.42,31857083,0.04020100502512558,4.481811978005304
1998-02-15,05,1998-05,1998,2,2,41.99,42.18,39.4,39.96,11.93,30164253,-0.03945249597423517,-4.398364391860894
1998-02-28,07,1998-07,1998,2,17,40.36,40.64,39.49,40.36,12.04,22398411,0.009220452640402277,1.0279428352738418
1998-03-15,09,1998-09,1998,3,2,40.3,43.56,40.27,43.31,12.93,27349247,0.07392026578073096,8.241006223261223
1998-03-31,11,1998-11,1998,3,16,43.5,47.66,43.5,45.98,13.72,37808007,0.0610982211910287,6.81153964677316
1998-04-15,13,1998-13,1998,4,1,46.03,46.43,41.48,41.51,12.48,34368304,-0.09037900874635574,-10.075910383496637
1998-04-30,15,1998-15,1998,4,16,41.31,44.26,40.92,42.07,12.65,36137639,0.013621794871794934,1.518626795031253
1998-05-15,17,1998-17,1998,5,1,42.61,45.05,40.58,41.0,12.33,33968895,-0.02529644268774711,-2.8201757584918874
1998-05-31,20,1998-20,1998,5,18,41.09,42.1,40.19,41.2,12.39,23078032,0.0048661800486617945,0.5425064377269194
1998-06-15,22,1998-22,1998,6,1,41.82,43.84,41.45,42.72,12.85,22416199,0.03712671509281673,4.1390745406235405
1998-06-30,24,1998-24,1998,6,16,42.83,44.26,40.47,41.03,12.34,37408261,-0.03968871595330736,-4.424699393460686
1998-07-15,26,1998-26,1998,7,1,41.37,42.72,39.85,40.3,12.22,20474964,-0.00972447325769843,-1.0841336105628603
1998-07-31,28,1998-28,1998,7,16,40.24,41.59,38.73,40.78,12.37,40120413,0.01227495908346965,1.3684747089142564
1998-08-15,31,1998-31,1998,8,3,40.92,42.16,36.37,36.98,11.22,28264825,-0.09296685529506865,-10.36441664477076
1998-08-31,33,1998-33,1998,8,17,36.93,41.48,36.7,39.68,12.03,29871811,0.0721925133689838,8.048387619593074
1998-09-15,35,1998-35,1998,9,1,39.68,41.09,36.53,40.58,12.31,26119656,0.023275145469659364,2.5948312906739166
1998-09-30,37,1998-37,1998,9,16,40.47,45.36,38.5,43.56,13.21,31791923,0.07311129163281893,8.150817681364254
1998-10-15,39,1998-39,1998,10,1,43.39,47.66,42.94,46.09,14.08,43075971,0.06585919757759262,7.342317446556188
1998-10-31,41,1998-41,1998,10,16,46.71,48.11,43.79,47.83,14.61,23251163,0.037642045454545414,4.196526183595698
1998-11-15,44,1998-44,1998,11,2,48.56,50.76,47.78,48.45,14.8,22764241,0.013004791238877544,1.4498401000032646
1998-11-30,46,1998-46,1998,11,16,48.79,52.95,48.79,50.02,15.28,17754583,0.03243243243243232,3.615732095769136
1998-12-15,48,1998-48,1998,12,1,49.46,52.89,46.82,48.68,14.87,25394998,-0.026832460732984287,-2.991418842322097
1998-12-31,50,1998-50,1998,12,16,48.34,55.03,47.66,48.56,14.84,25060081,-0.0020174848688634395,-0.22491944778657627
1999-01-15,01,1999-01,1999,1,4,49.46,52.05,45.98,47.78,14.7,53139765,-0.009433962264150941,-1.0517459712536041
1999-01-31,03,1999-03,1999,1,19,51.6,53.96,48.51,53.96,16.6,45599536,0.12925170068027225,14.40963527962423
1999-02-15,05,1999-05,1999,2,1,53.62,54.35,51.37,51.99,16.0,31920354,-0.03614457831325313,-4.029580950104184
1999-02-28,07,1999-07,1999,2,16,51.71,54.13,50.36,51.82,15.94,27580199,-0.003750000000000031,-0.4180690235733112
1999-03-15,09,1999-09,1999,3,1,51.26,51.54,48.11,49.29,15.17,29184628,-0.048306148055207054,-5.385414440007481
1999-03-31,11,1999-11,1999,3,16,49.46,49.74,45.53,46.48,14.3,33414366,-0.05735003295978902,-6.39367260837227
1999-04-15,13,1999-13,1999,4,1,46.26,51.49,45.81,51.32,15.9,29294044,0.11188811188811187,12.473854316406383
1999-04-30,15,1999-15,1999,4,16,51.37,53.79,50.31,51.82,16.06,36092270,0.010062893081761004,1.1218623693371779
1999-05-15,18,1999-18,1999,5,3,51.94,54.07,49.13,50.36,15.61,42318067,-0.028019925280199254,-3.1238034139973188
1999-05-31,20,1999-20,1999,5,17,50.47,52.61,48.62,49.24,15.26,39873670,-0.022421524663677084,-2.4996653128448845
1999-06-15,22,1999-22,1999,6,1,49.24,54.75,48.34,53.45,16.57,28830918,0.08584534731323723,9.570474807881752
1999-06-30,24,1999-24,1999,6,16,54.41,58.79,52.44,58.79,18.22,32603869,0.09957754978877476,11.1014104026708
1999-07-15,26,1999-26,1999,7,1,56.66,58.91,55.36,58.91,18.37,26202717,0.008232711306257023,0.9178244205780812
1999-07-31,28,1999-28,1999,7,16,59.24,60.2,57.22,57.56,17.95,27615893,-0.02286336418072954,-2.5489238236369434
1999-08-15,31,1999-31,1999,8,2,57.78,58.91,55.36,57.73,18.0,30377748,0.0027855153203342198,0.31054337869883114
1999-08-31,33,1999-33,1999,8,16,57.89,58.85,54.52,55.14,17.2,36180114,-0.04444444444444451,-4.95489213123921
1999-09-15,35,1999-35,1999,9,1,55.14,58.68,54.18,56.77,17.7,24316297,0.029069767441860517,3.2408451439791355
1999-09-30,37,1999-37,1999,9,16,56.6,61.32,56.38,60.54,18.88,41059453,0.06666666666666665,7.432338196858804
1999-10-15,39,1999-39,1999,10,1,60.54,62.5,55.65,57.44,18.02,37500552,-0.04555084745762705,-5.078239551879155
1999-10-31,42,1999-42,1999,10,18,57.22,59.19,55.65,58.4,18.32,33086563,0.01664816870144281,1.8560223022122397
1999-11-15,44,1999-44,1999,11,1,58.62,58.74,56.04,56.99,17.88,32380699,-0.02401746724890841,-2.6775890883880096
1999-11-30,46,1999-46,1999,11,16,57.11,58.85,55.36,57.36,17.99,25449263,0.006152125279641929,0.6858701356161505
1999-12-15,48,1999-48,1999,12,1,56.88,59.64,56.26,58.17,18.25,35295894,0.014452473596442639,1.6112350732490095
1999-12-31,50,1999-50,1999,12,16,58.01,60.48,53.23,55.36,17.37,44542740,-0.04821917808219167,-5.375718586221151
2000-01-15,01,2000-01,2000,1,3,54.52,55.42,49.97,50.64,15.99,45223364,-0.07944732297063906,-8.85719059729288
2000-01-31,03,2000-03,2000,1,18,51.26,56.66,51.09,55.7,17.59,40481240,0.10006253908692941,11.15547946995694
2000-02-15,05,2000-05,2000,2,1,54.63,55.2,48.56,48.79,15.4,36412845,-0.12450255827174528,-13.880176791745974
2000-02-29,07,2000-07,2000,2,16,48.62,50.31,42.61,44.01,13.89,40059032,-0.09805194805194806,-10.931328581743633
2000-03-15,09,2000-09,2000,3,1,47.78,52.72,46.88,50.42,15.92,48590009,0.14614830813534918,16.29335479440969
2000-03-31,11,2000-11,2000,3,16,50.42,56.83,49.74,54.97,17.36,51705576,0.09045226130653261,10.08407695051194
2000-04-15,14,2000-14,2000,4,3,55.53,59.36,54.35,54.97,17.46,42014170,0.005760368663594528,0.6421951206963318
2000-04-30,16,2000-16,2000,4,17,54.91,56.6,52.61,53.96,17.14,30189384,-0.018327605956471982,-2.043254487108955
2000-05-15,18,2000-18,2000,5,1,53.28,53.62,47.33,49.52,15.73,55079223,-0.0822637106184364,-9.171175779671161
