Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,0.12,0.15,0.12,0.15,718110400,0.12,0.2380876106699128,,0.10428571428571429,0.12380000000000001,
1998-01-05,1998,1,5,Monday,01,1998-01,0.15,0.15,0.14,0.14,651873600,0.12,-0.023075827909458835,0.0,0.105,0.1234,0.0
1998-01-06,1998,1,6,Tuesday,01,1998-01,0.14,0.18,0.13,0.17,1812473600,0.14,0.1929151538555134,0.16666666666666674,0.10714285714285714,0.12359999999999999,97.94369913777548
1998-01-07,1998,1,7,Wednesday,01,1998-01,0.17,0.17,0.15,0.16,1041622400,0.13,-0.0759078473977256,-0.07142857142857151,0.10857142857142857,0.12359999999999999,-41.97587105904666
1998-01-08,1998,1,8,Thursday,01,1998-01,0.16,0.17,0.15,0.16,774020800,0.14,0.03928273393840964,0.0769230769230771,0.11071428571428574,0.12380000000000001,45.20478421743491
1998-01-09,1998,1,9,Friday,01,1998-01,0.16,0.17,0.16,0.16,886547200,0.14,0.0,0.0,0.11357142857142857,0.12380000000000001,0.0
1998-01-12,1998,1,12,Monday,02,1998-02,0.16,0.17,0.15,0.16,516398400,0.14,0.003435839794526885,0.0,0.11642857142857142,0.12400000000000003,0.0
1998-01-13,1998,1,13,Tuesday,02,1998-02,0.17,0.18,0.17,0.17,636854400,0.15,0.06849578220908659,0.0714285714285714,0.12000000000000001,0.1246,41.9758710590466
1998-01-14,1998,1,14,Wednesday,02,1998-02,0.18,0.18,0.17,0.18,589265600,0.15,0.012819414851185984,0.0,0.12357142857142857,0.12500000000000003,0.0
1998-01-15,1998,1,15,Thursday,02,1998-02,0.17,0.18,0.17,0.17,559272000,0.14,-0.0284792290583189,-0.06666666666666654,0.12642857142857142,0.1252,-39.1774796551101
1998-01-16,1998,1,16,Friday,02,1998-02,0.17,0.17,0.17,0.17,246355200,0.14,-0.019542851311039167,0.0,0.12928571428571428,0.1252,0.0
1998-01-20,1998,1,20,Tuesday,03,1998-03,0.17,0.17,0.17,0.17,241561600,0.14,0.013288083106631099,0.0,0.13214285714285715,0.1252,0.0
1998-01-21,1998,1,21,Wednesday,03,1998-03,0.17,0.17,0.17,0.17,190209600,0.14,-0.00819561022310289,0.0,0.135,0.1252,0.0
1998-01-22,1998,1,22,Thursday,03,1998-03,0.17,0.18,0.17,0.17,329728000,0.15,0.01818010585519647,0.0714285714285714,0.1385714285714286,0.1252,41.9758710590466
1998-01-23,1998,1,23,Friday,03,1998-03,0.17,0.18,0.17,0.17,233161600,0.15,0.012986613457668161,0.0,0.14071428571428574,0.12539999999999998,0.0
1998-01-26,1998,1,26,Monday,04,1998-04,0.17,0.17,0.17,0.17,146440000,0.15,-0.0032054864078873146,0.0,0.14285714285714285,0.12560000000000002,0.0
1998-01-27,1998,1,27,Tuesday,04,1998-04,0.17,0.18,0.17,0.17,112235200,0.14,-0.01607572315263439,-0.06666666666666654,0.14285714285714285,0.1258,-39.1774796551101
1998-01-28,1998,1,28,Wednesday,04,1998-04,0.17,0.17,0.17,0.17,151121600,0.14,0.0032676129374269447,0.0,0.1435714285714286,0.1258,0.0
1998-01-29,1998,1,29,Thursday,04,1998-04,0.17,0.17,0.17,0.17,211881600,0.14,-0.035828217804058315,0.0,0.14357142857142854,0.1258,0.0
1998-01-30,1998,1,30,Friday,04,1998-04,0.16,0.17,0.16,0.16,162444800,0.14,-0.010140609783176657,0.0,0.1435714285714286,0.12580000000000002,0.0
1998-02-02,1998,2,2,Monday,05,1998-05,0.17,0.17,0.16,0.16,636742400,0.13,-0.03412754868684598,-0.07142857142857151,0.14285714285714285,0.12560000000000002,-41.97587105904666
1998-02-03,1998,2,3,Tuesday,05,1998-05,0.16,0.17,0.16,0.16,402617600,0.14,0.03533339069816921,0.0769230769230771,0.14214285714285715,0.12560000000000002,45.20478421743491
1998-02-04,1998,2,4,Wednesday,05,1998-05,0.16,0.17,0.16,0.16,170195200,0.14,-0.0034131429340783503,0.0,0.14142857142857143,0.12560000000000002,0.0
1998-02-05,1998,2,5,Thursday,05,1998-05,0.16,0.17,0.16,0.16,238268800,0.14,0.003424832376504705,0.0,0.14142857142857143,0.12560000000000002,0.0
1998-02-06,1998,2,6,Friday,05,1998-05,0.16,0.17,0.16,0.17,202339200,0.14,0.010244495211542581,0.0,0.14142857142857143,0.1258,0.0
1998-02-09,1998,2,9,Monday,06,1998-06,0.16,0.17,0.16,0.17,494670400,0.14,0.03715957930490155,0.0,0.14142857142857143,0.126,0.0
1998-02-10,1998,2,10,Tuesday,06,1998-06,0.17,0.17,0.17,0.17,422016000,0.15,0.013028190314561261,0.0714285714285714,0.14214285714285715,0.1264,41.9758710590466
1998-02-11,1998,2,11,Wednesday,06,1998-06,0.17,0.17,0.17,0.17,211668800,0.14,-0.022506398329350752,-0.06666666666666654,0.14142857142857143,0.1266,-39.1774796551101
1998-02-12,1998,2,12,Thursday,06,1998-06,0.17,0.17,0.17,0.17,203750400,0.15,0.01973569720907742,0.0714285714285714,0.14142857142857143,0.127,41.9758710590466
1998-02-13,1998,2,13,Friday,06,1998-06,0.17,0.18,0.17,0.17,207995200,0.15,0.006451415707808161,0.0,0.14142857142857143,0.12760000000000002,0.0
1998-02-17,1998,2,17,Tuesday,07,1998-07,0.17,0.18,0.17,0.18,182750400,0.15,0.006409656809985842,0.0,0.14214285714285715,0.1282,0.0
1998-02-18,1998,2,18,Wednesday,07,1998-07,0.17,0.19,0.17,0.18,494592000,0.16,0.047773352083996246,0.06666666666666665,0.1435714285714286,0.129,39.17747965511017
1998-02-19,1998,2,19,Thursday,07,1998-07,0.19,0.19,0.18,0.18,399660800,0.15,-0.006078638977766393,-0.0625,0.1442857142857143,0.12960000000000002,-36.728887176665786
1998-02-20,1998,2,20,Friday,07,1998-07,0.18,0.18,0.18,0.18,325416000,0.15,-0.02141080901376391,0.0,0.14500000000000002,0.13019999999999998,0.0
