Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,48.94,49.81,48.12,48.88,2761300,30.74,-0.0012771328769695112,,30.745714285714286,30.857,
1998-01-05,1998,1,5,Monday,01,1998-01,48.88,49.75,48.19,48.62,3816100,30.58,-0.005115560491651738,-0.005204944697462577,30.728571428571428,30.843200000000003,-3.6959113961652728
1998-01-06,1998,1,6,Tuesday,01,1998-01,48.62,48.94,47.5,47.88,4050900,30.11,-0.01542365871114637,-0.015369522563767113,30.680714285714288,30.83,-10.913544119832522
1998-01-07,1998,1,7,Wednesday,01,1998-01,47.88,48.12,47.38,48.12,3230600,30.27,0.005221715958591888,0.005313849219528377,30.568571428571428,30.827999999999996,3.7732419899741063
1998-01-08,1998,1,8,Thursday,01,1998-01,47.56,47.56,46.0,46.38,6732800,29.17,-0.03636415536047899,-0.0363396101750908,30.380714285714284,30.8722,-25.803920538060094
1998-01-09,1998,1,9,Friday,01,1998-01,46.38,46.44,45.0,45.12,4708500,28.38,-0.026954128722327053,-0.02708261912924248,30.169999999999998,30.8378,-19.23074432021678
1998-01-12,1998,1,12,Monday,02,1998-02,45.12,45.56,43.94,45.38,4064500,28.54,0.005540276781319742,0.005637773079633535,30.027142857142856,30.8136,4.003252865331944
1998-01-13,1998,1,13,Tuesday,02,1998-02,45.38,46.19,44.69,45.06,3722700,28.34,-0.006886620972395341,-0.00700770847932719,29.861428571428572,30.790399999999998,-4.976012452615611
1998-01-14,1998,1,14,Wednesday,02,1998-02,45.12,46.25,45.12,46.25,3398400,29.09,0.02635182432808003,0.026464361326746566,29.777142857142856,30.7702,18.79173368882108
1998-01-15,1998,1,15,Thursday,02,1998-02,45.56,45.56,44.12,44.12,5409100,27.75,-0.045945875239411405,-0.046063939498109274,29.611428571428572,30.727199999999996,-32.708942906987296
1998-01-16,1998,1,16,Friday,02,1998-02,44.12,44.62,43.0,43.44,11645700,27.32,-0.015580185867027252,-0.015495495495495448,29.414999999999996,30.6842,-11.002994598376526
1998-01-20,1998,1,20,Tuesday,03,1998-03,43.44,44.25,42.81,43.5,7730300,27.36,0.0014382831861050605,0.0014641288433381305,29.204285714285714,30.653,1.0396441829988496
1998-01-21,1998,1,21,Wednesday,03,1998-03,43.5,44.62,43.06,44.0,5895800,27.67,0.011495107853646047,0.011330409356725246,29.00714285714286,30.628800000000002,8.045462824062898
1998-01-22,1998,1,22,Thursday,03,1998-03,44.06,45.62,44.06,45.25,6578900,28.46,0.02840873338512928,0.028550777014817452,28.84142857142857,30.624200000000002,20.273249433347324
1998-01-23,1998,1,23,Friday,03,1998-03,45.25,45.69,44.25,44.31,4566600,27.87,-0.020718062281585126,-0.02073085031623334,28.63642857142857,30.596799999999998,-14.720499522946975
1998-01-26,1998,1,26,Monday,04,1998-04,44.31,45.0,44.06,44.44,2783600,27.95,0.0028203809529674384,0.002870470039468831,28.448571428571427,30.5758,2.0382546881613837
1998-01-27,1998,1,27,Tuesday,04,1998-04,44.44,45.25,44.0,45.0,3596600,28.3,0.012658442075483833,0.012522361359570633,28.319285714285712,30.557599999999997,8.891840498958446
1998-01-28,1998,1,28,Wednesday,04,1998-04,45.19,47.44,45.19,47.06,5464000,29.6,0.04583324572795755,0.04593639575971742,28.271428571428572,30.5544,32.618377034796225
1998-01-29,1998,1,29,Thursday,04,1998-04,47.25,48.19,47.25,47.5,4830400,29.88,0.009296168847721109,0.009459459459459474,28.322142857142858,30.5482,6.716944376915933
1998-01-30,1998,1,30,Friday,04,1998-04,47.5,48.12,47.31,47.62,3066400,29.95,0.0026315663469780315,0.0023427041499330947,28.434285714285714,30.5222,1.663500280762331
1998-02-02,1998,2,2,Monday,05,1998-05,48.06,48.88,48.06,48.31,3850300,30.39,0.014435499250393002,0.014691151919866474,28.56642857142857,30.5066,10.43184874373398
1998-02-03,1998,2,3,Tuesday,05,1998-05,48.31,48.62,48.06,48.31,3081700,30.39,0.0,0.0,28.712857142857143,30.4854,0.0
