Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,38.25,39.03,38.22,38.97,2828000,14.93,0.012175047541400863,,14.52,15.323599999999999,
1998-01-05,1998,1,5,Monday,01,1998-01,39.0,39.0,37.69,37.84,4309200,14.5,-0.028868573183814417,-0.028801071667783007,14.522857142857143,15.2848,-25.998873534342565
1998-01-06,1998,1,6,Tuesday,01,1998-01,37.5,37.56,36.38,36.88,6251200,14.13,-0.025599268460757885,-0.02551724137931033,14.489999999999998,15.2498,-23.034543270418858
1998-01-07,1998,1,7,Wednesday,01,1998-01,36.94,38.19,36.81,38.19,4541800,14.63,0.035593090459937304,0.03538570417551301,14.498571428571427,15.2248,31.94285471022674
1998-01-08,1998,1,8,Thursday,01,1998-01,37.81,37.91,36.53,36.75,2943800,14.08,-0.03764340429088442,-0.03759398496240607,14.48,15.202,-33.93628098161696
1998-01-09,1998,1,9,Friday,01,1998-01,36.06,36.47,35.34,35.56,3600600,13.62,-0.03231274693914521,-0.032670454545454586,14.439285714285715,15.161000000000001,-29.491785091694958
1998-01-12,1998,1,12,Monday,02,1998-02,34.38,36.75,33.88,36.66,4288000,14.04,0.03075621073671697,0.03083700440528636,14.427142857142856,15.134,27.83672034703556
1998-01-13,1998,1,13,Tuesday,02,1998-02,36.66,37.5,36.38,37.31,2939600,14.29,0.017902538156841397,0.017806267806267817,14.419285714285715,15.114600000000001,16.07380829969748
1998-01-14,1998,1,14,Wednesday,02,1998-02,37.41,37.94,37.16,37.75,2386400,14.46,0.011725160581255167,0.011896431070678837,14.434285714285716,15.088199999999999,10.738968691313659
1998-01-15,1998,1,15,Thursday,02,1998-02,38.0,38.5,37.94,38.03,2580000,14.57,0.00745055878201617,0.007607192254495132,14.443571428571428,15.0496,6.867051047870728
1998-01-16,1998,1,16,Friday,02,1998-02,38.47,38.59,38.06,38.38,3561600,14.7,0.00903834818918825,0.008922443376801592,14.463571428571429,15.015799999999999,8.05433490970697
1998-01-20,1998,1,20,Tuesday,03,1998-03,38.41,39.0,38.25,38.97,2305000,14.93,0.015472288771595899,0.0156462585034014,14.469999999999999,14.992,14.123956941872978
1998-01-21,1998,1,21,Wednesday,03,1998-03,38.78,39.16,38.28,38.5,2936600,14.75,-0.012028598779405208,-0.012056262558606812,14.455714285714285,14.966600000000001,-10.883249386468954
1998-01-22,1998,1,22,Thursday,03,1998-03,38.38,38.41,37.19,37.72,2969800,14.45,-0.020291939896081468,-0.02033898305084747,14.434285714285716,14.937999999999999,-18.360103202257836
1998-01-23,1998,1,23,Friday,03,1998-03,37.84,37.88,36.75,37.0,2508200,14.17,-0.019055928628102348,-0.01937716262975775,14.379999999999999,14.902600000000001,-17.491863027756555
1998-01-26,1998,1,26,Monday,04,1998-04,37.0,37.94,37.0,37.78,2400800,14.47,0.021115127644479426,0.02117148906139743,14.377857142857142,14.8696,19.1116106022092
1998-01-27,1998,1,27,Tuesday,04,1998-04,37.78,38.5,37.69,38.22,2153800,14.64,0.011579750937599886,0.011748445058742174,14.414285714285715,14.850999999999999,10.605380967440981
1998-01-28,1998,1,28,Wednesday,04,1998-04,37.94,38.19,37.12,38.06,5047600,14.58,-0.004088474792537489,-0.004098360655737765,14.410714285714286,14.830599999999999,-3.6996109594714053
1998-01-29,1998,1,29,Thursday,04,1998-04,37.97,38.72,37.94,38.47,2724800,14.74,0.01067338571107701,0.010973936899862924,14.457857142857142,14.806,9.906228522480305
1998-01-30,1998,1,30,Friday,04,1998-04,38.0,38.44,37.38,37.38,3851600,14.32,-0.02843223315970167,-0.028493894165535938,14.507857142857143,14.774000000000001,-25.721582844411387
1998-02-02,1998,2,2,Monday,05,1998-05,37.5,38.34,37.5,37.81,2524000,14.48,0.011706085841743041,0.011173184357541999,14.539285714285715,14.7474,10.086090213530925
1998-02-03,1998,2,3,Tuesday,05,1998-05,37.44,38.09,37.44,37.97,2346000,14.54,0.004131938388510559,0.004143646408839796,14.557142857142859,14.7228,3.740490638581548
1998-02-04,1998,2,4,Wednesday,05,1998-05,37.97,38.34,37.91,38.0,2161400,14.56,0.0008228297790811023,0.0013755158184320937,14.564285714285715,14.6916,1.2416851088186094
1998-02-05,1998,2,5,Thursday,05,1998-05,38.31,38.69,38.06,38.56,2943000,14.77,0.014802231482174744,0.014423076923076872,14.578571428571427,14.6634,13.019784722754903
1998-02-06,1998,2,6,Friday,05,1998-05,38.56,38.88,38.25,38.84,1525000,14.88,0.007293838566379662,0.007447528774543022,14.59142857142857,14.6436,6.722922014367737
1998-02-09,1998,2,9,Monday,06,1998-06,38.91,39.03,38.12,38.22,2360600,14.64,-0.016089995891681363,-0.016129032258064502,14.570714285714287,14.626999999999999,-14.559759259854985
1998-02-10,1998,2,10,Tuesday,06,1998-06,38.12,38.25,37.41,37.75,4659600,14.46,-0.012265163815838531,-0.012295081967213073,14.55,14.6104,-11.098832878414017
1998-02-11,1998,2,11,Wednesday,06,1998-06,37.69,38.53,37.62,38.16,3195200,14.62,0.010761940223797728,0.011065006915629283,14.562142857142858,14.5956,9.988437887811967
1998-02-12,1998,2,12,Thursday,06,1998-06,37.91,38.69,37.62,38.69,1889600,14.82,0.013923086544520125,0.013679890560875485,14.608571428571429,14.587,12.348906622585607
1998-02-13,1998,2,13,Friday,06,1998-06,38.78,39.06,38.66,38.94,2452200,14.92,0.006461822735307043,0.006747638326585648,14.640714285714285,14.5846,6.091127355674787
1998-02-17,1998,2,17,Tuesday,07,1998-07,39.0,39.12,38.59,38.72,2487000,14.83,-0.005618105404117668,-0.0060321715817693855,14.654285714285715,14.5802,-5.4452718947714605
1998-02-18,1998,2,18,Wednesday,07,1998-07,38.28,39.38,38.25,39.38,3537200,15.2,0.025023340629155344,0.024949426837491462,14.698571428571428,14.586799999999998,22.521974202364948
1998-02-19,1998,2,19,Thursday,07,1998-07,39.34,39.56,38.81,39.19,3548800,15.13,-0.004761612024000272,-0.004605263157894668,14.72642857142857,14.585799999999999,-4.157194420248009
1998-02-20,1998,2,20,Friday,07,1998-07,39.06,39.66,38.75,39.59,2831200,15.29,0.010366679539427048,0.010575016523463265,14.795714285714286,14.5876,9.54612107453806
1998-02-23,1998,2,23,Monday,08,1998-08,38.94,39.38,38.09,38.5,2852000,14.87,-0.027624301809804797,-0.027468933943754048,14.823571428571427,14.584200000000001,-24.796346051446932
1998-02-24,1998,2,24,Tuesday,08,1998-08,38.72,39.59,38.62,39.41,3816800,15.22,0.02353912486387877,0.02353732347007398,14.872142857142858,14.588799999999999,21.24726132742794
1998-02-25,1998,2,25,Wednesday,08,1998-08,39.44,39.97,39.16,39.75,2837000,15.35,0.008723333747228779,0.00854139290407363,14.928571428571429,14.5986,7.710358714483039
1998-02-26,1998,2,26,Thursday,08,1998-08,39.72,40.25,39.56,40.12,2854800,15.49,0.009433502679379258,0.009120521172638396,14.98,14.619200000000001,8.233140741077577
1998-02-27,1998,2,27,Friday,08,1998-08,40.25,41.41,39.91,40.44,4238800,15.61,0.007788134954696435,0.007746933505487386,15.032142857142857,14.6396,6.993196184204055
1998-03-02,1998,3,2,Monday,09,1998-09,40.56,41.38,40.56,41.28,3362200,15.94,0.02086519869908976,0.021140294682895577,15.125,14.668199999999999,19.083451278451836
1998-03-03,1998,3,3,Tuesday,09,1998-09,41.34,42.06,41.25,41.88,3588600,16.17,0.014383829990309405,0.014429109159347586,15.247142857142856,14.7048,13.025230053044712
1998-03-04,1998,3,4,Wednesday,09,1998-09,41.81,42.0,41.31,41.75,3307000,16.12,-0.0029852045687963624,-0.0030921459492888603,15.354285714285712,14.743400000000001,-2.791295838314859
1998-03-05,1998,3,5,Thursday,09,1998-09,41.34,42.44,41.34,42.28,3917200,16.33,0.012724130305374226,0.013027295285359619,15.462142857142856,14.7858,11.759805556036563
1998-03-06,1998,3,6,Friday,09,1998-09,42.41,42.47,41.97,42.22,2905400,16.3,-0.0014775023223986272,-0.0018371096142068,15.560714285714287,14.8238,-1.6583681704425979
1998-03-09,1998,3,9,Monday,10,1998-10,42.09,42.12,40.81,40.97,3154600,15.82,-0.02960792933346268,-0.02944785276073625,15.631428571428572,14.8552,-26.582726108790517
1998-03-10,1998,3,10,Tuesday,10,1998-10,41.06,41.88,40.75,41.78,3433600,16.13,0.019832149895482543,0.019595448798988446,15.697857142857144,14.889,17.688911060329364
1998-03-11,1998,3,11,Wednesday,10,1998-10,41.91,42.19,41.69,42.0,2681000,16.22,0.005235387292740867,0.0055796652200867936,15.775714285714287,14.925,5.036792106013072
1998-03-12,1998,3,12,Thursday,10,1998-10,41.62,41.75,41.19,41.38,2107600,15.98,-0.014880899522906499,-0.014796547472256338,15.825,14.947799999999999,-13.356918482530231
1998-03-13,1998,3,13,Friday,10,1998-10,41.47,41.94,41.28,41.44,2596400,16.0,0.0015110580892947478,0.0012515644555695093,15.905714285714286,14.968799999999998,1.1297935846195797
1998-03-16,1998,3,16,Monday,11,1998-11,41.38,41.44,41.09,41.44,2388000,16.0,0.0,0.0,15.96142857142857,14.993799999999998,0.0
1998-03-17,1998,3,17,Tuesday,11,1998-11,41.25,41.25,40.47,41.03,3218600,15.84,-0.009804078183705656,-0.010000000000000009,15.99642857142857,15.012,-9.027050741110106
1998-03-18,1998,3,18,Wednesday,11,1998-11,40.69,41.91,40.5,41.81,3159400,16.14,0.019040080038478235,0.018939393939394034,16.042857142857144,15.0448,17.096687009678302
1998-03-19,1998,3,19,Thursday,11,1998-11,41.94,42.0,41.53,41.91,2290200,16.18,0.0022418075667827164,0.0024783147459725985,16.083571428571428,15.085799999999999,2.237187296433603
1998-03-20,1998,3,20,Friday,11,1998-11,42.19,43.88,42.06,43.44,7660200,16.77,0.03654006358740114,0.03646477132262049,16.142857142857142,15.128599999999999,32.916934099227156
1998-03-23,1998,3,23,Monday,12,1998-12,44.75,45.09,43.44,43.44,5368600,16.77,0.0,0.0,16.185714285714287,15.1824,0.0
1998-03-24,1998,3,24,Tuesday,12,1998-12,43.31,43.31,42.34,42.72,3207200,16.49,-0.016546381077619854,-0.016696481812760955,16.212142857142858,15.2398,-15.071998852181505
1998-03-25,1998,3,25,Wednesday,12,1998-12,42.84,43.12,41.53,41.91,3354800,16.18,-0.019020290815713548,-0.018799272286234014,16.201428571428572,15.2826,-16.970198482377928
1998-03-26,1998,3,26,Thursday,12,1998-12,41.97,42.53,41.94,42.16,3301800,16.28,0.005966431953688733,0.006180469715698411,16.2,15.3224,5.579141372750386
1998-03-27,1998,3,27,Friday,12,1998-12,42.28,42.34,41.25,41.5,2211800,16.02,-0.015567146928879172,-0.01597051597051602,16.214285714285715,15.353599999999998,-14.416665802755727
1998-03-30,1998,3,30,Monday,13,1998-13,41.72,41.88,41.22,41.53,1444400,16.04,0.0007527769362669634,0.0012484394506866447,16.207857142857144,15.383,1.126972626855196
1998-03-31,1998,3,31,Tuesday,13,1998-13,41.53,41.88,40.09,40.16,4012600,15.5,-0.03310773752890228,-0.03366583541147128,16.15642857142857,15.399000000000001,-30.390320450121237
1998-04-01,1998,4,1,Wednesday,13,1998-13,40.69,41.28,40.56,41.25,3225800,15.93,0.027237778905444987,0.02774193548387105,16.152857142857144,15.418999999999999,25.042785926950668
1998-04-02,1998,4,2,Thursday,13,1998-13,41.28,41.78,40.81,41.72,2331600,16.11,0.011362902175523937,0.011299435028248483,16.160714285714285,15.4462,10.200057334587587
1998-04-03,1998,4,3,Friday,13,1998-13,41.78,41.91,40.75,40.97,3701800,15.82,-0.017977019056215626,-0.01800124146492854,16.14785714285714,15.473600000000001,-16.2498120106885
1998-04-06,1998,4,6,Monday,14,1998-14,40.97,40.97,40.0,40.06,2887400,15.47,-0.022120368217820707,-0.022123893805309658,16.12142857142857,15.499599999999997,-19.971351197146166
1998-04-07,1998,4,7,Tuesday,14,1998-14,40.12,40.62,39.97,40.38,2517000,15.59,0.007800404443951248,0.007756948933419494,16.082142857142856,15.522,7.002237161817763
1998-04-08,1998,4,8,Wednesday,14,1998-14,40.34,40.38,39.38,39.53,2573400,15.26,-0.02089803571091009,-0.021167415009621604,16.016428571428573,15.5344,-19.10793293499897
1998-04-09,1998,4,9,Thursday,14,1998-14,39.94,40.5,39.62,40.16,3016400,15.5,0.015810028482231564,0.01572739187418093,15.925714285714287,15.5528,14.197196447355388
1998-04-13,1998,4,13,Monday,15,1998-15,40.28,40.28,39.25,39.44,3072200,15.23,-0.01789817164121732,-0.0174193548387096,15.815714285714284,15.5626,-15.724540000643325
1998-04-14,1998,4,14,Tuesday,15,1998-15,39.47,39.75,39.34,39.44,2660600,15.23,0.0,0.0,15.725714285714286,15.5808,0.0
1998-04-15,1998,4,15,Wednesday,15,1998-15,40.03,40.34,39.78,40.03,3294800,15.46,0.015054708010376006,0.015101772816809023,15.674285714285714,15.6004,13.632446949805221
1998-04-16,1998,4,16,Thursday,15,1998-15,40.12,41.88,40.0,41.88,4750600,16.17,0.04605815424200976,0.045924967658473426,15.666428571428572,15.633,41.45670133368798
1998-04-17,1998,4,17,Friday,15,1998-15,41.75,41.75,41.38,41.69,2957000,16.1,-0.004477158023906691,-0.0043290043290042934,15.672142857142857,15.663800000000002,-3.9078141736407033
1998-04-20,1998,4,20,Monday,16,1998-16,41.75,42.19,41.56,41.88,3034400,16.17,0.004497293115866219,0.004347826086956497,15.68142857142857,15.6918,3.924804670047846
1998-04-21,1998,4,21,Tuesday,16,1998-16,42.0,42.81,41.97,42.47,2865000,16.4,0.014179397287138684,0.014223871366728424,15.745714285714286,15.7222,12.839960856248052
1998-04-22,1998,4,22,Wednesday,16,1998-16,42.47,42.5,41.81,42.03,1634400,16.23,-0.010302079725001856,-0.010365853658536484,15.767142857142858,15.754000000000001,-9.357308695053058
1998-04-23,1998,4,23,Thursday,16,1998-16,42.0,42.44,41.88,42.12,3156400,16.26,0.002230492446613219,0.001848428835489857,15.777857142857144,15.79,1.668586088929799
