Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,47.92,48.12,47.41,47.8,843129,20.6,-0.007389514287037491,,20.107857142857142,19.472800000000003,
1998-01-05,1998,1,5,Monday,01,1998-01,47.8,47.89,46.88,47.44,1216003,20.45,-0.0074440628345188165,-0.00728155339805836,20.157142857142855,19.4986,-5.3111330863857065
1998-01-06,1998,1,6,Tuesday,01,1998-01,46.97,47.23,46.11,46.46,1597940,20.03,-0.020625030837606806,-0.020537897310513364,20.161428571428576,19.522000000000002,-14.980252147810354
1998-01-07,1998,1,7,Wednesday,01,1998-01,46.14,46.14,45.22,45.75,1910320,19.72,-0.015315861671737596,-0.015476784822765932,20.13,19.5432,-11.288698914847329
1998-01-08,1998,1,8,Thursday,01,1998-01,45.63,45.75,45.1,45.57,1226120,19.64,-0.003888666549188735,-0.0040567951318457585,20.092142857142854,19.5864,-2.959008561988957
1998-01-09,1998,1,9,Friday,01,1998-01,45.43,45.57,43.97,44.24,1224645,19.07,-0.02927754405700489,-0.029022403258655793,20.039285714285715,19.603,-21.168813543903603
1998-01-12,1998,1,12,Monday,02,1998-02,43.77,44.8,43.77,44.71,1483275,19.27,0.010723672076263346,0.010487676979548999,20.016428571428573,19.622799999999998,7.649665553542641
1998-01-13,1998,1,13,Tuesday,02,1998-02,44.74,44.89,43.41,43.88,2198880,18.92,-0.018567341062113663,-0.018162947586922606,19.958571428571428,19.636,-13.247974244193125
1998-01-14,1998,1,14,Wednesday,02,1998-02,43.88,44.98,43.74,44.74,2109509,19.29,0.01959459445833356,0.01955602536997869,19.913571428571426,19.6544,14.264079064281503
1998-01-15,1998,1,15,Thursday,02,1998-02,44.74,44.74,43.74,43.88,1108293,18.92,-0.019218025051165988,-0.019180922757905505,19.84642857142857,19.6568,-13.990480865536876
1998-01-16,1998,1,16,Friday,02,1998-02,43.59,44.18,43.38,43.38,1403177,18.7,-0.011486402958523878,-0.011627906976744318,19.74857142857143,19.6564,-8.481344308491874
1998-01-20,1998,1,20,Tuesday,03,1998-03,43.38,44.18,43.35,44.03,1357648,18.98,0.015037339356511081,0.01497326203208571,19.645714285714288,19.666,10.92143160152321
