Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
2019-03-20,2019,3,20,Wednesday,11,2019-11,52.75,53.5,49.5,49.8,2350800,37.76,0.0,,37.76,37.76,
2019-03-21,2019,3,21,Thursday,11,2019-11,49.99,50.0,48.2,48.98,1764700,37.14,-0.016465785351567175,-0.016419491525423657,37.45,37.45,-10.872204939156816
2019-03-22,2019,3,22,Friday,11,2019-11,48.8,49.95,48.16,48.6,844700,36.85,-0.007758529395420655,-0.007808292945611139,37.25,37.25,-5.17027954234815
2019-03-25,2019,3,25,Monday,12,2019-12,48.6,49.4,48.0,49.15,440900,37.27,0.011317040488632024,0.01139755766621442,37.255,37.255,7.546919620566249
2019-03-26,2019,3,26,Tuesday,12,2019-12,49.0,49.75,48.18,48.85,504700,37.04,-0.006103937367671786,-0.0061711832573115855,37.212,37.212,-4.086263511065315
2019-03-27,2019,3,27,Wednesday,12,2019-12,49.0,50.78,49.0,50.1,1788600,37.99,0.02558870120479262,0.02564794816414695,37.34166666666667,37.34166666666667,16.982849211725608
2019-03-28,2019,3,28,Thursday,12,2019-12,50.9,51.0,49.92,50.85,585400,38.56,0.014969933001234947,0.015003948407475765,37.51571428571429,37.51571428571429,9.934899733650738
2019-03-29,2019,3,29,Friday,12,2019-12,49.52,52.48,49.18,51.63,1769000,39.15,0.015339215760382219,0.015300829875518618,37.72,37.72,10.131480496106253
2019-04-01,2019,4,1,Monday,13,2019-13,52.3,54.39,51.25,53.5,19663400,40.57,0.036219419574863077,0.036270753512132936,38.03666666666666,38.03666666666666,24.016764762231347
2019-04-02,2019,4,2,Tuesday,13,2019-13,55.12,57.39,54.3,56.25,17414200,42.65,0.05140187135605001,0.05126941089474979,38.498000000000005,38.498000000000005,33.94816103132503
2019-04-03,2019,4,3,Wednesday,13,2019-13,57.08,57.2,55.51,56.88,15066200,43.13,0.011200040785314114,0.011254396248534748,38.91909090909091,38.91909090909091,7.4521249510733725
2019-04-04,2019,4,4,Thursday,13,2019-13,57.2,60.52,57.1,59.71,13309200,45.27,0.04975376616980598,0.049617435659633724,39.44833333333333,39.44833333333333,32.854301743247575
2019-04-05,2019,4,5,Friday,13,2019-13,58.39,58.98,56.27,57.24,17000800,43.4,-0.04136644259766353,-0.041307709299757134,39.75230769230769,39.75230769230769,-27.35199688605982
2019-04-08,2019,4,8,Monday,14,2019-14,56.5,58.39,56.27,57.15,10764600,43.33,-0.001572433042610455,-0.001612903225806428,40.00785714285714,40.00785714285714,-1.06798766519916
2019-04-09,2019,4,9,Tuesday,14,2019-14,56.8,57.2,56.08,56.27,9179900,42.67,-0.015398019417075748,-0.015231940918532083,40.35857142857143,40.18533333333333,-10.085865511181618
2019-04-10,2019,4,10,Wednesday,14,2019-14,55.99,56.41,55.1,55.71,9081900,42.24,-0.00995210233903776,-0.010077337707991574,40.722857142857144,40.31375,-6.672732869512551
2019-04-11,2019,4,11,Thursday,14,2019-14,55.7,56.21,54.83,54.89,7346100,41.62,-0.01471919222350404,-0.014678030303030387,41.06357142857143,40.39058823529412,-9.719092294094827
2019-04-12,2019,4,12,Friday,14,2019-14,55.93,58.33,55.93,58.3,9281700,44.2,0.06212430709171102,0.061989428159538784,41.55857142857143,40.602222222222224,41.04644568122548
2019-04-15,2019,4,15,Monday,15,2019-15,58.57,58.85,57.29,57.78,5727300,43.81,-0.0089193431009994,-0.008823529411764675,42.04214285714285,40.77105263157895,-5.842520756677823
2019-04-16,2019,4,16,Tuesday,15,2019-15,58.71,58.99,57.84,58.5,6681600,44.36,0.012461030436922371,0.012554211367267643,42.49714285714286,40.9505,8.312800589657975
2019-04-17,2019,4,17,Wednesday,15,2019-15,58.95,59.05,58.2,58.32,6420700,44.22,-0.003076701060930831,-0.003155996393147009,42.901428571428575,41.10619047619048,-2.0897504359623382
2019-04-18,2019,4,18,Thursday,15,2019-15,58.36,58.61,57.55,57.77,5178800,43.8,-0.009430950249134318,-0.009497964721845387,43.23357142857143,41.22863636363636,-6.289099683805231
2019-04-22,2019,4,22,Monday,16,2019-16,57.48,58.41,57.26,57.89,4401700,43.89,0.0020772270012339167,0.00205479452054802,43.47071428571428,41.34434782608695,1.3605870255277666
2019-04-23,2019,4,23,Tuesday,16,2019-16,57.29,57.84,57.0,57.64,5687200,43.7,-0.004318440723947603,-0.0043290043290042934,43.54571428571428,41.4425,-2.8664604001016603
2019-04-24,2019,4,24,Wednesday,16,2019-16,57.49,57.89,55.87,55.98,5431300,42.45,-0.028799283707862666,-0.028604118993134975,43.49714285714286,41.4828,-18.940284680305723
2019-04-25,2019,4,25,Thursday,16,2019-16,55.76,55.98,54.82,55.33,6260500,41.95,-0.011611482191110856,-0.011778563015312105,43.26,41.50076923076923,-7.799203208757214
2019-04-26,2019,4,26,Friday,16,2019-16,55.3,55.6,54.95,55.25,4009800,41.89,-0.0014458567080622986,-0.0014302741358760418,43.152142857142856,41.51518518518519,-0.947059383680794
