Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,16.91,17.06,16.47,16.59,300600,6.43,-0.022099757026384448,,6.3149999999999995,7.221800000000001,
1998-01-05,1998,1,5,Monday,01,1998-01,16.97,17.0,15.56,15.62,543200,6.06,-0.05838029316691162,-0.05754276827371696,6.284999999999999,7.1756,-30.507884442273607
1998-01-06,1998,1,6,Tuesday,01,1998-01,15.38,15.5,14.5,14.97,590600,5.8,-0.04199975003006562,-0.04290429042904287,6.249285714285714,7.1259999999999994,-22.746891985814365
1998-01-07,1998,1,7,Wednesday,01,1998-01,15.0,15.22,14.53,15.06,552400,5.84,0.006262786110860841,0.006896551724137945,6.2,7.078200000000001,3.656396961114998
1998-01-08,1998,1,8,Thursday,01,1998-01,15.06,15.12,14.38,14.38,689000,5.57,-0.04564297126524386,-0.046232876712328674,6.135714285714285,7.0424,-24.511633737611575
1998-01-09,1998,1,9,Friday,01,1998-01,14.0,14.16,12.5,12.66,1022800,4.91,-0.11956544428444715,-0.11849192100538597,6.031428571428571,6.9908,-62.82175748271177
1998-01-12,1998,1,12,Monday,02,1998-02,11.69,12.84,11.69,12.75,2074600,4.94,0.007407391572657573,0.006109979633401208,5.9399999999999995,6.9348,3.2393740897861862
1998-01-13,1998,1,13,Tuesday,02,1998-02,13.25,13.84,13.12,13.66,747200,5.3,0.0710783769993566,0.0728744939271253,5.877857142857144,6.885,38.6364213300004
1998-01-14,1998,1,14,Wednesday,02,1998-02,13.66,13.88,13.56,13.81,530200,5.36,0.01144198410933095,0.01132075471698113,5.8307142857142855,6.836,6.00201010598121
1998-01-15,1998,1,15,Thursday,02,1998-02,13.75,14.19,13.66,13.66,797200,5.3,-0.011312546136204471,-0.011194029850746356,5.7749999999999995,6.7818,-5.934823425690424
1998-01-16,1998,1,16,Friday,02,1998-02,13.81,14.66,13.81,14.5,566000,5.62,0.06178512926590085,0.060377358490566024,5.737857142857143,6.7308,32.01072056523312
1998-01-20,1998,1,20,Tuesday,03,1998-03,14.88,15.31,14.72,15.16,804800,5.88,0.04525877148753543,0.0462633451957295,5.709285714285714,6.6842,24.527787443778475
1998-01-21,1998,1,21,Wednesday,03,1998-03,15.09,15.09,14.38,14.69,1063200,5.69,-0.03092808432726557,-0.0323129251700679,5.662857142857143,6.636799999999999,-17.13158780250299
1998-01-22,1998,1,22,Thursday,03,1998-03,14.69,14.69,14.12,14.44,1411000,5.6,-0.017021323270588584,-0.015817223198594133,5.5928571428571425,6.591600000000001,-8.385936791309481
1998-01-23,1998,1,23,Friday,03,1998-03,14.56,14.78,14.25,14.5,690000,5.62,0.004329165469538987,0.0035714285714285587,5.535000000000001,6.545800000000001,1.893491283434542
1998-01-26,1998,1,26,Monday,04,1998-04,14.56,14.72,13.75,14.0,1156400,5.43,-0.034483103719353814,-0.03380782918149472,5.49,6.497199999999999,-17.924152362761237
1998-01-27,1998,1,27,Tuesday,04,1998-04,14.0,14.03,13.5,13.59,1316800,5.27,-0.029017537541230598,-0.029465930018416242,5.452142857142857,6.4468000000000005,-15.6221748614858
1998-01-28,1998,1,28,Wednesday,04,1998-04,13.75,13.97,13.0,13.28,1387200,5.15,-0.022988634687949205,-0.022770398481973264,5.402857142857143,6.4006,-12.072354292865343
1998-01-29,1998,1,29,Thursday,04,1998-04,13.38,13.75,13.25,13.31,3934000,5.16,0.0023526583798916256,0.0019417475728153999,5.373571428571429,6.3514,1.0294709890517224
1998-01-30,1998,1,30,Friday,04,1998-04,13.34,13.34,12.75,12.78,1259400,4.96,-0.03990529053479941,-0.03875968992248069,5.377142857142857,6.292999999999999,-20.54951780471607
1998-02-02,1998,2,2,Monday,05,1998-05,12.81,12.91,12.16,12.28,2084600,4.76,-0.03911989144364347,-0.040322580645161366,5.364285714285714,6.2414,-21.378127393615912
1998-02-03,1998,2,3,Tuesday,05,1998-05,12.38,13.31,12.28,12.88,1949200,4.99,0.04834572984120933,0.04831932773109249,5.342142857142858,6.1958,25.617823246467452
1998-02-04,1998,2,4,Wednesday,05,1998-05,13.0,13.94,12.94,13.78,2027000,5.34,0.07038904780771627,0.0701402805611222,5.340714285714285,6.151800000000001,37.186802760838816
1998-02-05,1998,2,5,Thursday,05,1998-05,14.62,14.62,14.0,14.12,2126800,5.48,0.024942701791244914,0.02621722846441954,5.353571428571429,6.111999999999999,13.89978620049335
