Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,32.53,32.59,32.31,32.53,4656400,16.87,-0.0123340220923156,,17.02642857142857,16.2426,
1998-01-05,1998,1,5,Monday,01,1998-01,32.66,32.72,32.22,32.5,5308200,16.86,-0.0009605235774795551,-0.0005927682276231083,17.044999999999998,16.27,-0.7469257795239884
1998-01-06,1998,1,6,Tuesday,01,1998-01,32.31,32.34,31.69,32.0,4971400,16.6,-0.01538485039127735,-0.015421115065243018,17.02642857142857,16.299599999999998,-19.43158869601116
1998-01-07,1998,1,7,Wednesday,01,1998-01,31.75,32.31,31.75,32.31,3768200,16.76,0.009765618490894967,0.009638554216867545,17.013571428571428,16.3334,12.145193157173464
1998-01-08,1998,1,8,Thursday,01,1998-01,32.47,32.91,32.28,32.69,6087800,16.95,0.01160568133928308,0.011336515513126422,16.995,16.388199999999998,14.284732703507073
1998-01-09,1998,1,9,Friday,01,1998-01,32.5,32.97,32.09,32.31,6919200,16.76,-0.01147253475674248,-0.011209439528023446,16.954285714285714,16.433999999999997,-14.124608856093024
1998-01-12,1998,1,12,Monday,02,1998-02,31.78,33.09,31.75,32.97,7726800,17.1,0.020309487111873636,0.02028639618138417,16.94857142857143,16.4808,25.562153258907454
1998-01-13,1998,1,13,Tuesday,02,1998-02,33.0,33.34,32.84,33.19,6294600,17.21,0.006634665096146852,0.006432748538011568,16.937857142857144,16.533,8.10567350328879
1998-01-14,1998,1,14,Wednesday,02,1998-02,33.12,33.41,32.97,33.25,4987000,17.25,0.0018836154157948481,0.0023242300987798004,16.946428571428573,16.5816,2.9286781872324195
1998-01-15,1998,1,15,Thursday,02,1998-02,33.06,33.19,32.75,32.84,4463200,17.03,-0.012218435431969654,-0.012753623188405783,16.957857142857144,16.6174,-16.070378771738078
1998-01-16,1998,1,16,Friday,02,1998-02,33.03,34.25,33.0,33.88,7342400,17.57,0.03139839147974688,0.03170874926600109,17.011428571428574,16.658,39.95504677807611
1998-01-20,1998,1,20,Tuesday,03,1998-03,33.97,34.72,33.53,34.66,6008400,17.97,0.023063599596813367,0.022766078542970858,17.085,16.7064,28.686711213585216
1998-01-21,1998,1,21,Wednesday,03,1998-03,34.34,34.41,33.53,34.06,5605600,17.67,-0.017132940891343318,-0.016694490818029872,17.12,16.748800000000003,-21.036123373234116
1998-01-22,1998,1,22,Thursday,03,1998-03,33.75,34.0,33.34,33.62,4411200,17.44,-0.012844009558433123,-0.013016411997736288,17.145714285714288,16.7886,-16.40150943480757
1998-01-23,1998,1,23,Friday,03,1998-03,33.59,33.75,33.31,33.44,3495600,17.34,-0.005576008758877871,-0.005733944954128489,17.179285714285715,16.827,-7.225136410875847
1998-01-26,1998,1,26,Monday,04,1998-04,33.47,33.97,33.38,33.59,2894800,17.42,0.004672894112740744,0.0046136101499423265,17.219285714285714,16.8624,5.813443091380559
1998-01-27,1998,1,27,Tuesday,04,1998-04,33.56,34.25,33.53,33.72,4479400,17.49,0.0037209058951579443,0.0040183696900113475,17.282857142857143,16.9106,5.063402141444814
1998-01-28,1998,1,28,Wednesday,04,1998-04,33.91,34.09,33.34,33.44,4496000,17.34,-0.008341029445317227,-0.00857632933104624,17.324285714285715,16.9476,-10.806722041652884
1998-01-29,1998,1,29,Thursday,04,1998-04,33.31,33.62,33.06,33.44,4947800,17.34,0.0,0.0,17.35214285714286,16.9708,0.0
1998-01-30,1998,1,30,Friday,04,1998-04,33.47,33.78,33.19,33.47,3965400,17.36,0.0009344908394162132,0.0011534025374855261,17.395,16.989,1.4533607728450697
1998-02-02,1998,2,2,Monday,05,1998-05,34.25,34.59,34.25,34.41,4673800,17.85,0.02801118847741102,0.02822580645161299,17.44857142857143,17.0192,35.56631665482736
1998-02-03,1998,2,3,Tuesday,05,1998-05,34.41,34.75,34.16,34.75,4734800,18.02,0.009990612524493514,0.00952380952380949,17.50642857142857,17.052200000000003,12.000607524349833
1998-02-04,1998,2,4,Wednesday,05,1998-05,34.62,34.62,34.25,34.38,4204600,17.83,-0.010791300670634718,-0.010543840177580588,17.547857142857143,17.075599999999998,-13.285911215914695
1998-02-05,1998,2,5,Thursday,05,1998-05,34.59,34.72,34.12,34.44,3665400,17.86,0.0018184379855199495,0.0016825574873808868,17.607142857142858,17.096,2.120129764537501
1998-02-06,1998,2,6,Friday,05,1998-05,34.66,34.94,34.56,34.88,3477400,18.09,0.012703931975173166,0.012877939529675198,17.644285714285715,17.125200000000003,16.227025291884
1998-02-09,1998,2,9,Monday,06,1998-06,34.91,34.91,34.22,34.44,3942400,17.86,-0.012544566653746037,-0.012714206744057543,17.636428571428574,17.1504,-16.02071153748207
1998-02-10,1998,2,10,Tuesday,06,1998-06,34.47,35.0,34.47,34.88,3603400,18.09,0.012703931975173166,0.012877939529675198,17.666428571428572,17.187,16.227025291884
1998-02-11,1998,2,11,Wednesday,06,1998-06,34.94,34.97,34.59,34.59,2963800,17.94,-0.008064703210233115,-0.008291873963515717,17.702142857142857,17.2194,-10.448290133140393
1998-02-12,1998,2,12,Thursday,06,1998-06,34.59,34.84,34.25,34.78,3539400,18.1,0.008627982412369617,0.008918617614269708,17.75642857142857,17.245800000000003,11.238027113103463
1998-02-13,1998,2,13,Friday,06,1998-06,34.03,34.66,34.03,34.53,3318400,17.97,-0.0071878527396574965,-0.007182320441989076,17.795714285714286,17.2714,-9.050181917534735
1998-02-17,1998,2,17,Tuesday,07,1998-07,34.75,34.88,34.38,34.75,4246800,18.08,0.006334480888065208,0.006121313299944253,17.837857142857143,17.2984,7.713245236852467
1998-02-18,1998,2,18,Wednesday,07,1998-07,34.88,35.25,34.84,35.25,4723000,18.34,0.01438842849579336,0.014380530973451489,17.909285714285712,17.331400000000002,18.120386361435582
1998-02-19,1998,2,19,Thursday,07,1998-07,35.25,35.28,34.94,35.28,3663800,18.36,0.0008867421186076196,0.0010905125408942062,17.982142857142858,17.360400000000002,1.374115365383556
1998-02-20,1998,2,20,Friday,07,1998-07,35.28,35.28,34.44,35.03,4727800,18.23,-0.007085366226178502,-0.007080610021786393,18.044285714285714,17.386799999999997,-8.922020299965878
1998-02-23,1998,2,23,Monday,08,1998-08,35.25,36.09,35.0,36.0,5591000,18.73,0.027652789241842557,0.027427317608337942,18.107142857142858,17.4242,34.56016977665219
1998-02-24,1998,2,24,Tuesday,08,1998-08,35.81,36.88,35.56,36.56,7167800,19.02,0.015625881429560895,0.015483182060864964,18.178571428571427,17.4622,19.509797069751986
1998-02-25,1998,2,25,Wednesday,08,1998-08,36.81,37.34,36.78,37.12,5131000,19.32,0.015384166532068644,0.015772870662460692,18.285,17.5104,19.874823187014936
1998-02-26,1998,2,26,Thursday,08,1998-08,37.47,37.62,36.97,37.19,4805000,19.35,0.0016833216573135523,0.0015527950310558758,18.391428571428573,17.5654,1.9566207920135354
1998-02-27,1998,2,27,Friday,08,1998-08,37.25,37.75,37.22,37.69,4615400,19.61,0.013445815688142071,0.013436692506459735,18.5,17.620400000000004,16.93108968551661
1998-03-02,1998,3,2,Monday,09,1998-09,37.59,37.78,37.25,37.38,3179000,19.45,-0.008291666042540835,-0.008159102498725201,18.613571428571426,17.6706,-10.280989618005071
1998-03-03,1998,3,3,Tuesday,09,1998-09,37.44,37.62,37.09,37.25,4340800,19.38,-0.0033449070543661863,-0.0035989717223650075,18.705714285714286,17.714,-4.534933948790274
1998-03-04,1998,3,4,Wednesday,09,1998-09,37.03,37.09,36.16,36.66,3822600,19.07,-0.01593956520049067,-0.01599587203302366,18.78642857142857,17.748800000000003,-20.155819139194357
1998-03-05,1998,3,5,Thursday,09,1998-09,36.5,36.62,35.88,36.12,4638800,18.8,-0.014493102908260891,-0.014158363922391115,18.83642857142857,17.7812,-17.84044170505072
1998-03-06,1998,3,6,Friday,09,1998-09,36.19,37.0,36.12,36.94,4576000,19.22,0.022492197960485294,0.022340425531914843,18.925714285714285,17.8184,28.150361267224913
