Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,39.66,40.47,39.44,40.47,3088400,20.65,0.014095707591802453,,20.41142857142857,19.343400000000003,
1998-01-05,1998,1,5,Monday,01,1998-01,40.59,41.41,40.22,41.28,4996400,21.07,0.020076752454815994,0.02033898305084758,20.447142857142858,19.3964,23.336920899092604
1998-01-06,1998,1,6,Tuesday,01,1998-01,40.75,41.38,40.72,41.16,3845400,21.0,-0.003027292256969183,-0.0033222591362126463,20.475714285714282,19.4554,-3.811955517847354
1998-01-07,1998,1,7,Wednesday,01,1998-01,40.81,40.88,40.28,40.72,4284600,20.78,-0.010630556622850174,-0.010476190476190417,20.440714285714286,19.5102,-12.020366399611842
1998-01-08,1998,1,8,Thursday,01,1998-01,40.5,40.72,40.25,40.25,2909200,20.54,-0.01151230976275952,-0.011549566891241647,20.425714285714285,19.5858,-13.25195700718444
1998-01-09,1998,1,9,Friday,01,1998-01,39.94,40.22,39.0,39.44,4571800,20.13,-0.02018606101457454,-0.019961051606621205,20.417142857142856,19.6306,-22.903282884982392
1998-01-12,1998,1,12,Monday,02,1998-02,38.81,41.19,38.78,41.16,4965600,21.0,0.043582116314125896,0.0432190760059612,20.46142857142857,19.703,49.58950777241325
1998-01-13,1998,1,13,Tuesday,02,1998-02,40.78,41.31,40.28,40.56,4335600,20.7,-0.014427138582097876,-0.014285714285714346,20.48428571428571,19.773200000000003,-16.391408726743585
1998-01-14,1998,1,14,Wednesday,02,1998-02,40.59,40.69,39.59,40.28,3936200,20.56,-0.006933551917422065,-0.006763285024154575,20.535714285714285,19.8374,-7.760183841646671
1998-01-15,1998,1,15,Thursday,02,1998-02,40.16,40.28,39.84,39.97,2511000,20.4,-0.007758384728367873,-0.0077821011673151474,20.57,19.883399999999998,-8.929172069043128
1998-01-16,1998,1,16,Friday,02,1998-02,40.22,40.22,39.47,39.66,5182600,20.24,-0.007818673869201431,-0.007843137254901933,20.600714285714286,19.922,-8.99920479115327
1998-01-20,1998,1,20,Tuesday,03,1998-03,40.16,40.47,39.94,40.38,3412800,20.6,0.018124670134961995,0.017786561264822254,20.617142857142856,19.9652,20.408275687447595
1998-01-21,1998,1,21,Wednesday,03,1998-03,40.62,40.91,39.94,40.5,3588800,20.73,0.0062363055196335004,0.006310679611650327,20.62642857142857,20.014200000000002,7.240865020066128
1998-01-22,1998,1,22,Thursday,03,1998-03,40.59,40.62,39.56,39.94,3387800,20.45,-0.01388867551008599,-0.013506994693680663,20.632142857142856,20.0612,-15.497906948585289
1998-01-23,1998,1,23,Friday,03,1998-03,40.25,40.25,39.12,39.19,3938200,20.06,-0.018779361118481108,-0.019070904645476783,20.59,20.1004,-21.88192949829331
1998-01-26,1998,1,26,Monday,04,1998-04,39.25,39.5,39.09,39.25,3552600,20.09,0.001595199000552494,0.0014955134596212893,20.52,20.133200000000002,1.715950066109915
1998-01-27,1998,1,27,Tuesday,04,1998-04,39.03,40.66,39.03,40.44,7512400,20.7,0.030254054548692455,0.030363364858138286,20.49857142857143,20.1814,34.838882659628965
1998-01-28,1998,1,28,Wednesday,04,1998-04,40.5,40.5,39.25,39.62,3903000,20.29,-0.020092410586197595,-0.019806763285024176,20.463571428571424,20.2138,-22.72625267910818
