Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,6.22,6.34,6.18,6.21,4058400,4.97,0.0,,4.841428571428572,5.0434,
1998-01-05,1998,1,5,Monday,01,1998-01,6.21,6.29,6.2,6.2,6488800,4.96,-0.0012578639289906324,-0.002012072434607548,4.844285714285713,5.0358,-1.5311602244469786
1998-01-06,1998,1,6,Tuesday,01,1998-01,6.14,6.25,6.05,6.23,7586400,4.99,0.00503769647645691,0.006048387096774244,4.847857142857143,5.0312,4.6027417230858365
1998-01-07,1998,1,7,Wednesday,01,1998-01,6.23,6.31,6.19,6.29,8560000,5.03,0.008771946599190228,0.008016032064128265,4.850714285714285,5.0286,6.100093238879247
1998-01-08,1998,1,8,Thursday,01,1998-01,6.29,6.38,6.27,6.31,9160800,5.05,0.0037267151391759956,0.00397614314115291,4.857142857142857,5.0434,3.0257917755473263
1998-01-09,1998,1,9,Friday,01,1998-01,6.31,6.33,6.19,6.19,8975200,4.95,-0.019801828732794013,-0.01980198019801971,4.872142857142857,5.0474,-15.06904220891449
1998-01-12,1998,1,12,Monday,02,1998-02,6.0,6.22,6.0,6.08,10134400,4.86,-0.01767641297141198,-0.018181818181818188,4.8792857142857144,5.0494,-13.836120573639738
1998-01-13,1998,1,13,Tuesday,02,1998-02,6.08,6.08,5.98,6.0,8431200,4.8,-0.012853880378413951,-0.012345679012345734,4.885714285714286,5.0516,-9.394896685804799
1998-01-14,1998,1,14,Wednesday,02,1998-02,6.03,6.18,6.01,6.11,5257600,4.89,0.01822949731704382,0.018750000000000044,4.903571428571429,5.0568,14.268499341566008
1998-01-15,1998,1,15,Thursday,02,1998-02,6.0,6.02,5.88,5.88,12656800,4.7,-0.03836332507454232,-0.03885480572597122,4.903571428571429,5.0569999999999995,-29.56798772894369
1998-01-16,1998,1,16,Friday,02,1998-02,5.88,6.1,5.87,6.02,8945600,4.81,0.02393570175054105,0.023404255319148914,4.908571428571428,5.056,17.81032541925964
1998-01-20,1998,1,20,Tuesday,03,1998-03,6.03,6.05,5.91,5.99,9444800,4.79,-0.0038958147266849874,-0.004158004158004047,4.906428571428571,5.0514,-3.1641855781711645
1998-01-21,1998,1,21,Wednesday,03,1998-03,5.97,6.08,5.94,5.99,7494400,4.79,0.0,0.0,4.897142857142858,5.0404,0.0
1998-01-22,1998,1,22,Thursday,03,1998-03,5.98,6.08,5.91,6.0,5034400,4.8,0.0013037832993973986,0.0020876826722338038,4.885,5.030399999999999,1.5886986044888918
1998-01-23,1998,1,23,Friday,03,1998-03,5.99,6.05,5.86,5.91,9566400,4.73,-0.014322942280428297,-0.01458333333333317,4.867857142857143,5.0196000000000005,-11.097721710106745
1998-01-26,1998,1,26,Monday,04,1998-04,5.91,5.92,5.82,5.85,4848000,4.68,-0.010567345319488775,-0.010570824524313016,4.847857142857143,5.007999999999999,-8.044256147465052
1998-01-27,1998,1,27,Tuesday,04,1998-04,5.84,6.04,5.84,6.0,8758400,4.8,0.02536647154048488,0.025641025641025772,4.8342857142857145,4.9998000000000005,19.512477732056134
1998-01-28,1998,1,28,Wednesday,04,1998-04,6.02,6.12,6.02,6.09,7218400,4.87,0.015625127292633545,0.014583333333333393,4.822857142857143,4.9916,11.097721710106914
1998-01-29,1998,1,29,Thursday,04,1998-04,6.11,6.22,6.1,6.19,5391200,4.95,0.015384543146927498,0.01642710472279263,4.815714285714286,4.9841999999999995,12.500807089120103
1998-01-30,1998,1,30,Friday,04,1998-04,6.27,6.41,6.22,6.41,7356000,5.12,0.03535321130172897,0.03434343434343434,4.827857142857143,4.979,26.134894416875053
1998-02-02,1998,2,2,Monday,05,1998-05,6.61,6.62,6.51,6.55,9916000,5.24,0.021951543598906387,0.0234375,4.8549999999999995,4.9786,17.835624176957467
1998-02-03,1998,2,3,Tuesday,05,1998-05,6.5,6.52,6.41,6.52,6534400,5.21,-0.0047731868959935975,-0.005725190839694694,4.884285714285714,4.9766,-4.356793692081242
1998-02-04,1998,2,4,Wednesday,05,1998-05,6.5,6.56,6.46,6.55,6724800,5.24,0.005995030733589868,0.0057581573896352545,4.909285714285715,4.9738,4.38188079587434
1998-02-05,1998,2,5,Thursday,05,1998-05,6.54,6.65,6.5,6.52,5368000,5.22,-0.004767589124469285,-0.003816793893129833,4.946428571428571,4.9718,-2.904529128054189
1998-02-06,1998,2,6,Friday,05,1998-05,6.55,6.55,6.46,6.53,3493600,5.22,0.0011975156005989973,0.0,4.975714285714287,4.9712,0.0
1998-02-09,1998,2,9,Monday,06,1998-06,6.5,6.81,6.5,6.77,10347200,5.42,0.037081775861935284,0.03831417624521083,5.020714285714286,4.9776,29.156575921463116
1998-02-10,1998,2,10,Tuesday,06,1998-06,6.84,6.96,6.73,6.8,8953600,5.44,0.003460124783450702,0.0036900369003691758,5.067142857142857,4.9830000000000005,2.8080687511078257
1998-02-11,1998,2,11,Wednesday,06,1998-06,6.78,6.83,6.7,6.71,4455200,5.37,-0.01264387352548213,-0.012867647058823595,5.107857142857142,4.9862,-9.792107391270816
1998-02-12,1998,2,12,Thursday,06,1998-06,6.81,7.03,6.62,7.0,17620000,5.6,0.043073328789023035,0.04283054003724396,5.170000000000001,4.993,32.593468390417634
1998-02-13,1998,2,13,Friday,06,1998-06,7.02,7.38,7.02,7.27,31290400,5.82,0.03906265501315476,0.03928571428571437,5.251428571428571,5.0036000000000005,29.89590338232877
1998-02-17,1998,2,17,Tuesday,07,1998-07,7.24,7.33,7.07,7.1,10353600,5.68,-0.023630543566755535,-0.024054982817869552,5.314285714285715,5.0128,-18.305520346568134
1998-02-18,1998,2,18,Wednesday,07,1998-07,7.1,7.34,7.1,7.3,17975200,5.84,0.028602824364699186,0.028169014084507005,5.383571428571429,5.0266,21.43624314225871
1998-02-19,1998,2,19,Thursday,07,1998-07,7.28,7.37,7.24,7.33,5607200,5.86,0.0032088880699332467,0.0034246575342467,5.448571428571428,5.04,2.6061186011993596
1998-02-20,1998,2,20,Friday,07,1998-07,7.37,7.41,7.3,7.33,6608000,5.86,0.0,0.0,5.501428571428572,5.0524000000000004,0.0
1998-02-23,1998,2,23,Monday,08,1998-08,7.32,7.46,7.3,7.45,6108000,5.96,0.017057267506959573,0.017064846416382284,5.5528571428571425,5.068200000000001,12.986119992324006
1998-02-24,1998,2,24,Tuesday,08,1998-08,7.53,7.72,7.41,7.45,17188000,5.96,0.0,0.0,5.606428571428572,5.0862,0.0
1998-02-25,1998,2,25,Wednesday,08,1998-08,7.5,7.64,7.5,7.56,8200800,6.05,0.014675077058870833,0.015100671140939603,5.664285714285714,5.1068,11.491408865690723
1998-02-26,1998,2,26,Thursday,08,1998-08,7.59,7.64,7.56,7.61,5354400,6.09,0.006198042073884746,0.006611570247933907,5.7264285714285705,5.130199999999999,5.031316572232647
1998-02-27,1998,2,27,Friday,08,1998-08,7.58,7.66,7.54,7.59,2713600,6.07,-0.0030797748162408878,-0.003284072249589376,5.7871428571428565,5.1528,-2.4991350789824587
1998-03-02,1998,3,2,Monday,09,1998-09,7.5,7.66,7.49,7.65,6292000,6.12,0.008238942534931626,0.008237232289950658,5.837142857142857,5.1754,6.2684236536259705
1998-03-03,1998,3,3,Tuesday,09,1998-09,7.62,7.88,7.62,7.84,13246400,6.27,0.025535913597588555,0.02450980392156854,5.896428571428571,5.2016,18.651633126229967
1998-03-04,1998,3,4,Wednesday,09,1998-09,7.81,8.11,7.7,8.03,11158400,6.42,0.023904657694652443,0.02392344497607657,5.971428571428572,5.2352,18.205421807420713
1998-03-05,1998,3,5,Thursday,09,1998-09,7.88,7.96,7.85,7.92,7887200,6.34,-0.013618774514406518,-0.012461059190031154,6.024285714285715,5.2668,-9.48269945856929
1998-03-06,1998,3,6,Friday,09,1998-09,8.03,8.07,7.98,8.0,9938400,6.4,0.009861725006132582,0.009463722397476504,6.065714285714286,5.3006,7.201766229181688
1998-03-09,1998,3,9,Monday,10,1998-10,7.98,8.11,7.98,8.07,8960800,6.46,0.008789303720564634,0.009374999999999911,6.121428571428572,5.337,7.13424967078292
1998-03-10,1998,3,10,Tuesday,10,1998-10,8.12,8.27,8.12,8.27,12426400,6.61,0.024201472041826877,0.023219814241486114,6.176428571428572,5.3751999999999995,17.66996822484954
1998-03-11,1998,3,11,Wednesday,10,1998-10,8.23,8.27,8.12,8.22,8944000,6.57,-0.005671014793246165,-0.00605143721633894,6.227142857142857,5.4117999999999995,-4.6050628232992
1998-03-12,1998,3,12,Thursday,10,1998-10,8.16,8.39,8.16,8.35,8256800,6.68,0.01616008425028781,0.016742770167427645,6.285714285714286,5.449,12.741024272529696
1998-03-13,1998,3,13,Friday,10,1998-10,8.34,8.35,8.19,8.2,5133600,6.56,-0.018709524858752102,-0.017964071856287456,6.328571428571428,5.481800000000001,-13.670418530841674
1998-03-16,1998,3,16,Monday,11,1998-11,8.16,8.2,8.12,8.15,3982400,6.52,-0.005719669911001257,-0.0060975609756097615,6.368571428571428,5.5127999999999995,-4.640162387501134
1998-03-17,1998,3,17,Tuesday,11,1998-11,8.16,8.16,8.08,8.12,5104000,6.5,-0.0028763960971316394,-0.0030674846625766694,6.400714285714286,5.5434,-2.3343148207060764
1998-03-18,1998,3,18,Wednesday,11,1998-11,8.09,8.23,8.08,8.2,4529600,6.56,0.008653860756582255,0.009230769230769154,6.434285714285715,5.575399999999999,7.024491983540114
1998-03-19,1998,3,19,Thursday,11,1998-11,8.23,8.29,8.02,8.1,5608800,6.48,-0.011439267085054494,-0.012195121951219412,6.463571428571428,5.6052,-9.280324775002184
1998-03-20,1998,3,20,Friday,11,1998-11,8.13,8.14,8.0,8.02,5010400,6.41,-0.01060775804284364,-0.010802469135802517,6.484285714285714,5.6328,-8.2205346000792
1998-03-23,1998,3,23,Monday,12,1998-12,7.98,8.09,7.91,8.09,6254400,6.47,0.00877172172601326,0.009360374414976613,6.498571428571429,5.6612,7.12311979610159
1998-03-24,1998,3,24,Tuesday,12,1998-12,8.14,8.31,8.11,8.29,7507200,6.63,0.025121263421986173,0.02472952086553315,6.513571428571429,5.6948,18.818834783312095
1998-03-25,1998,3,25,Wednesday,12,1998-12,8.29,8.36,8.21,8.33,6143200,6.66,0.004712038722094913,0.004524886877828038,6.536428571428571,5.7308,3.443378423303994
1998-03-26,1998,3,26,Thursday,12,1998-12,8.3,8.38,8.26,8.34,5626400,6.67,0.0018763909647212529,0.0015015015015014122,6.555714285714286,5.768199999999999,1.1426225698951051
1998-03-27,1998,3,27,Friday,12,1998-12,8.38,8.41,8.2,8.23,5865600,6.59,-0.01310863670864082,-0.01199400299850073,6.5649999999999995,5.8022,-9.127275940631893
1998-03-30,1998,3,30,Monday,13,1998-13,8.16,8.2,8.06,8.14,5004000,6.51,-0.010935013790657089,-0.012139605462822445,6.557857142857142,5.8384,-9.23807746950148
