Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,15.81,15.81,15.09,15.47,1105400,9.15,-0.01394445268627209,,8.954285714285714,9.0612,
1998-01-05,1998,1,5,Monday,01,1998-01,15.5,15.72,15.41,15.5,1437800,9.17,0.0020203995924585882,0.002185792349726823,8.937142857142858,9.0808,1.8361259683800228
1998-01-06,1998,1,6,Tuesday,01,1998-01,15.44,15.53,15.25,15.41,934000,9.11,-0.0060485612165797065,-0.0065430752453653485,8.921428571428573,9.101,-5.496363994768894
1998-01-07,1998,1,7,Wednesday,01,1998-01,15.38,15.59,15.22,15.38,1107000,9.09,-0.0020284912095573926,-0.002195389681668436,8.929285714285713,9.1176,-1.8441879923903828
1998-01-08,1998,1,8,Thursday,01,1998-01,15.31,15.34,15.0,15.03,1557600,8.89,-0.02235707947609178,-0.022002200220021972,8.907142857142857,9.1382,-18.482456117356243
1998-01-09,1998,1,9,Friday,01,1998-01,15.12,15.34,14.97,15.06,1366000,8.91,0.0020783458041235825,0.0022497187851517886,8.907142857142857,9.1512,1.8898259404585314
1998-01-12,1998,1,12,Monday,02,1998-02,14.81,15.69,14.78,15.59,1767800,9.22,0.03527005609210643,0.03479236812570141,8.932142857142859,9.171800000000001,29.22655055729414
1998-01-13,1998,1,13,Tuesday,02,1998-02,15.69,15.78,15.34,15.62,2669200,9.24,0.002003686336054855,0.002169197396963085,8.963571428571429,9.1914,1.8221857495310791
1998-01-14,1998,1,14,Wednesday,02,1998-02,15.75,16.09,15.56,16.09,1544200,9.52,0.03000045829646658,0.030303030303030276,9.020714285714286,9.2158,25.45538274344975
1998-01-15,1998,1,15,Thursday,02,1998-02,15.97,15.97,15.59,15.75,1250000,9.31,-0.02135960022038952,-0.022058823529411686,9.089285714285714,9.2316,-18.530021261775868
1998-01-16,1998,1,16,Friday,02,1998-02,15.94,16.28,15.88,16.22,2031800,9.59,0.02976174323697056,0.03007518796992481,9.172142857142857,9.25,25.26398888823586
1998-01-20,1998,1,20,Tuesday,03,1998-03,16.34,16.88,16.22,16.81,1946600,9.94,0.03660916746161602,0.03649635036496357,9.264285714285714,9.271799999999999,30.657942720213285
1998-01-21,1998,1,21,Wednesday,03,1998-03,16.81,17.03,16.31,16.44,2003200,9.72,-0.022304900470494715,-0.022132796780684028,9.295714285714286,9.2848,-18.59216083676506
1998-01-22,1998,1,22,Thursday,03,1998-03,16.25,16.66,16.22,16.59,1257800,9.81,0.0095056511920526,0.0092592592592593,9.33357142857143,9.302200000000001,7.778033616054132
1998-01-23,1998,1,23,Friday,03,1998-03,16.5,16.69,16.19,16.47,1247800,9.74,-0.007533207266371189,-0.007135575942915473,9.375714285714285,9.319600000000001,-5.994080951821574
1998-01-26,1998,1,26,Monday,04,1998-04,16.47,16.5,16.19,16.22,776400,9.59,-0.01518018686335254,-0.015400410677618104,9.405714285714286,9.3304,-12.936770490767623
1998-01-27,1998,1,27,Tuesday,04,1998-04,16.16,16.56,16.16,16.38,1056800,9.68,0.009634357799474191,0.00938477580813335,9.446428571428571,9.3452,7.883470985197584
1998-01-28,1998,1,28,Wednesday,04,1998-04,16.47,16.5,16.25,16.44,1213600,9.72,0.003816575104977904,0.004132231404958775,9.491428571428571,9.359599999999999,3.4711885559250506
1998-01-29,1998,1,29,Thursday,04,1998-04,16.41,17.44,16.34,16.81,2433200,9.94,0.022813759096500075,0.02263374485596703,9.566428571428572,9.375399999999999,19.01297106146553
1998-01-30,1998,1,30,Friday,04,1998-04,16.69,16.94,16.5,16.56,1434000,9.79,-0.014869901670570007,-0.015090543259557387,9.629285714285714,9.383,-12.67647329779444
1998-02-02,1998,2,2,Monday,05,1998-05,16.88,17.78,16.88,17.53,2548400,10.37,0.058491020403751426,0.0592441266598569,9.71142857142857,9.4042,49.766703341126444
