Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,970.43,975.04,965.73,975.04,366730000,975.04,0.0047504563815585765,,956.0064285714285,947.675,
1998-01-05,1998,1,5,Monday,01,1998-01,975.04,982.63,969.0,977.07,628070000,977.07,0.0020819959618292305,0.0020819658680670816,957.6978571428572,947.8466000000001,2.6782415497637015
1998-01-06,1998,1,6,Tuesday,01,1998-01,977.07,977.07,962.68,966.58,618360000,966.58,-0.010736170546369217,-0.0107361806216546,957.9257142857143,948.1644,-13.81102614010614
1998-01-07,1998,1,7,Wednesday,01,1998-01,966.58,966.58,952.67,964.0,667390000,964.0,-0.002669222458800302,-0.0026692048252602296,957.6371428571429,948.6116000000001,-3.4336659296334684
1998-01-08,1998,1,8,Thursday,01,1998-01,964.0,964.0,955.04,956.05,652140000,956.05,-0.00824690062970046,-0.008246887966805061,956.9592857142858,950.1928000000001,-10.608799283270455
1998-01-09,1998,1,9,Friday,01,1998-01,956.05,956.05,921.72,927.69,746420000,927.69,-0.029663705573629295,-0.02966372051670929,954.987142857143,950.3095999999999,-38.15941943476136
1998-01-12,1998,1,12,Monday,02,1998-02,927.69,939.25,912.83,939.21,705450000,939.21,0.012417962359120738,0.01241794133816243,954.4464285714286,950.7106,15.974443656596625
1998-01-13,1998,1,13,Tuesday,02,1998-02,939.21,952.14,939.21,952.12,646740000,952.12,0.013745565786676739,0.013745594701930264,954.3335714285714,951.6794,17.682337362763757
1998-01-14,1998,1,14,Wednesday,02,1998-02,952.12,958.12,948.0,957.94,603280000,957.94,0.006112682596800756,0.006112674872915225,955.6771428571429,952.5458,7.8633468857187925
1998-01-15,1998,1,15,Thursday,02,1998-02,957.94,957.94,950.27,950.73,569050000,950.73,-0.007526590344156037,-0.007526567425934827,956.965,952.7805999999999,-9.682178712157057
1998-01-16,1998,1,16,Friday,02,1998-02,950.73,965.12,950.73,961.51,670080000,961.51,0.011338686607484494,0.011338655559412159,958.7542857142859,953.1956,14.58605009018254
1998-01-20,1998,1,20,Tuesday,03,1998-03,961.51,978.6,961.48,978.6,644790000,978.6,0.01777409038568223,0.017774126114133093,960.5578571428572,953.9124,22.86464144285265
1998-01-21,1998,1,21,Wednesday,03,1998-03,978.6,978.6,963.29,970.81,626160000,970.81,-0.00796032926802348,-0.007960351522583342,960.5557142857143,954.5679999999999,-10.240198710990837
1998-01-22,1998,1,22,Thursday,03,1998-03,970.81,970.81,959.49,963.04,646570000,963.04,-0.008003645976854545,-0.008003625838217565,960.0278571428571,955.2786,-10.295866804280362
1998-01-23,1998,1,23,Friday,03,1998-03,963.04,966.44,950.86,957.59,635770000,957.59,-0.005659112078647555,-0.005659162651603156,958.7814285714286,956.0078,-7.279948621091488
1998-01-26,1998,1,26,Monday,04,1998-04,957.59,963.04,954.24,956.95,555080000,956.95,-0.000668359768260296,-0.0006683444898128998,957.3442857142857,956.6712,-0.8597585626292588
1998-01-27,1998,1,27,Tuesday,04,1998-04,956.95,973.23,956.26,969.02,679140000,969.02,0.01261299667720528,0.012612989184387802,957.5185714285715,957.9324,16.225353267539337
1998-01-28,1998,1,28,Wednesday,04,1998-04,969.02,978.63,969.02,977.46,708470000,977.46,0.00870983289435956,0.008709830550453157,958.4799999999999,959.1483999999999,11.20432876898311
1998-01-29,1998,1,29,Thursday,04,1998-04,977.46,992.65,975.21,985.49,750760000,985.49,0.0082151372753978,0.008215169930227306,960.5828571428572,960.2912,10.567997191006409
1998-01-30,1998,1,30,Friday,04,1998-04,985.49,987.41,979.63,980.28,613380000,980.28,-0.005286670579232267,-0.005286710164486785,964.3392857142857,960.9728,-6.800825624116519
1998-02-02,1998,2,2,Monday,05,1998-05,980.28,1002.48,980.28,1001.27,724320000,1001.27,0.021412238959341634,0.021412249561349794,968.772142857143,962.2336,27.544724593568056
