Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,25.97,26.17,22.87,24.42,17.18,83458814,,
1998-07-31,05,1998-05,1998,2,2,24.58,34.61,24.58,32.2,22.75,569676453,0.32421420256111766,2.251036186646888
1999-01-31,31,1998-31,1998,8,3,32.09,32.62,19.55,30.02,21.32,913460069,-0.06285714285714283,-0.4364204345242664
1999-07-31,05,1999-05,1999,2,1,30.34,42.01,27.75,38.44,27.4,736873415,0.2851782363977484,1.9800074293613308
2000-01-31,31,1999-31,1999,8,2,38.51,49.27,35.56,48.07,34.37,880536162,0.25437956204379564,1.7661706204743668
2000-07-31,05,2000-05,2000,2,1,48.01,52.3,34.87,49.62,35.59,865371420,0.035496072155950076,0.246451087816889
2001-01-31,31,2000-31,2000,8,1,49.89,55.14,38.68,41.23,29.66,632220952,-0.16661983703287453,-1.1568502539721526
2001-07-31,04,2001-04,2001,2,1,41.23,43.72,29.76,35.3,25.5,808852394,-0.14025623735670933,-0.973806400826537
2002-01-31,30,2001-30,2001,8,1,35.34,36.69,21.18,31.38,22.78,808863130,-0.10666666666666658,-0.7405922525260275
2002-07-31,04,2002-04,2002,2,1,30.79,39.31,23.56,30.86,22.5,768934653,-0.012291483757682187,-0.08534041540302131
2003-01-31,30,2002-30,2002,8,1,30.07,34.87,23.24,31.1,22.78,704530103,0.01244444444444448,0.08640242946137021
2003-07-31,05,2003-05,2003,2,3,31.2,40.57,27.05,38.66,28.45,715687994,0.24890254609306406,1.7281434119111798
2004-01-31,30,2003-30,2003,8,1,38.64,45.49,37.08,45.38,33.54,599654064,0.1789103690685414,1.2421840615193822
2004-07-31,05,2004-05,2004,2,2,45.42,47.7,41.42,43.98,32.64,613689932,-0.02683363148479423,-0.1863073086072854
2005-01-31,31,2004-31,2004,8,2,43.59,49.94,43.13,46.7,34.8,505492973,0.06617647058823528,0.4594667007859089
2005-07-31,05,2005-05,2005,2,1,48.74,50.79,43.34,48.14,36.05,684226554,0.03591954022988508,0.24939124883015512
2006-01-31,31,2005-31,2005,8,1,48.14,53.99,46.59,52.45,39.46,780994784,0.09459084604715673,0.6567491975850613
2006-07-31,05,2006-05,2006,2,1,52.45,55.0,49.73,52.06,39.36,598478000,-0.0025342118601114905,-0.017595165654920104
2007-01-31,31,2006-31,2006,8,1,51.92,62.5,51.19,58.22,44.25,630136200,0.12423780487804881,0.8625895852830312
2007-07-31,04,2007-04,2007,2,1,58.3,65.89,53.91,58.54,44.72,773615600,0.010621468926553579,0.07374541497610809
2008-01-31,30,2007-30,2007,8,1,58.45,63.88,41.15,49.13,37.75,1326080000,-0.15585867620751337,-1.0821349508273173
2008-07-31,04,2008-04,2008,2,1,48.88,52.63,35.1,37.12,28.76,1561068200,-0.23814569536423835,-1.653458033992299
2009-01-31,30,2008-30,2008,8,1,37.18,41.8,14.72,16.73,13.14,2216887600,-0.543115438108484,-3.770878928347713
