Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,24.25,24.94,22.25,24.0,12.21,72077400,,
1998-07-31,05,1998-05,1998,2,2,24.41,30.38,23.97,24.25,12.46,334641800,0.020475020475020367,0.1337055668565576
1999-01-31,31,1998-31,1998,8,3,24.31,26.5,19.53,21.66,11.27,450928800,-0.09550561797752821,-0.623668865447547
1999-07-31,05,1999-05,1999,2,1,21.72,33.22,21.0,29.31,15.41,409905200,0.36734693877551017,2.3988415905089293
2000-01-31,31,1999-31,1999,8,2,29.31,31.97,21.22,21.22,11.3,418111600,-0.26670992861778064,-1.7416638110627773
2000-07-31,05,2000-05,2000,2,1,21.38,22.44,16.75,17.03,9.23,486777200,-0.18318584070796462,-1.196236492258214
2001-01-31,31,2000-31,2000,8,1,17.06,24.81,14.5,22.11,12.21,460754400,0.3228602383531962,2.10833543424891
2001-07-31,04,2001-04,2001,2,1,22.11,28.42,19.88,27.55,15.42,539871000,0.2628992628992628,1.7167794784382078
2002-01-31,30,2001-30,2001,8,1,27.42,27.86,20.16,25.14,14.28,485191800,-0.07392996108949423,-0.48277594482572744
2002-07-31,04,2002-04,2002,2,1,25.25,30.0,19.52,22.35,12.88,550814000,-0.09803921568627438,-0.6402137142425783
2003-01-31,30,2002-30,2002,8,1,22.2,25.42,16.88,21.99,12.88,506318400,0.0,0.0
2003-07-31,05,2003-05,2003,2,3,22.17,34.15,20.62,33.74,20.02,579212000,0.5543478260869563,3.619991023358582
2004-01-31,30,2003-30,2003,8,1,33.78,42.85,32.8,39.06,23.39,649061600,0.16833166833166846,1.0992360745941274
2004-07-31,05,2004-05,2004,2,2,39.12,42.38,35.53,36.74,22.22,615900200,-0.05002137665669093,-0.32664858767725286
2005-01-31,31,2004-31,2004,8,2,36.62,49.36,34.25,44.55,27.19,631944800,0.2236723672367238,1.4606207934209416
2005-07-31,05,2005-05,2005,2,1,44.8,54.6,41.31,53.91,33.22,683565000,0.22177271055535108,1.4482156935713146
2006-01-31,31,2005-31,2005,8,1,54.2,68.37,48.25,67.9,42.19,500455700,0.2700180614087899,1.7632665132724425
2006-07-31,05,2006-05,2006,2,1,68.1,82.03,64.41,70.87,44.37,622587000,0.051671012088172485,0.3374210037899495
2007-01-31,31,2006-31,2006,8,1,70.12,74.08,57.98,64.07,40.49,861589200,-0.08744647284201024,-0.5710411979910812
2007-07-31,04,2007-04,2007,2,1,64.8,87.0,62.34,78.8,50.23,778540900,0.24055322301802895,1.570855818290237
2008-01-31,30,2007-30,2007,8,1,78.61,82.74,59.6,70.99,45.72,829640200,-0.08978697989249451,-0.5863251300534963
2008-07-31,04,2008-04,2008,2,1,71.15,85.96,65.85,69.52,45.24,882823200,-0.010498687664041939,-0.06855831900550417
2009-01-31,30,2008-30,2008,8,1,69.67,74.5,30.06,30.85,20.5,1407959900,-0.5468611847922193,-3.5711019089674267
2009-07-31,05,2009-05,2009,2,2,30.1,44.47,21.71,44.06,30.03,1920611500,0.4648780487804878,3.035737283251909
2010-01-31,31,2009-31,2009,8,3,44.68,64.42,43.19,52.24,36.1,1219625800,0.20213120213120206,1.3199531103434907
2010-07-31,05,2010-05,2010,2,1,52.82,72.83,50.5,69.75,48.83,1189880200,0.3526315789473684,2.302747643754624
2011-01-31,31,2010-31,2010,8,2,70.74,97.79,63.34,97.01,68.61,861797900,0.405078844972353,2.645237725388609
2011-07-31,05,2011-05,2011,2,1,97.35,116.55,94.21,98.79,70.45,957055500,0.026818248068794626,0.1751279840971392
2012-01-31,31,2011-31,2011,8,1,102.43,114.0,67.54,109.12,78.6,1271809800,0.11568488289567047,0.755443095315621
2012-07-31,05,2012-05,2012,2,1,110.75,116.95,78.25,84.21,61.3,886847800,-0.2201017811704834,-1.437304224112538
2013-01-31,31,2012-31,2012,8,1,85.0,99.2,80.16,98.39,72.47,843777800,0.18221859706362165,1.1899202172677659
2013-07-31,04,2013-04,2013,2,1,99.0,99.7,79.49,82.91,61.89,815727200,-0.14599144473575265,-0.9533503958355476
2014-01-31,30,2013-30,2013,8,1,83.62,94.69,81.46,93.91,71.06,690748300,0.14816610114719664,0.9675512933909419
2014-07-31,05,2014-05,2014,2,3,93.74,111.46,91.06,100.75,77.17,581320500,0.08598367576695742,0.5614888699553332
2015-01-31,30,2014-30,2014,8,1,100.52,109.73,78.81,79.97,62.22,696241200,-0.1937281326940521,-1.2650795553304508
2015-07-31,05,2015-05,2015,2,2,80.08,89.62,74.77,78.63,62.26,671369900,0.0006428801028608433,0.004198122716344957
2016-01-31,31,2015-31,2015,8,3,78.42,80.31,56.36,62.24,50.45,904226900,-0.18968840346932214,-1.2386993968051645
2016-07-31,05,2016-05,2016,2,1,61.97,84.29,59.8,82.76,68.39,714008300,0.355599603567889,2.322129378430547
2017-01-31,31,2016-31,2016,8,1,82.76,99.46,79.93,95.66,80.42,583247900,0.17590290978213186,1.1486776432204986
2017-07-31,05,2017-05,2017,2,1,95.81,114.9,90.34,113.95,97.28,634960800,0.20964934095996024,1.3690479092977472
2018-01-31,31,2017-31,2017,8,1,114.27,173.24,112.09,162.78,140.45,493918400,0.4437705592105261,2.8979015794335083
2018-07-31,04,2018-04,2018,2,1,161.24,164.6,132.68,143.8,125.46,651127800,-0.10672837308650762,-0.6969554751175638
2019-01-31,30,2018-30,2018,8,1,142.97,159.37,112.06,133.16,117.67,714768200,-0.06209150326797375,-0.40546868568696603
2019-07-31,04,2019-04,2019,2,1,133.03,144.77,118.74,131.67,117.96,522280900,0.0024645194187131736,0.016093755134948696
2020-01-31,30,2019-30,2019,8,1,131.64,150.55,111.75,131.35,119.43,451854200,0.012461851475076502,0.08137813183582053
2020-07-31,05,2020-05,2020,2,3,131.44,141.08,87.5,132.88,122.84,583441000,0.028552290044377537,0.18645159012631204
2021-01-31,31,2020-31,2020,8,3,132.3,200.17,130.67,182.84,170.97,397872100,0.3918104851839792,2.558592949187988
2021-07-31,05,2021-05,2021,2,1,185.96,246.69,182.02,206.75,195.24,430695200,0.1419547288998071,0.9269899152810875
2022-01-31,31,2021-31,2021,8,2,208.0,230.43,186.98,201.56,192.32,441206400,-0.01495595164925223,-0.09766505462508202
2022-07-31,05,2022-05,2022,2,1,200.8,237.9,167.08,198.25,191.39,415251100,-0.004835690515807012,-0.03157792893773469
2023-01-31,31,2022-31,2022,8,1,195.08,266.04,160.6,252.29,246.36,389481300,0.2872145880140029,1.8755629254063888
2023-07-31,05,2023-05,2023,2,1,251.75,265.4,204.04,265.17,261.64,385661200,0.06202305569085875,0.405021710695694
2024-01-31,31,2023-31,2023,8,1,272.75,299.2,223.76,295.67,293.24,307223000,0.1207766396575447,0.7886931829027216
