Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2004-06-30,25,2004-25,2004,6,23,3.75,4.42,3.69,4.02,4.01,65642000,,
2004-12-31,26,2004-26,2004,7,1,4.02,5.68,2.25,4.24,4.22,331359600,0.052369077306733125,0.269156242924406
2005-06-30,01,2005-01,2005,1,3,4.1,5.49,3.24,5.12,5.11,483732000,0.21090047393364952,1.0839446122465746
2005-12-31,26,2005-26,2005,7,1,5.11,9.05,4.66,8.01,7.99,743199600,0.5636007827788649,2.8966840166670225
2006-06-30,01,2006-01,2006,1,3,8.02,10.75,6.03,6.66,6.65,919614000,-0.1677096370463078,-0.8619608771261718
2006-12-31,27,2006-27,2006,7,3,6.71,11.15,5.41,9.11,9.09,923996800,0.36691729323308264,1.88580905354068
2007-06-30,00,2007-00,2007,1,3,9.14,12.61,8.89,10.72,10.68,912427200,0.17491749174917492,0.8990063854899268
2007-12-31,26,2007-26,2007,7,2,10.75,16.38,9.31,15.67,15.63,848740000,0.4634831460674158,2.3821191563795265
2008-06-30,00,2008-00,2008,1,2,15.76,18.8,11.77,17.06,17.01,957582400,0.08829174664107486,0.4537844856031073
2008-12-31,26,2008-26,2008,7,1,16.84,18.09,5.2,8.0,7.98,1406858000,-0.5308641975308642,-2.728430979862161
2009-06-30,00,2009-00,2009,1,2,8.02,11.37,6.3,9.54,9.52,1265816400,0.1929824561403508,0.991853122422352
2009-12-31,26,2009-26,2009,7,1,9.63,18.74,8.82,18.44,18.39,923960800,0.9317226890756305,4.788684302573694
2010-06-30,01,2010-01,2010,1,4,18.65,24.49,15.07,21.45,21.39,1124344800,0.16313213703099505,0.8384343464047762
2010-12-31,26,2010-26,2010,7,1,21.42,37.81,20.9,33.0,32.91,1534748000,0.5385694249649366,2.7680327863802674
2011-06-30,01,2011-01,2011,1,3,33.28,38.5,29.42,37.24,37.14,1334474000,0.12853236098450327,0.6606052494330364
2011-12-31,26,2011-26,2011,7,1,37.33,40.03,23.52,25.36,25.29,1546465600,-0.3190630048465267,-1.6398570312336074
2012-06-30,01,2012-01,2012,1,3,26.05,41.19,23.79,34.56,34.47,1318243200,0.3629893238434163,1.8656208520749127
2012-12-31,27,2012-27,2012,7,2,34.23,43.19,30.05,42.03,41.9,1027745200,0.21554975340876115,1.1078400608621204
2013-06-30,00,2013-00,2013,1,2,42.94,47.58,36.09,38.18,38.07,839319100,-0.09140811455847253,-0.46980137807772543
2013-12-31,26,2013-26,2013,7,1,38.56,58.37,37.73,55.19,55.03,629077800,0.4454951405306016,2.28966795737072
2014-06-30,00,2014-00,2014,1,2,55.2,67.0,48.18,58.08,57.91,772486400,0.05233508995093583,0.2689815614241047
2014-12-31,26,2014-26,2014,7,1,58.24,64.74,51.04,59.31,59.14,612518800,0.02123985494733205,0.10916441251005646
2015-06-30,00,2015-00,2015,1,2,59.9,78.46,54.95,69.63,69.43,583946400,0.17399391274940834,0.8942595565136392
2015-12-31,26,2015-26,2015,7,1,70.58,82.9,64.16,78.4,78.18,462626800,0.12602621345239817,0.6477246472027398
2016-06-30,01,2016-01,2016,1,4,77.14,84.48,52.6,79.41,79.18,608987400,0.012790995139421835,0.06574063115197333
2016-12-31,26,2016-26,2016,7,1,79.59,83.09,66.43,68.46,68.26,841348900,-0.13791361454912854,-0.7088211641146396
2017-06-30,01,2017-01,2017,1,3,69.29,91.99,69.0,86.6,86.35,591155400,0.2650161148549661,1.3620774979668104
2017-12-31,27,2017-27,2017,7,3,87.01,109.19,85.12,102.23,101.94,515646500,0.1805442964678634,0.9279259253336583
2018-06-30,00,2018-00,2018,1,2,102.88,142.12,102.27,136.4,136.01,689378700,0.33421620561114374,1.7177384604250125
2018-12-31,26,2018-26,2018,7,2,136.15,161.19,113.6,136.97,136.58,772589100,0.004190868318506125,0.021539397469105374
2019-06-30,00,2019-00,2019,1,2,133.4,167.56,130.1,151.73,151.3,713698900,0.10777566261531701,0.5539240697009081
2019-12-31,26,2019-26,2019,7,1,154.57,166.34,137.87,162.64,162.18,709323800,0.07191011235955047,0.369589396383732
2020-06-30,00,2020-00,2020,1,2,163.92,195.72,115.29,187.33,186.79,878283300,0.15174497471944748,0.7799088580255399
2020-12-31,26,2020-26,2020,7,1,188.1,284.5,181.93,222.53,221.89,1025161300,0.1879115584346056,0.9657907236762718
2021-06-30,01,2021-01,2021,1,4,222.64,251.23,201.51,244.27,243.57,819256000,0.0977060705755104,0.5021703688415006
2021-12-31,26,2021-26,2021,7,1,244.5,311.75,234.31,254.13,253.4,733663700,0.040358007964856224,0.20742412038520563
2022-06-30,01,2022-01,2022,1,3,255.01,256.87,154.55,165.04,164.57,981618000,-0.3505524861878453,-1.801700449627725
2022-12-31,26,2022-26,2022,7,1,164.76,194.37,126.34,132.59,132.21,945317300,-0.19663365133377886,-1.0106188145251684
2023-06-30,01,2023-01,2023,1,3,135.19,225.0,133.03,211.26,210.66,973760900,0.5933741774449739,3.049707431620433
2023-12-31,27,2023-27,2023,7,3,210.57,268.36,193.68,263.14,262.39,642482200,0.2455615684040633,1.2620888615458647
