Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,9.44,10.79,8.58,10.51,7.07,1282155600,,
1998-07-31,05,1998-05,1998,2,2,10.82,17.42,10.0,15.96,10.73,6691602600,0.5176803394625176,2.78565418983739
1999-01-31,31,1998-31,1998,8,3,16.02,28.0,10.28,27.89,18.75,9455499600,0.7474370922646785,4.021982503466758
1999-07-31,05,1999-05,1999,2,1,28.27,34.62,22.91,31.06,20.89,6695613800,0.11413333333333342,0.6141550566324485
2000-01-31,31,1999-31,1999,8,2,30.84,57.88,28.08,54.75,36.81,5219464600,0.762087123025371,4.100814779794154
2000-07-31,05,2000-05,2000,2,1,54.89,82.0,50.0,65.44,44.0,6243324300,0.19532735669654988,1.051062650238049
2001-01-31,31,2000-31,2000,8,1,64.75,70.0,31.94,37.44,25.17,7227809200,-0.42795454545454537,-2.302836870032855
2001-07-31,04,2001-04,2001,2,1,37.5,38.62,13.19,19.22,12.92,10909394800,-0.48669050456893126,-2.618896913516414
2002-01-31,30,2001-30,2001,8,1,19.82,21.92,11.04,19.8,13.31,8879556200,0.030185758513932015,0.16243051603052558
2002-07-31,04,2002-04,2002,2,1,19.55,20.0,11.45,13.19,8.87,9120836000,-0.3335837716003006,-1.7950247675716844
2003-01-31,30,2002-30,2002,8,1,12.98,15.63,8.12,13.37,8.99,10540384400,0.013528748590755368,0.07279862170199926
2003-07-31,05,2003-05,2003,2,3,13.52,19.81,12.33,19.49,13.1,7821357600,0.45717463848720796,2.4600711097344936
2004-01-31,30,2003-30,2003,8,1,19.42,29.39,17.42,25.71,17.29,6188703900,0.31984732824427486,1.7211085338049052
2004-07-31,05,2004-05,2004,2,2,26.11,26.7,20.07,20.92,14.07,6957707700,-0.18623481781376516,-1.0021354125117985
2005-01-31,31,2004-31,2004,8,2,20.6,21.24,17.41,18.04,12.13,7054300300,-0.13788201847903336,-0.7419474783959141
2005-07-31,05,2005-05,2005,2,1,18.09,20.25,17.01,19.15,12.88,6881888600,0.0618301731244848,0.3327101063977398
2006-01-31,31,2005-31,2005,8,1,19.26,19.74,16.83,18.57,12.49,7137031200,-0.030279503105590133,-0.1629349586268934
2006-07-31,05,2006-05,2006,2,1,18.4,22.0,17.45,17.88,12.02,6510344100,-0.03763010408326661,-0.20248877369459864
2007-01-31,31,2006-31,2006,8,1,17.85,28.99,17.1,26.62,17.9,6649159900,0.4891846921797005,2.6323182155024885
2007-07-31,04,2007-04,2007,2,1,26.67,30.39,24.82,28.91,19.44,6288336400,0.08603351955307281,0.46294907482540537
2008-01-31,30,2007-30,2007,8,1,28.77,34.24,22.3,24.5,16.47,7466928700,-0.1527777777777779,-0.8221020277157485
2008-07-31,04,2008-04,2008,2,1,24.62,27.72,20.56,21.99,14.79,7412948800,-0.10200364298724951,-0.5488848113511996
2009-01-31,30,2008-30,2008,8,1,22.2,25.25,14.2,14.97,10.07,7678066300,-0.3191345503718729,-1.7172730536536955
2009-07-31,05,2009-05,2009,2,2,14.86,22.4,13.61,22.01,14.8,7037083400,0.46971201588877864,2.527535131884762
2010-01-31,31,2009-31,2009,8,3,22.21,25.1,20.68,22.47,15.11,5496164400,0.020945945945945788,0.11271079397183878
2010-07-31,05,2010-05,2010,2,1,22.65,27.74,20.93,23.07,15.51,6944014600,0.026472534745201948,0.14244954213473088
2011-01-31,31,2010-31,2010,8,2,23.43,24.87,19.0,21.15,14.22,8233111100,-0.0831721470019342,-0.4475519391257173
2011-07-31,05,2011-05,2011,2,1,21.27,22.34,14.78,15.97,10.82,9598976300,-0.2390998593530239,-1.2866038638589379
2012-01-31,31,2011-31,2011,8,1,16.08,20.07,13.3,19.65,13.41,7422918000,0.2393715341959335,1.2880657547339327
2012-07-31,05,2012-05,2012,2,1,19.84,21.3,14.96,15.95,10.97,5447400000,-0.18195376584638323,-0.9790989372185108
2013-01-31,31,2012-31,2012,8,1,16.01,21.26,15.65,20.57,14.36,4955631500,0.3090246125797629,1.6628711603949586
2013-07-31,04,2013-04,2013,2,1,20.73,26.15,19.98,25.59,18.14,4686640000,0.26323119777158777,1.4164553549197134
2014-01-31,30,2013-30,2013,8,1,25.79,26.49,20.22,21.91,15.76,5272020200,-0.13120176405733186,-0.7060008192310843
2014-07-31,05,2014-05,2014,2,3,21.93,26.08,21.27,25.23,18.45,4554645100,0.17068527918781728,0.9184628560682169
2015-01-31,30,2014-30,2014,8,1,25.14,28.7,22.49,26.37,19.56,3512817700,0.060162601626016166,0.32373685171245364
2015-07-31,05,2015-05,2015,2,2,26.39,30.31,25.92,28.42,21.41,3278025300,0.09458077709611468,0.5089421365111442
2016-01-31,31,2015-31,2015,8,3,28.41,29.49,22.47,23.79,18.21,3676156400,-0.14946286781877627,-0.8042643929587205
2016-07-31,05,2016-05,2016,2,1,23.46,31.15,22.46,30.53,23.79,3102193500,0.3064250411861613,1.6488827849587073
2017-01-31,31,2016-31,2016,8,1,30.7,31.95,29.12,30.72,24.35,2753751700,0.023539302227826964,0.12666572569643147
2017-07-31,05,2017-05,2017,2,1,30.85,34.6,30.37,31.45,25.38,2576861100,0.04229979466119094,0.227616525575508
2018-01-31,31,2017-31,2017,8,1,31.59,42.98,30.36,41.54,34.06,2611476800,0.3420015760441293,1.8403212380587213
2018-07-31,04,2018-04,2018,2,1,41.09,46.37,37.35,42.29,35.22,3207889100,0.034057545507927056,0.1832647236289409
2019-01-31,30,2018-30,2018,8,1,41.99,49.47,40.25,47.29,39.96,2933031000,0.13458262350936967,0.7241933302845244
2019-07-31,04,2019-04,2019,2,1,47.37,58.26,46.3,55.4,47.41,2585394400,0.18643643643643637,1.0032203286621324
2020-01-31,30,2019-30,2019,8,1,55.84,56.89,43.4,45.97,39.93,2523496800,-0.15777262180974472,-0.8489794405602826
