Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,32.55,35.64,30.77,35.14,26.92,101674911,,
1998-07-31,05,1998-05,1998,2,2,35.14,42.21,33.54,33.97,26.1,774494379,-0.03046062407132244,-0.2563168579064143
1999-01-31,31,1998-31,1998,8,3,34.03,38.17,22.2,32.55,25.06,844638215,-0.03984674329501925,-0.3352981874326846
1999-07-31,05,1999-05,1999,2,1,32.8,36.19,26.33,27.19,20.93,871613177,-0.16480446927374304,-1.3867793264600072
2000-01-31,31,1999-31,1999,8,2,27.19,37.49,23.06,35.82,27.88,1003560265,0.33205924510272333,2.7941772349843657
2000-07-31,05,2000-05,2000,2,1,35.82,43.28,30.58,38.04,29.6,725254235,0.06169296987087525,0.5191275187006146
2001-01-31,31,2000-31,2000,8,1,38.47,42.42,25.65,30.04,23.54,674547586,-0.2047297297297298,-1.722738211846345
2001-07-31,04,2001-04,2001,2,1,30.04,34.33,25.68,25.99,20.37,688334927,-0.13466440101954114,-1.1331598479518474
2002-01-31,30,2001-30,2001,8,1,26.19,27.6,15.29,20.78,16.45,1149154178,-0.19243986254295542,-1.6193227291554682
2002-07-31,04,2002-04,2002,2,1,22.15,24.83,14.7,17.49,13.85,950535223,-0.15805471124620063,-1.329982172035418
2003-01-31,30,2002-30,2002,8,1,17.2,19.97,13.3,17.26,13.84,1087454735,-0.0007220216606498298,-0.006075591982777821
2003-07-31,05,2003-05,2003,2,3,17.42,21.93,14.64,21.62,17.34,1091132894,0.25289017341040454,2.1279936514823015
2004-01-31,30,2003-30,2003,8,1,22.08,24.74,19.51,23.68,19.16,1015987536,0.10495963091118798,0.8832032705298634
2004-07-31,05,2004-05,2004,2,2,23.48,28.03,21.1,22.78,18.44,1252314038,-0.03757828810020869,-0.3162098290827737
2005-01-31,31,2004-31,2004,8,2,22.79,28.55,20.6,28.24,23.06,815196251,0.25054229934924055,2.108237007603029
2005-07-31,05,2005-05,2005,2,1,28.36,29.59,24.02,25.29,20.65,814878355,-0.10450997398091932,-0.8794195446537145
2006-01-31,31,2005-31,2005,8,1,25.29,26.14,22.58,24.97,20.61,1192570088,-0.0019370460048425686,-0.016299651130551013
2006-07-31,05,2006-05,2006,2,1,24.81,30.61,24.56,29.29,24.17,1416078563,0.17273168364871427,1.4534844168017422
2007-01-31,31,2006-31,2006,8,1,29.25,35.48,28.3,34.7,28.89,1159474505,0.19528340918494003,1.6432503065707327
2007-07-31,04,2007-04,2007,2,1,34.62,36.29,32.21,33.0,27.48,1306165557,-0.04880581516095539,-0.41068604373719314
2008-01-31,30,2007-30,2007,8,1,32.88,35.69,26.3,29.84,25.12,1341227600,-0.08588064046579325,-0.7226593870053598
2008-07-31,04,2008-04,2008,2,1,30.75,35.02,28.55,30.35,25.55,1671447500,0.017117834394904552,0.1440413537158957
2009-01-31,30,2008-30,2008,8,1,30.5,34.85,18.6,20.68,17.67,2046558300,-0.3084148727984344,-2.595217056032862
2009-07-31,05,2009-05,2009,2,2,20.08,26.84,15.14,25.12,21.46,1963289000,0.2144878324844368,1.8048496692924576
2010-01-31,31,2009-31,2009,8,3,25.52,32.75,24.89,29.55,25.54,1476390500,0.19012115563839682,1.5998115180000179
2010-07-31,05,2010-05,2010,2,1,29.6,37.98,28.99,33.69,29.12,1672664800,0.140172278778387,1.1795069588178102
2011-01-31,31,2010-31,2010,8,2,34.14,40.0,31.55,38.87,33.96,1306715400,0.16620879120879128,1.3985962670794052
2011-07-31,05,2011-05,2011,2,1,39.04,44.34,37.19,38.62,33.74,1281051300,-0.0064782096584216076,-0.05451215774889155
2012-01-31,31,2011-31,2011,8,1,38.73,40.25,28.19,38.9,34.56,1712443900,0.02430349733254289,0.2045065149626748
2012-07-31,05,2012-05,2012,2,1,39.25,50.54,38.56,49.14,43.65,1144695900,0.26302083333333326,2.2132400638303724
2013-01-31,31,2012-31,2012,8,1,49.33,54.87,46.53,53.88,48.6,1062505900,0.11340206185567014,0.9542437511094723
2013-07-31,04,2013-04,2013,2,1,54.18,67.89,53.41,64.65,58.31,986778800,0.1997942386831275,1.6812075605265209
2014-01-31,30,2013-30,2013,8,1,65.16,76.84,60.41,72.61,66.3,930199600,0.13702623906705536,1.1530339945157915
2014-07-31,05,2014-05,2014,2,3,72.66,87.63,69.85,85.88,78.42,835195700,0.1828054298642534,1.538251917666721
2015-01-31,30,2014-30,2014,8,1,85.39,96.43,78.54,90.96,84.11,842887600,0.07255802091303232,0.610553608251432
2015-07-31,05,2015-05,2015,2,2,91.3,120.72,90.06,120.0,111.61,779040200,0.32695279990488646,2.7512080566406723
2016-01-31,31,2015-31,2015,8,3,120.88,122.08,90.0,95.82,89.69,1406235200,-0.19639817220679157,-1.6526306972811202
2016-07-31,05,2016-05,2016,2,1,95.08,106.75,86.25,95.95,90.47,967759600,0.008696621696956175,0.07317941820709979
2017-01-31,31,2016-31,2016,8,1,96.15,111.05,90.32,110.65,105.13,1003949800,0.16204266607715256,1.3635395951974945
2017-07-31,05,2017-05,2017,2,1,110.71,116.1,102.72,109.93,105.22,812686600,0.0008560829449253404,0.007203676787341893
2018-01-31,31,2017-31,2017,8,1,109.98,113.19,96.2,108.67,104.86,1063833300,-0.003421402775137805,-0.02879006046961582
2018-07-31,04,2018-04,2018,2,1,108.62,114.68,97.68,113.56,110.45,1054893800,0.05330917413694447,0.44858043552796695
2019-01-31,30,2018-30,2018,8,1,113.68,120.2,100.35,111.52,109.31,955984500,-0.010321412403802577,-0.08685153627530755
2019-07-31,04,2019-04,2019,2,1,111.97,147.15,107.32,143.01,141.05,1417404300,0.2903668465831124,2.4433484219532615
2020-01-31,30,2019-30,2019,8,1,143.34,153.41,127.54,138.31,137.23,1200625600,-0.02708259482453046,-0.22789177244439798
2020-07-31,05,2020-05,2020,2,3,139.79,147.3,79.07,116.94,116.02,2298307500,-0.1545580412446258,-1.3005587608196552
2021-01-31,31,2020-31,2020,8,3,116.17,183.4,115.35,168.17,166.85,1388110100,0.4381141182554731,3.686596634814343
2021-07-31,05,2021-05,2021,2,1,170.84,203.02,167.1,176.02,174.64,1253657700,0.046688642493257326,0.3928706816960519
2022-01-31,31,2021-31,2021,8,2,177.22,187.58,129.26,142.97,141.85,1415399900,-0.1877576729271644,-1.5799235320926783
