Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2017-08-31,32,2017-32,2017,8,9,19.92,19.99,19.61,19.77,17.32,22100,,
2018-02-28,35,2017-35,2017,9,1,19.77,23.5,19.74,22.18,19.58,350400,0.13048498845265577,2.72299368842498
2018-08-31,08,2018-08,2018,3,1,22.0,23.49,20.87,23.31,20.73,1118000,0.058733401430030696,1.2256634520968852
2019-02-28,35,2018-35,2018,9,4,23.19,23.96,20.07,23.55,21.15,5264100,0.02026049204052094,0.4228010639763382
2019-08-31,08,2019-08,2019,3,1,23.67,25.17,22.81,24.08,21.77,5322300,0.029314420803782548,0.6117407356593836
2020-02-29,35,2019-35,2019,9,3,23.97,26.67,22.42,22.88,20.97,3764800,-0.03674781809830041,-0.7668627474444525
2020-08-31,09,2020-09,2020,3,2,23.33,25.46,17.25,25.03,23.23,6064500,0.10777300906056286,2.249034367359121
2021-02-28,35,2020-35,2020,9,1,24.94,28.78,22.98,27.89,26.13,2819800,0.12483857081360306,2.6051628193290255
2021-08-31,09,2021-09,2021,3,1,28.22,31.5,27.63,31.34,29.6,3915600,0.1327975507079986,2.771252821525744
2022-02-28,35,2021-35,2021,9,1,31.34,32.57,29.07,30.41,28.95,4641900,-0.02195945945945954,-0.45825554508922156
2022-08-31,09,2022-09,2022,3,1,30.0,31.7,26.69,27.65,26.57,4901200,-0.0822107081174438,-1.7155938164179798
2023-02-28,35,2022-35,2022,9,1,27.5,30.29,24.82,28.92,28.07,3358500,0.05645464809936018,1.178109852173438
2023-08-31,09,2023-09,2023,3,1,28.82,31.09,27.93,30.44,29.84,5070900,0.06305664410402567,1.3158819719007107
2024-02-29,35,2023-35,2023,9,1,30.56,32.79,28.04,32.6,32.31,3643500,0.08277479892761397,1.7273654058859071
