Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,37.06,38.31,33.01,37.12,20.82,32980392,,
1998-07-31,05,1998-05,1998,2,2,38.61,45.34,37.78,41.47,23.42,175404179,0.12487992315081664,0.9729370441461965
1999-01-31,31,1998-31,1998,8,3,41.65,43.02,31.1,37.18,21.16,210965628,-0.09649871904355256,-0.7518196368261807
1999-07-31,05,1999-05,1999,2,1,36.94,65.42,36.7,61.67,35.33,258840033,0.6696597353497165,5.217305929216667
2000-01-31,31,1999-31,1999,8,2,61.55,64.05,42.54,45.76,26.36,321442417,-0.2538918765921313,-1.9780666556461102
2000-07-31,05,2000-05,2000,2,1,45.76,56.37,30.63,32.41,18.81,499457227,-0.28641881638846745,-2.2314834088126627
2001-01-31,31,2000-31,2000,8,1,32.41,53.09,31.58,45.05,26.38,729320672,0.4024455077086657,3.13544509654372
2001-07-31,04,2001-04,2001,2,1,45.43,51.39,31.46,35.15,20.77,1006807414,-0.21266110689916606,-1.6568385336164415
2002-01-31,30,2001-30,2001,8,1,35.42,37.26,21.12,32.04,19.15,512031682,-0.07799711121810304,-0.6076739713303313
2002-07-31,04,2002-04,2002,2,1,32.75,39.04,26.27,30.85,18.63,451170287,-0.027154046997388992,-0.21155665022583564
2003-01-31,30,2002-30,2002,8,1,30.85,32.29,17.89,23.3,14.27,570638655,-0.23403113258185715,-1.8233319866588156
2003-07-31,05,2003-05,2003,2,3,23.34,27.85,19.26,26.96,16.77,494719715,0.17519271198318154,1.3649230000487707
2004-01-31,30,2003-30,2003,8,1,26.81,35.89,24.73,34.44,21.7,490786405,0.2939773404889683,2.290371722569613
2004-07-31,05,2004-05,2004,2,2,34.28,36.67,29.77,35.86,22.84,399364140,0.052534562211981495,0.40929574894365633
2005-01-31,31,2004-31,2004,8,2,35.18,35.88,30.36,34.3,22.09,471623316,-0.03283712784588444,-0.2558334222070399
2005-07-31,05,2005-05,2005,2,1,34.4,37.66,32.89,37.45,24.38,501402015,0.1036668175645088,0.8076661525123353
2006-01-31,31,2005-31,2005,8,1,37.45,37.54,31.16,36.63,24.11,495793907,-0.011074651353568443,-0.0862823925658389
2006-07-31,05,2006-05,2006,2,1,36.73,42.41,33.87,36.9,24.55,493508749,0.018249688925757068,0.14218297026472462
2007-01-31,31,2006-31,2006,8,1,36.95,43.85,35.04,43.56,29.31,462878857,0.19389002036659875,1.510593364772509
2007-07-31,04,2007-04,2007,2,1,43.65,59.01,42.48,54.83,37.24,700829828,0.27055612418969655,2.107897483463924
2008-01-31,30,2007-30,2007,8,1,54.28,59.39,49.62,56.32,38.6,634583115,0.036519871106337254,0.2845256030778355
2008-07-31,04,2008-04,2008,2,1,56.27,60.05,44.49,48.47,33.53,704271308,-0.1313471502590674,-1.0233230843339742
2009-01-31,30,2008-30,2008,8,1,48.75,49.88,22.16,31.28,21.99,915853801,-0.34416940053683276,-2.6814170828682533
2009-07-31,05,2009-05,2009,2,2,30.81,34.95,21.98,33.08,23.7,909588336,0.07776261937244211,0.6058470499370645
2010-01-31,31,2009-31,2009,8,3,33.38,41.2,32.89,36.84,26.83,723090870,0.13206751054852317,1.0289353972907733
2010-07-31,05,2010-05,2010,2,1,37.11,46.36,34.97,40.86,30.2,757036475,0.12560566530003725,0.9785912870673926
2011-01-31,31,2010-31,2010,8,2,41.62,54.33,36.3,53.4,40.0,611619826,0.32450331125827825,2.528198965096959
2011-07-31,05,2011-05,2011,2,1,53.69,59.38,49.57,50.62,38.36,540179528,-0.041000000000000036,-0.31943019985541393
2012-01-31,31,2011-31,2011,8,1,51.49,56.16,39.3,55.33,42.52,733570858,0.10844629822732021,0.8449029930812851
2012-07-31,05,2012-05,2012,2,1,55.91,59.11,49.78,55.34,43.07,497055013,0.01293508936970822,0.1007770288417935
2013-01-31,31,2012-31,2012,8,1,55.68,66.02,54.06,65.06,51.32,431786828,0.19154864174599484,1.492351729633077
2013-07-31,04,2013-04,2013,2,1,65.75,80.89,65.2,79.11,63.09,441719281,0.22934528448947789,1.7868246356187956
2014-01-31,30,2013-30,2013,8,1,79.89,87.85,75.2,86.98,70.07,333008019,0.11063559993659844,0.8619597999724691
2014-07-31,05,2014-05,2014,2,3,86.98,93.52,84.15,87.55,71.22,376000903,0.016412159269302284,0.12786681257200264
2015-01-31,30,2014-30,2014,8,1,87.47,99.07,79.02,93.2,76.59,379809492,0.07540016849199671,0.5874412412324481
2015-07-31,05,2015-05,2015,2,2,93.97,102.11,92.42,100.15,83.11,354148097,0.08512860686773727,0.6632353147603477
2016-01-31,31,2015-31,2015,8,3,100.12,102.4,82.94,98.39,82.52,462686912,-0.00709902538803997,-0.05530836825561618
2016-07-31,05,2016-05,2016,2,1,97.43,114.42,94.78,110.91,94.04,436828841,0.13960252060106648,1.0876405135589797
2017-01-31,31,2016-31,2016,8,1,110.54,114.28,100.88,113.4,97.22,440846578,0.03381539770310504,0.26345510357300345
2017-07-31,05,2017-05,2017,2,1,113.78,132.94,112.26,130.46,113.02,352961388,0.16251800041143794,1.2661745695494588
2018-01-31,31,2017-31,2017,8,1,130.68,158.27,128.91,153.04,133.9,367880176,0.18474606264378002,1.4393529686049613
2018-07-31,04,2018-04,2018,2,1,152.39,154.13,133.71,153.02,135.22,377688312,0.009858103061986423,0.07680428856794118
2019-01-31,30,2018-30,2018,8,1,153.28,162.52,123.48,143.63,128.25,391550152,-0.05154562934477147,-0.4015909922749616
2019-07-31,04,2019-04,2019,2,1,148.7,178.47,144.34,172.46,155.57,335613200,0.21302144249512667,1.6596459012123614
2020-01-31,30,2019-30,2019,8,1,171.89,184.06,154.91,173.22,157.82,336790100,0.014462942726746864,0.11268050452932078
2020-07-31,05,2020-05,2020,2,3,174.46,182.21,101.08,149.37,137.84,499101300,-0.12659992396400954,-0.9863375369147254
2021-01-31,31,2020-31,2020,8,3,150.13,216.7,146.21,195.37,182.16,384022500,0.3215322112594312,2.5050511829891025
2021-07-31,05,2021-05,2021,2,1,197.55,234.25,195.28,233.79,219.87,364979500,0.20701581027667992,1.612856137802689
2022-01-31,31,2021-31,2021,8,2,235.14,236.86,196.05,204.48,193.91,328604000,-0.11806976849956796,-0.9198792621634004
2022-07-31,05,2022-05,2022,2,1,203.93,207.84,167.35,192.46,184.46,412401300,-0.04873394873910575,-0.37968524354819594
2023-01-31,31,2022-31,2022,8,1,191.41,220.96,166.63,208.48,201.79,367054200,0.09394990783909773,0.7319618984741629
2023-07-31,05,2023-05,2023,2,1,207.41,210.87,184.23,194.13,189.89,347077200,-0.05897219882055604,-0.45945125012593674
2024-01-31,31,2023-31,2023,8,1,193.35,210.17,174.88,209.71,207.47,290046900,0.09257991468745064,0.7212883085660855
