Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,17.67,20.72,17.62,20.25,11.54,1358238800,,
1998-07-31,05,1998-05,1998,2,2,20.62,23.91,16.41,21.11,12.04,8694317200,0.0433275563258233,0.2461948244660127
1999-01-31,31,1998-31,1998,8,3,20.91,35.92,17.44,35.23,20.11,8708521600,0.6702657807308972,3.808568500648821
1999-07-31,05,1999-05,1999,2,1,35.17,35.88,25.06,34.5,19.71,6957060200,-0.019890601690701115,-0.11302191046594838
2000-01-31,31,1999-31,1999,8,2,34.94,53.31,32.5,49.47,28.28,6455675600,0.43480466768137993,2.470636885953809
2000-07-31,05,2000-05,2000,2,1,49.19,73.75,48.31,66.75,38.18,6132955500,0.35007072135785,1.9891636432775128
2001-01-31,31,2000-31,2000,8,1,67.06,75.83,29.81,37.0,21.18,6909913200,-0.4452592980618125,-2.5300419415265734
2001-07-31,04,2001-04,2001,2,1,37.06,38.23,22.25,29.81,17.08,6504047500,-0.19357884796978286,-1.0999491902535323
2002-01-31,30,2001-30,2001,8,1,30.62,36.78,18.96,35.04,20.11,6325912400,0.17740046838407508,1.0080207811760522
2002-07-31,04,2002-04,2002,2,1,34.82,35.07,16.26,18.79,10.8,6677999500,-0.4629537543510691,-2.6305849660949523
2003-01-31,30,2002-30,2002,8,1,18.72,22.09,12.95,15.66,9.02,8039772100,-0.16481481481481486,-0.9365068756150468
2003-07-31,05,2003-05,2003,2,3,15.65,25.5,14.88,24.89,14.37,7561287700,0.5931263858093125,3.37024883984637
2004-01-31,30,2003-30,2003,8,1,24.78,34.6,23.33,30.52,17.64,6647711800,0.2275574112734866,1.2930213858155257
2004-07-31,05,2004-05,2004,2,2,30.9,31.43,22.46,24.38,14.13,8080722600,-0.19897959183673464,-1.130637170399729
2005-01-31,31,2004-31,2004,8,2,24.04,24.99,19.64,22.45,13.06,8861750300,-0.07572540693559804,-0.430285131428369
2005-07-31,05,2005-05,2005,2,1,22.49,28.84,21.94,27.14,15.9,7679351500,0.21745788667687593,1.2356341039998926
2006-01-31,31,2005-31,2005,8,1,27.24,27.66,21.1,21.26,12.53,7333787900,-0.21194968553459126,-1.2043355326438145
2006-07-31,05,2006-05,2006,2,1,21.24,21.68,16.75,18.0,10.71,9580744200,-0.14525139664804454,-0.825344079695891
2007-01-31,31,2006-31,2006,8,1,17.89,22.5,17.22,20.96,12.61,7978704200,0.1774042950513537,1.0080425249751221
2007-07-31,04,2007-04,2007,2,1,20.98,26.52,18.75,23.62,14.36,8148808800,0.13877874702616966,0.7885653418066797
2008-01-31,30,2007-30,2007,8,1,23.56,27.99,18.05,21.1,12.94,9064242600,-0.09888579387186625,-0.561886538935884
2008-07-31,04,2008-04,2008,2,1,21.4,25.29,19.44,22.19,13.78,7758918100,0.06491499227202469,0.36885844674555407
2009-01-31,30,2008-30,2008,8,1,22.42,24.75,12.06,12.9,8.13,9187675300,-0.4100145137880986,-2.3297748548633472
2009-07-31,05,2009-05,2009,2,2,12.82,19.8,12.05,19.25,12.36,8836223100,0.5202952029520294,2.9564092006024136
2010-01-31,31,2009-31,2009,8,3,19.48,21.55,18.31,19.4,12.64,7610151800,0.02265372168284796,0.12872244608650177
2010-07-31,05,2010-05,2010,2,1,19.47,24.37,18.95,20.6,13.63,8769328000,0.07832278481012667,0.4450438910750643
2011-01-31,31,2010-31,2010,8,2,20.9,22.07,17.6,21.46,14.41,7985687100,0.05722670579603806,0.32517224563220337
2011-07-31,05,2011-05,2011,2,1,21.49,23.96,19.36,22.33,15.24,7492444100,0.05759888965995841,0.327287060055567
2012-01-31,31,2011-31,2011,8,1,22.57,27.0,19.16,26.42,18.37,7657342500,0.20538057742782168,1.1670087006138141
2012-07-31,05,2012-05,2012,2,1,26.74,29.27,24.68,25.7,18.15,4687193900,-0.011976047904191711,-0.06805001854701327
2013-01-31,31,2012-31,2012,8,1,25.83,26.9,19.23,21.04,15.14,5986999300,-0.1658402203856748,-0.9423334111026683
2013-07-31,04,2013-04,2013,2,1,21.19,25.98,20.1,23.34,17.14,5337158400,0.13210039630118886,0.7506177739333635
2014-01-31,30,2013-30,2013,8,1,23.41,27.12,21.89,24.54,18.36,4132726900,0.0711785297549592,0.4044489725428349
2014-07-31,05,2014-05,2014,2,3,24.5,34.83,23.5,33.89,25.82,3922454700,0.406318082788671,2.3087710813246023
2015-01-31,30,2014-30,2014,8,1,33.75,37.9,29.65,33.04,25.51,3898689100,-0.012006196746707887,-0.06822132959292838
