Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,32.53,34.72,31.69,33.47,17.36,102829400,,
1998-07-31,05,1998-05,1998,2,2,34.25,39.69,33.53,38.62,20.17,540762600,0.16186635944700467,2.6466742684709157
1999-01-31,31,1998-31,1998,8,3,38.59,44.88,34.06,42.56,22.36,654327600,0.10857709469509169,1.7753423481975203
1999-07-31,05,1999-05,1999,2,1,42.44,51.5,40.81,45.53,24.06,554978400,0.07602862254025045,1.2431427977500753
2000-01-31,31,1999-31,1999,8,2,45.97,53.44,40.25,43.03,22.87,720106000,-0.049459684123025704,-0.8087145083285185
2000-07-31,05,2000-05,2000,2,1,42.72,50.99,33.06,46.53,24.91,1041256400,0.08919982509838209,1.4585049212606032
2001-01-31,31,2000-31,2000,8,1,46.25,52.97,44.59,46.56,25.1,785677200,0.007627458851866775,0.12471645835505367
2001-07-31,04,2001-04,2001,2,1,46.56,54.98,40.25,54.1,29.36,1158276900,0.1697211155378484,2.77510726036481
2002-01-31,30,2001-30,2001,8,1,54.1,60.97,50.2,57.51,31.41,967158000,0.06982288828337868,1.1416729356320705
2002-07-31,04,2002-04,2002,2,1,57.26,65.89,41.4,52.6,28.92,1138214300,-0.0792741165234001,-1.296209818241703
2003-01-31,30,2002-30,2002,8,1,53.0,61.3,49.75,53.61,29.68,964534900,0.026279391424619547,0.4296939111513629
2003-07-31,05,2003-05,2003,2,3,53.5,59.08,49.1,51.79,28.92,1018110300,-0.025606469002695365,-0.4186909673348192
2004-01-31,30,2003-30,2003,8,1,50.95,54.04,48.05,53.42,30.11,1075857800,0.041147994467496396,0.6728102029870024
2004-07-31,05,2004-05,2004,2,2,53.41,58.14,49.25,55.27,31.45,874683800,0.04450348721355035,0.7276758115011017
2005-01-31,31,2004-31,2004,8,2,55.0,64.98,54.37,64.7,37.18,791511600,0.1821939586645469,2.9790505199209454
2005-07-31,05,2005-05,2005,2,1,64.61,69.99,62.67,63.96,37.1,862465500,-0.002151694459386677,-0.03518232187791098
2006-01-31,31,2005-31,2005,8,1,64.25,65.35,57.45,57.54,33.72,1153367400,-0.09110512129380055,-1.4896583890438864
2006-07-31,05,2006-05,2006,2,1,57.67,63.0,56.7,62.55,37.09,1066646400,0.09994068801897993,1.6341286000178121
2007-01-31,31,2006-31,2006,8,1,62.38,69.41,62.29,66.8,40.07,997709800,0.0803451064977081,1.3137215582751183
2007-07-31,04,2007-04,2007,2,1,66.8,67.15,59.72,60.5,36.74,1590093300,-0.08310456700773639,-1.3588414531791897
2008-01-31,30,2007-30,2007,8,1,60.51,68.85,60.31,63.14,38.84,1606542300,0.05715841045182368,0.9345962600652054
2008-07-31,04,2008-04,2008,2,1,63.35,69.25,61.17,68.47,42.7,1472371100,0.09938208032955709,1.6249948145739659
2009-01-31,30,2008-30,2008,8,1,68.5,72.76,52.06,57.69,36.51,2272233200,-0.1449648711943795,-2.3703183029082746
2009-07-31,05,2009-05,2009,2,2,57.25,62.47,46.25,60.89,39.2,1867420100,0.07367844426184611,1.2047150701047364
2010-01-31,31,2009-31,2009,8,3,61.16,65.95,58.78,62.86,41.12,1380456400,0.048979591836734615,0.8008645269923161
2010-07-31,05,2010-05,2010,2,1,63.26,66.2,56.86,58.09,38.64,1724976900,-0.060311284046692504,-0.986148846061388
2011-01-31,31,2010-31,2010,8,2,58.5,64.92,56.99,59.77,40.48,1348144800,0.04761904761904745,0.7786182901314169
2011-07-31,05,2011-05,2011,2,1,59.7,68.05,57.5,64.79,44.66,1430563800,0.1032608695652173,1.688416835665414
2012-01-31,31,2011-31,2011,8,1,65.28,66.32,59.08,65.91,46.26,1667277100,0.035826242722794444,0.585794324863764
