Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,33.34,33.5,31.12,32.38,16.03,124724400,,
1998-07-31,05,1998-05,1998,2,2,32.62,44.47,32.62,40.25,20.01,722356800,0.24828446662507808,3.2588376095519935
1999-01-31,31,1998-31,1998,8,3,40.25,41.81,26.81,32.66,16.31,1091479800,-0.18490754622688665,-2.426988986161923
1999-07-31,05,1999-05,1999,2,1,32.66,35.44,28.81,30.28,15.2,995019000,-0.06805640711220107,-0.8932688463476399
2000-01-31,31,1999-31,1999,8,2,30.28,34.5,23.66,28.72,14.49,1197426000,-0.046710526315789425,-0.613095220933517
2000-07-31,05,2000-05,2000,2,1,28.72,31.5,21.44,30.66,15.57,1342415000,0.07453416149068315,0.9782920855417155
2001-01-31,31,2000-31,2000,8,1,30.66,32.0,24.59,29.0,14.82,1104791400,-0.048169556840077066,-0.632245607627715
2001-07-31,04,2001-04,2001,2,1,28.75,30.5,21.18,22.3,11.48,1126263600,-0.22537112010796223,-2.9580903400764886
2002-01-31,30,2001-30,2001,8,1,22.35,25.35,21.75,21.88,11.43,1220446400,-0.004355400696864131,-0.05716645825065952
2002-07-31,04,2002-04,2002,2,1,21.88,28.95,21.8,24.97,13.15,1322976400,0.15048118985126857,1.9751286404798203
2003-01-31,30,2002-30,2002,8,1,24.92,26.7,19.58,20.23,10.74,1393519800,-0.18326996197718637,-2.4054950070408214
2003-07-31,05,2003-05,2003,2,3,20.27,24.17,18.5,22.49,12.07,1437912400,0.12383612662942278,1.625401026358224
2004-01-31,30,2003-30,2003,8,1,22.25,25.5,21.26,24.62,13.34,1143331200,0.10521955260977633,1.3810506954619914
2004-07-31,05,2004-05,2004,2,2,24.5,26.75,21.4,21.93,12.0,1361066600,-0.1004497751124438,-1.318445368158233
2005-01-31,31,2004-31,2004,8,2,21.9,22.94,19.15,20.75,11.49,1758670600,-0.04249999999999998,-0.5578302996099328
2005-07-31,05,2005-05,2005,2,1,20.75,22.63,20.37,21.88,12.28,1454333800,0.06875543951261953,0.9024439393679337
2006-01-31,31,2005-31,2005,8,1,22.0,22.38,19.68,20.69,11.76,1580677000,-0.04234527687296419,-0.5557994937673219
2006-07-31,05,2006-05,2006,2,1,20.59,22.4,20.26,22.25,12.83,1671836800,0.09098639455782309,1.1942345349792478
2007-01-31,31,2006-31,2006,8,1,22.25,24.67,21.74,23.94,14.0,1658162600,0.09119251753702251,1.196939985408502
2007-07-31,04,2007-04,2007,2,1,24.0,27.25,22.78,26.06,15.44,2480114600,0.10285714285714276,1.3500430780475678
2008-01-31,30,2007-30,2007,8,1,26.18,32.79,26.09,29.5,17.69,2410196400,0.14572538860103634,1.9127067572727063
2008-07-31,04,2008-04,2008,2,1,29.65,30.95,24.72,25.75,15.64,2778186600,-0.11588468061051449,-1.5210349671803458
2009-01-31,30,2008-30,2008,8,1,25.97,27.92,20.15,21.36,13.18,3523988200,-0.15728900255754485,-2.064484033459359
2009-07-31,05,2009-05,2009,2,2,21.1,25.51,18.72,24.92,15.67,3061222200,0.18892261001517463,2.4796883799495384
2010-01-31,31,2009-31,2009,8,3,25.01,29.73,23.71,27.12,17.32,2489621400,0.1052967453733249,1.3820638828130036
2010-07-31,05,2010-05,2010,2,1,27.25,27.96,24.74,27.56,17.89,2824539600,0.03290993071593529,0.43195662379793687
2011-01-31,31,2010-31,2010,8,2,27.91,32.94,27.46,31.42,20.7,2340039000,0.15707098937954167,2.0616225191910194
2011-07-31,05,2011-05,2011,2,1,31.44,34.91,30.65,34.01,22.72,2003294000,0.09758454106280201,1.2808379712555449
2012-01-31,31,2011-31,2011,8,1,34.25,35.88,31.67,33.76,22.88,2519993200,0.007042253521126751,0.09243252686162921
2012-07-31,05,2012-05,2012,2,1,33.94,40.67,33.71,40.4,27.77,1894269800,0.21372377622377625,2.805214073521774
