Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,39.66,41.41,38.66,39.19,20.06,83502400,,
1998-07-31,05,1998-05,1998,2,2,39.59,47.0,39.34,39.69,20.44,507348000,0.018943170488534555,0.2450025779096997
1999-01-31,31,1998-31,1998,8,3,39.53,47.41,32.56,45.44,23.57,684949200,0.15313111545988245,1.9805300315787546
1999-07-31,05,1999-05,1999,2,1,45.06,51.91,42.03,45.28,23.64,622255800,0.002969876962240159,0.038411073387312165
2000-01-31,31,1999-31,1999,8,2,44.91,59.19,44.91,50.53,26.54,633741400,0.12267343485617599,1.5866038791654147
2000-07-31,05,2000-05,2000,2,1,50.34,50.44,26.38,28.5,15.13,1503332600,-0.4299171062547098,-5.560357458833734
2001-01-31,31,2000-31,2000,8,1,28.0,39.66,27.69,35.92,19.25,942308000,0.2723066754791803,3.5218939466758887
2001-07-31,04,2001-04,2001,2,1,36.0,38.58,27.98,35.51,19.25,832823200,0.0,0.0
2002-01-31,30,2001-30,2001,8,1,35.51,41.06,33.5,40.84,22.37,815301000,0.16207792207792204,2.0962440661858954
2002-07-31,04,2002-04,2002,2,1,40.84,47.38,37.04,44.49,24.79,968072400,0.10818059901653987,1.3991599587254828
2003-01-31,30,2002-30,2002,8,1,44.37,46.75,41.0,42.78,24.06,1035501800,-0.029447357805566732,-0.3808590847746361
2003-07-31,05,2003-05,2003,2,3,42.78,46.26,39.78,43.94,24.95,876681200,0.03699085619285114,0.47842335219549686
2004-01-31,30,2003-30,2003,8,1,44.0,50.71,43.26,50.54,28.97,782522800,0.16112224448897794,2.083883755482703
2004-07-31,05,2004-05,2004,2,2,50.4,56.34,50.4,52.15,30.17,779343600,0.0414221608560581,0.5357358842579671
2005-01-31,31,2004-31,2004,8,2,52.76,57.4,50.53,53.23,31.08,731156900,0.030162412993039345,0.3901072918994428
2005-07-31,05,2005-05,2005,2,1,53.45,56.79,51.16,55.63,32.82,912843900,0.055984555984555984,0.7240794537349498
2006-01-31,31,2005-31,2005,8,1,55.8,59.8,53.05,59.23,35.29,1110825000,0.0752589884216941,0.9733664269849324
2006-07-31,05,2006-05,2006,2,1,59.1,62.5,52.75,56.2,33.86,1168767900,-0.040521394162652324,-0.5240857667597805
2007-01-31,31,2006-31,2006,8,1,56.0,66.3,55.7,64.87,39.47,927501100,0.1656822209096278,2.1428604710722534
2007-07-31,04,2007-04,2007,2,1,64.9,65.64,60.42,61.86,38.05,1369026200,-0.03597669115784141,-0.46530659076669306
2008-01-31,30,2007-30,2007,8,1,61.52,75.18,61.5,65.42,40.65,1502234600,0.06833114323258882,0.8837647453806082
2008-07-31,04,2008-04,2008,2,1,66.15,71.2,60.05,65.48,41.17,1639483700,0.012792127921279262,0.1654477174008965
2009-01-31,30,2008-30,2008,8,1,65.73,73.57,53.77,54.5,34.73,2526366600,-0.15642458100558665,-2.023126256399868
2009-07-31,05,2009-05,2009,2,2,54.0,57.0,43.93,55.51,35.97,1781549400,0.03570400230348403,0.4617797538876585
2010-01-31,31,2009-31,2009,8,3,55.96,63.48,51.14,61.55,40.47,1506922400,0.12510425354462051,1.6180430115672715
2010-07-31,05,2010-05,2010,2,1,61.85,64.58,39.37,61.16,40.84,1618078200,0.009142574746725973,0.11824601288552655
2011-01-31,31,2010-31,2010,8,2,61.95,66.95,59.17,63.13,42.8,1377468800,0.04799216454456401,0.6207094023675382
2011-07-31,05,2011-05,2011,2,1,63.43,67.72,59.7,61.49,42.37,1265218700,-0.01004672897196257,-0.12993994322020785
2012-01-31,31,2011-31,2011,8,1,62.16,67.0,57.56,63.04,44.15,1431166200,0.04201085673825822,0.5433498160879716
2012-07-31,05,2012-05,2012,2,1,63.42,67.95,59.07,64.54,45.97,1482217600,0.04122310305775767,0.5331613588496597
2013-01-31,31,2012-31,2012,8,1,64.87,75.48,63.24,75.16,54.42,1163591500,0.1838155318686101,2.3773886844818217
2013-07-31,04,2013-04,2013,2,1,75.3,82.54,74.95,80.3,59.0,1161938000,0.08416023520764426,1.0884912109004958
2014-01-31,30,2013-30,2013,8,1,81.62,85.82,73.61,76.62,57.17,1019614500,-0.031016949152542383,-0.4011594841458262
2014-07-31,05,2014-05,2014,2,3,76.69,82.98,75.4,77.32,58.62,1012888600,0.025362952597516086,0.32803319663696223
2015-01-31,30,2014-30,2014,8,1,79.25,93.89,78.66,84.29,64.85,977703700,0.10627772091436372,1.3745489760621925
2015-07-31,05,2015-05,2015,2,2,84.58,86.78,76.66,76.7,59.97,1028727400,-0.07525057825751724,-0.9732576536460016
2016-01-31,31,2015-31,2015,8,3,76.51,82.0,65.02,81.69,65.01,1254698000,0.08404202101050529,1.0869622808271429
2016-07-31,05,2016-05,2016,2,1,81.21,86.89,79.1,85.59,69.21,1012620300,0.06460544531610513,0.8355782184946372
2017-01-31,31,2016-31,2016,8,1,85.44,90.33,81.18,87.6,71.95,1978686400,0.039589654674180075,0.512035060846843
