Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,11.53,13.04,10.54,12.78,7.41,118794274,,
1998-07-31,05,1998-05,1998,2,2,13.02,15.75,13.02,15.08,8.81,516967168,0.18893387314439947,1.851737698383181
1999-01-31,31,1998-31,1998,8,3,15.08,18.87,10.23,18.79,11.05,683526148,0.2542565266742338,2.491963921910442
1999-07-31,05,1999-05,1999,2,1,18.86,23.9,18.49,20.98,12.41,723161845,0.12307692307692308,1.2062748435181865
2000-01-31,31,1999-31,1999,8,2,20.61,22.03,16.21,16.66,9.91,627476713,-0.20145044319097505,-1.9744123899245094
2000-07-31,05,2000-05,2000,2,1,16.83,21.06,14.63,18.37,11.01,694076154,0.11099899091826426,1.0878992345049223
2001-01-31,31,2000-31,2000,8,1,18.6,25.09,17.88,23.59,14.23,837724928,0.2924613987284288,2.8664092273882438
2001-07-31,04,2001-04,2001,2,1,23.59,27.53,20.42,23.1,14.01,886917507,-0.015460295151089265,-0.1515260915522671
2002-01-31,30,2001-30,2001,8,1,23.29,23.47,12.62,21.63,13.21,1134513264,-0.05710206995003564,-0.5596564227600431
2002-07-31,04,2002-04,2002,2,1,21.71,24.47,18.44,21.87,13.45,1052655297,0.018168054504163367,0.17806479522032131
2003-01-31,30,2002-30,2002,8,1,21.79,21.8,15.37,20.01,12.41,1081211218,-0.07732342007434934,-0.7578455336601234
2003-07-31,05,2003-05,2003,2,3,20.15,24.26,16.84,23.67,14.8,1036471975,0.19258662369057222,1.887538244767832
2004-01-31,30,2003-30,2003,8,1,23.67,30.7,22.73,30.06,18.93,768119103,0.27905405405405403,2.7350040687707526
2004-07-31,05,2004-05,2004,2,2,30.08,30.79,25.38,29.42,18.68,949664263,-0.013206550449022747,-0.12943717780751834
2005-01-31,31,2004-31,2004,8,2,29.34,33.44,27.84,31.68,20.26,774953391,0.08458244111349056,0.8289910762133166
2005-07-31,05,2005-05,2005,2,1,31.59,34.02,30.48,31.91,20.58,793426155,0.01579466929911133,0.15480328692730705
2006-01-31,31,2005-31,2005,8,1,31.47,37.34,30.96,36.73,23.89,711651135,0.1608357628765793,1.5763485944055997
2006-07-31,05,2006-05,2006,2,1,36.58,41.78,35.37,39.14,25.66,746968090,0.07408957722896603,0.7261506945728715
2007-01-31,31,2006-31,2006,8,1,39.14,42.95,37.44,42.81,28.3,731995261,0.10288386593920507,1.0083630317016803
2007-07-31,04,2007-04,2007,2,1,42.83,48.97,39.93,45.92,30.6,898349101,0.08127208480565384,0.7965463299733619
2008-01-31,30,2007-30,2007,8,1,45.97,51.92,41.03,46.11,30.99,1009681120,0.012745098039215641,0.12491449053589018
2008-07-31,04,2008-04,2008,2,1,46.26,47.74,37.05,40.26,27.3,1163301505,-0.11907066795740551,-1.1670096047831426
2009-01-31,30,2008-30,2008,8,1,40.32,42.76,26.28,30.2,20.73,1569423527,-0.2406593406593407,-2.3586981315221682
2009-07-31,05,2009-05,2009,2,2,29.74,35.87,23.54,34.28,23.9,1372519409,0.15291847563917016,1.4987513959655216
2010-01-31,31,2009-31,2009,8,3,34.06,45.9,33.78,42.47,29.97,949901186,0.25397489539748963,2.4892036585256307
2010-07-31,05,2010-05,2010,2,1,42.64,48.51,39.57,44.75,31.97,1075003796,0.06673340006673345,0.6540529264988503
