Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,6.22,6.41,5.82,6.41,5.12,155367200,,
1998-07-31,05,1998-05,1998,2,2,6.61,9.24,6.41,7.06,5.65,1065822400,0.103515625,0.8559310455345384
1999-01-31,31,1998-31,1998,8,3,7.06,7.2,3.7,5.59,4.48,1690179200,-0.20707964601769913,-1.7122622591985637
1999-07-31,05,1999-05,1999,2,1,5.59,8.75,5.2,7.62,6.1,1016007200,0.36160714285714257,2.989990929953533
2000-01-31,31,1999-31,1999,8,2,7.62,8.05,4.92,6.62,5.3,1113509600,-0.13114754098360648,-1.0844087728145584
2000-07-31,05,2000-05,2000,2,1,6.69,11.49,5.8,10.23,8.19,1143628000,0.5452830188679245,4.508736381119778
2001-01-31,31,2000-31,2000,8,1,10.16,15.86,10.16,14.1,11.29,1128648000,0.3785103785103785,3.1297573098173546
2001-07-31,04,2001-04,2001,2,1,14.2,17.0,12.64,16.85,13.51,1112242800,0.19663418954827283,1.6258927813833879
2002-01-31,30,2001-30,2001,8,1,16.5,18.7,14.7,18.59,14.89,878674800,0.10214655810510731,0.8446107558801772
2002-07-31,04,2002-04,2002,2,1,18.59,24.47,16.96,21.92,17.57,1145085200,0.17998656816655467,1.4882399780030557
2003-01-31,30,2002-30,2002,8,1,21.84,25.25,18.76,21.98,17.62,1301221600,0.002845759817871496,0.023530497702650463
2003-07-31,05,2003-05,2003,2,3,21.98,28.12,19.6,26.05,20.88,1045178600,0.1850170261066968,1.5298349075049873
2004-01-31,30,2003-30,2003,8,1,26.05,30.5,23.75,30.44,24.41,717676600,0.1690613026819925,1.3979031432600526
2004-07-31,05,2004-05,2004,2,2,30.41,34.25,29.06,31.45,25.23,825836200,0.03359278984022951,0.27776590954621255
2005-01-31,31,2004-31,2004,8,2,31.06,44.97,30.35,44.45,35.66,808686400,0.41339674990091146,3.4182193496225057
2005-07-31,05,2005-05,2005,2,1,44.47,54.5,43.33,52.3,41.97,765886400,0.17694896242288283,1.4631231798375348
2006-01-31,31,2005-31,2005,8,1,52.34,64.61,50.09,59.42,47.68,711615400,0.13604955920895878,1.1249416835210835
2006-07-31,05,2006-05,2006,2,1,59.3,59.89,41.44,47.83,38.4,1206678300,-0.19463087248322153,-1.6093281200578482
2007-01-31,31,2006-31,2006,8,1,47.5,56.29,45.12,52.26,41.96,840151100,0.09270833333333339,0.7665696910950838
2007-07-31,04,2007-04,2007,2,1,52.27,57.1,48.13,48.43,38.91,990185200,-0.07268827454718785,-0.6010314948228933
2008-01-31,30,2007-30,2007,8,1,48.24,59.46,45.82,50.84,40.84,1047412500,0.04960164482138296,0.4101369982763388
2008-07-31,04,2008-04,2008,2,1,50.85,51.03,21.2,28.08,22.58,1601398700,-0.44711067580803143,-3.696986886897726
2009-01-31,30,2008-30,2008,8,1,27.99,33.49,14.51,28.33,22.78,1259719100,0.008857395925597977,0.07323841357582912
2009-07-31,05,2009-05,2009,2,2,28.0,30.25,16.18,28.06,22.6,1640308100,-0.007901668129938533,-0.06533586657980599
