Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,6.57,6.99,6.26,6.64,4.26,339529800,,
1998-07-31,05,1998-05,1998,2,2,6.82,11.61,6.7,10.52,6.77,2190666600,0.5892018779342723,5.83107775254368
1999-01-31,31,1998-31,1998,8,3,10.45,14.41,8.74,14.33,9.24,2827694400,0.36484490398818337,3.610713207896047
1999-07-31,05,1999-05,1999,2,1,14.29,17.8,13.42,14.08,9.1,2728028100,-0.015151515151515249,-0.14994803347721983
2000-01-31,31,1999-31,1999,8,2,14.1,23.42,12.96,18.25,11.82,2337657600,0.29890109890109895,2.9580957109703667
2000-07-31,05,2000-05,2000,2,1,18.33,21.65,14.48,18.42,11.95,2938608900,0.010998307952622577,0.10884552683879245
2001-01-31,31,2000-31,2000,8,1,18.0,19.58,13.81,18.93,12.32,3329565900,0.030962343096234468,0.306421002302402
2001-07-31,04,2001-04,2001,2,1,18.93,18.93,15.07,18.63,12.16,2637327600,-0.012987012987012991,-0.12852688583761623
2002-01-31,30,2001-30,2001,8,1,18.47,19.99,14.0,19.99,13.08,2874653100,0.07565789473684204,0.7487536671658488
2002-07-31,04,2002-04,2002,2,1,19.9,21.31,14.57,16.39,10.75,3318213300,-0.1781345565749235,-1.7629211458812473
2003-01-31,30,2002-30,2002,8,1,16.33,19.34,15.06,15.93,10.48,3628022700,-0.025116279069767433,-0.2485650192152595
2003-07-31,05,2003-05,2003,2,3,15.92,19.23,15.42,18.64,12.3,3029608500,0.17366412213740468,1.7186791776033914
2004-01-31,30,2003-30,2003,8,1,18.57,20.07,16.83,17.95,11.89,3354074100,-0.033333333333333326,-0.3298856736498815
2004-07-31,05,2004-05,2004,2,2,18.07,20.44,17.17,17.67,11.75,3812598300,-0.011774600504625754,-0.11652816058280106
2005-01-31,31,2004-31,2004,8,2,17.67,19.3,17.03,17.47,11.67,3697718100,-0.006808510638297904,-0.06738090355401868
2005-07-31,05,2005-05,2005,2,1,17.47,17.91,15.4,16.45,11.06,4708902000,-0.05227077977720651,-0.5173014419702513
2006-01-31,31,2005-31,2005,8,1,16.54,16.96,14.1,15.37,10.4,5650294500,-0.05967450271247743,-0.590572905810819
2006-07-31,05,2006-05,2006,2,1,15.35,16.67,14.1,14.83,10.11,4556300100,-0.027884615384615508,-0.27596205391865214
2007-01-31,31,2006-31,2006,8,1,14.78,17.38,14.49,15.9,10.92,5423162400,0.0801186943620178,0.7929002838468963
2007-07-31,04,2007-04,2007,2,1,15.84,17.15,15.02,15.32,10.62,5941990800,-0.027472527472527486,-0.27188379696418824
2008-01-31,30,2007-30,2007,8,1,15.35,17.1,14.03,16.91,11.84,8118173100,0.11487758945386073,1.1368941295278412
2008-07-31,04,2008-04,2008,2,1,16.97,19.98,15.95,19.54,13.8,8213878500,0.16554054054054057,1.6382835819774526
2009-01-31,30,2008-30,2008,8,1,19.58,21.28,15.64,15.71,11.18,9621333300,-0.1898550724637682,-1.8789140542667175
2009-07-31,05,2009-05,2009,2,2,15.52,18.19,15.42,16.63,11.97,8006001300,0.07066189624329167,0.6993104173078892
2010-01-31,31,2009-31,2009,8,3,16.74,18.4,16.24,17.81,12.96,5868676800,0.08270676691729317,0.8185133255974499
2010-07-31,05,2010-05,2010,2,1,17.87,18.76,15.92,17.06,12.56,5703686400,-0.030864197530864224,-0.30544969782396464
