Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,7910.2,8035.54,7443.41,7906.5,7906.5,1324260000,,
1998-07-31,05,1998-05,1998,2,2,7909.99,9367.84,7909.99,8883.29,8883.29,7387800000,0.12354265477771476,2.0042319339835526
1999-01-31,31,1998-31,1998,8,3,8883.29,9647.96,7400.3,9358.83,9358.83,10098170000,0.0535319684486264,0.8684488838837111
1999-07-31,05,1999-05,1999,2,1,9359.6,11252.27,9099.04,10655.15,10655.15,10916560000,0.1385130406258046,2.247096436408098
2000-01-31,31,1999-31,1999,8,2,10654.83,11750.28,9976.02,10940.53,10940.53,16084270000,0.02678329258621437,0.43450523541929603
2000-07-31,05,2000-05,2000,2,1,10937.74,11425.45,9731.81,10521.98,10521.98,23354950000,-0.03825683033637317,-0.6206403868454102
2001-01-31,31,2000-31,2000,8,1,10523.81,11401.19,9654.64,10887.36,10887.36,30224330000,0.03472540339365793,0.5633500634032388
2001-07-31,04,2001-04,2001,2,1,10884.82,11350.05,9106.54,10522.81,10522.81,29530870000,-0.03348378302912747,-0.5432072618020128
2002-01-31,30,2001-30,2001,8,1,10527.38,10609.65,8062.34,9920.0,9920.0,29341480000,-0.05728602911199565,-0.9293509931768437
2002-07-31,04,2002-04,2002,2,1,9923.04,10673.1,7532.66,8736.59,8736.59,32652630000,-0.11929536290322584,-1.9353281369661108
2003-01-31,30,2002-30,2002,8,1,8732.58,9077.01,7197.49,8053.81,8053.81,34136170000,-0.0781517731746596,-1.2678558654572996
2003-07-31,05,2003-05,2003,2,3,8053.74,9361.4,7416.64,9233.8,9233.8,29748720000,0.14651326515028273,2.376884042962671
2004-01-31,30,2003-30,2003,8,1,9232.68,10705.18,8997.11,10488.07,10488.07,25255300000,0.13583465095626934,2.203644932820185
2004-07-31,05,2004-05,2004,2,2,10487.78,10753.63,9852.19,10139.71,10139.71,26014370000,-0.03321488128893124,-0.5388448700776751
2005-01-31,31,2004-31,2004,8,2,10138.45,10868.07,9708.4,10489.94,10489.94,30524100000,0.034540435574587525,0.560349331304619
2005-07-31,05,2005-05,2005,2,1,10489.72,10984.46,10000.46,10640.91,10640.91,31401930000,0.01439188403365499,0.23347947008535955
2006-01-31,31,2005-31,2005,8,1,10641.78,11047.76,10156.46,10864.86,10864.86,33302670000,0.021046132332667167,0.34143131037511243
2006-07-31,05,2006-05,2006,2,1,10862.14,11670.19,10683.32,11185.68,11185.68,37892220000,0.029528222176815833,0.4790362158480268
2007-01-31,31,2006-31,2006,8,1,11184.8,12657.02,11042.64,12621.69,12621.69,29008960000,0.1283793207028987,2.0826971435802335
2007-07-31,04,2007-04,2007,2,1,12617.2,14021.95,11939.61,13211.99,13211.99,30579920000,0.0467686973772925,0.7587283676478912
2008-01-31,30,2007-30,2007,8,1,13211.09,14198.1,11634.82,12650.36,12650.36,33288790000,-0.042509114826759564,-0.6896251790481492
2008-07-31,04,2008-04,2008,2,1,12638.17,13136.69,10827.71,11378.02,11378.02,32392540000,-0.10057737487312612,-1.6316663011625394
2009-01-31,30,2008-30,2008,8,1,11379.89,11867.11,7449.38,8000.86,8000.86,36418850000,-0.2968143842250234,-4.815218423141448
2009-07-31,05,2009-05,2009,2,2,8000.62,9246.43,6469.95,9171.61,9171.61,42652130000,0.14632801973787823,2.373878807468638
2010-01-31,31,2009-31,2009,8,3,9173.65,10729.89,9116.52,10067.33,10067.33,26084130000,0.09766224250704059,1.5843741218710223
2010-07-31,05,2010-05,2010,2,1,10068.99,11258.01,9614.32,10465.94,10465.94,27696430000,0.0395944108318691,0.6423399492206074
2011-01-31,31,2010-31,2010,8,2,10468.82,12020.52,9936.62,11891.93,11891.93,22412520000,0.13625054223509792,2.210391935170047
