Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,13.52,13.67,11.66,12.5,8.92,192241200,,
1998-02-28,05,1998-05,1998,2,2,12.72,14.19,12.72,13.28,9.48,200068000,0.06278026905829592,2.6405755269825866
1998-03-31,09,1998-09,1998,3,2,13.3,15.5,12.97,15.22,10.86,306077200,0.14556962025316444,6.122744971923003
1998-04-30,13,1998-13,1998,4,1,15.22,15.23,13.62,14.91,10.64,224562800,-0.02025782688766109,-0.8520562704141375
1998-05-31,17,1998-17,1998,5,1,14.92,16.78,14.31,15.12,10.8,217497600,0.015037593984962516,0.6324901638207534
1998-06-30,22,1998-22,1998,6,1,15.11,16.81,14.91,16.34,11.67,192438400,0.08055555555555549,3.3882146692453143
1998-07-31,26,1998-26,1998,7,1,16.34,19.84,16.12,18.36,13.11,271494800,0.12339331619537264,5.189996408523981
1998-08-31,31,1998-31,1998,8,3,18.25,18.38,15.0,15.22,10.86,210014000,-0.17162471395881007,-7.218637739258547
1998-09-30,35,1998-35,1998,9,1,15.28,19.94,14.48,18.89,13.48,278817600,0.24125230202578285,10.147215584022941
1998-10-31,39,1998-39,1998,10,1,18.62,20.0,16.53,19.64,14.02,226056800,0.0400593471810089,1.68492001356106
1998-11-30,44,1998-44,1998,11,2,19.66,21.03,18.66,18.81,13.43,215902000,-0.042082738944365206,-1.7700250768549992
1998-12-31,48,1998-48,1998,12,1,18.66,27.25,18.59,26.14,18.66,513389200,0.38942665673864485,16.37951723946667
1999-01-31,01,1999-01,1999,1,4,26.16,32.44,25.69,31.95,22.81,197792000,0.22240085744908877,9.35431259166297
1999-02-28,05,1999-05,1999,2,1,32.47,33.56,28.72,31.22,22.28,171856000,-0.023235423060061322,-0.9772957397572224
1999-03-31,09,1999-09,1999,3,1,31.38,39.84,30.66,37.44,26.72,197686600,0.19928186714542173,8.381914083021282
1999-04-30,13,1999-13,1999,4,1,37.69,40.69,29.94,30.72,21.93,249024800,-0.17926646706586824,-7.540054428616848
1999-05-31,18,1999-18,1999,5,3,31.19,32.88,28.5,31.62,22.57,170957200,0.02918376652986776,1.2274866106799394
1999-06-30,22,1999-22,1999,6,1,31.72,32.25,26.06,30.44,21.73,254290200,-0.037217545414266695,-1.5653921378390343
1999-07-31,26,1999-26,1999,7,1,30.38,39.56,29.5,38.44,27.44,237813400,0.2627703635526921,11.052278074330218
1999-08-31,31,1999-31,1999,8,2,38.31,42.47,37.38,41.59,29.69,202150800,0.08199708454810506,3.4488462376705415
1999-09-30,35,1999-35,1999,9,1,41.56,44.62,38.19,40.75,29.09,171810400,-0.02020882452004047,-0.8499952016317933
1999-10-31,39,1999-39,1999,10,1,40.72,45.03,37.0,39.88,28.46,215454200,-0.021656926778961805,-0.9109032455575877
1999-11-30,44,1999-44,1999,11,1,40.25,50.06,39.22,45.56,32.52,199595800,0.14265635980323266,6.000211501404218
1999-12-31,48,1999-48,1999,12,1,45.0,66.44,42.62,60.06,42.87,165667400,0.3182656826568264,13.386444265182217
2000-01-31,01,2000-01,2000,1,3,70.0,76.5,57.69,63.69,45.46,249637000,0.06041520877070217,2.5410996819609695
2000-02-29,05,2000-05,2000,2,1,64.75,75.0,61.5,68.19,48.67,197030800,0.07061152661680592,2.9699628864935335
2000-03-31,09,2000-09,2000,3,1,67.0,67.88,51.06,61.38,43.81,353739500,-0.09985617423464144,-4.200010192012076
2000-04-30,14,2000-14,2000,4,3,61.0,64.38,50.0,56.0,39.97,215305700,-0.08765122118237856,-3.6866625937746322
2000-05-31,18,2000-18,2000,5,1,57.0,65.19,52.88,63.62,45.42,147977200,0.13635226419814872,5.735057483681138
2000-06-30,22,2000-22,2000,6,1,63.94,70.88,60.0,70.25,50.14,141961800,0.10391897842360187,4.370894157200716
2000-07-31,27,2000-27,2000,7,3,69.69,80.44,64.75,64.94,46.35,161431700,-0.07558835261268448,-3.1792911535413326
2000-08-31,31,2000-31,2000,8,1,65.31,76.62,65.0,75.81,54.12,132864800,0.16763754045307433,7.050934845674215
2000-09-30,35,2000-35,2000,9,1,76.56,76.62,64.12,69.83,49.84,150337500,-0.07908351810790826,-3.3262998970188717
2000-10-31,40,2000-40,2000,10,2,70.31,72.62,51.39,57.94,41.36,203748500,-0.1701444622792938,-7.15637747154488
2000-11-30,44,2000-44,2000,11,1,58.31,69.12,57.69,63.62,45.42,159921500,0.09816247582205029,4.128772227513635
2000-12-31,48,2000-48,2000,12,1,65.19,70.75,58.0,63.94,45.64,140520800,0.00484368119771017,0.20372811749663988
2001-01-31,00,2001-00,2001,1,2,65.88,72.38,54.25,70.31,50.19,249693200,0.09969325153374231,4.193157566127587
2001-02-28,04,2001-04,2001,2,1,69.81,75.06,67.88,72.06,51.44,161677800,0.02490535963339302,1.0475342671368713
