Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,48.94,49.81,42.81,47.62,29.95,98053200,,
1998-02-28,05,1998-05,1998,2,2,48.06,54.75,46.06,54.25,34.22,81377500,0.14257095158597655,5.149533745733566
1998-03-31,09,1998-09,1998,3,2,54.25,54.25,50.19,52.12,32.88,72453700,-0.039158386908240694,-1.4143654971039084
1998-04-30,13,1998-13,1998,4,1,52.12,56.25,48.38,50.06,31.58,85215900,-0.03953771289537722,-1.4280664084723458
1998-05-31,17,1998-17,1998,5,1,51.19,52.38,45.25,47.75,30.21,55203100,-0.043381887270424246,-1.5669145079524929
1998-06-30,22,1998-22,1998,6,1,47.75,47.75,42.12,44.56,28.19,81317800,-0.06686527639854356,-2.4151132709839507
1998-07-31,26,1998-26,1998,7,1,45.25,50.12,37.94,38.81,24.55,129521000,-0.1291238027669387,-4.663834899950259
1998-08-31,31,1998-31,1998,8,3,38.69,39.44,29.0,30.94,19.64,109852900,-0.19999999999999996,-7.223819001626247
1998-09-30,35,1998-35,1998,9,1,32.12,37.75,32.12,34.31,21.79,101415400,0.10947046843177177,3.9539742498717967
1998-10-31,39,1998-39,1998,10,1,34.31,37.88,29.5,37.56,23.85,82968400,0.09453877925653975,3.4146551499197066
1998-11-30,44,1998-44,1998,11,2,37.81,44.0,37.81,40.62,25.88,75328100,0.08511530398322842,3.0742877512161995
1998-12-31,48,1998-48,1998,12,1,40.62,40.69,31.0,32.62,20.78,163870500,-0.1970633693972178,-7.117750561880573
1999-01-31,01,1999-01,1999,1,4,32.81,36.75,32.56,34.69,22.1,89712800,0.06352261790182867,2.2943794711613683
1999-02-28,05,1999-05,1999,2,1,34.69,37.69,33.75,35.62,22.78,65395500,0.03076923076923066,1.1113567694809574
1999-03-31,09,1999-09,1999,3,1,35.5,36.56,33.5,34.0,21.74,76545200,-0.04565408252853387,-1.6489841443571795
1999-04-30,13,1999-13,1999,4,1,34.0,43.0,33.5,40.62,25.98,103151200,0.19503219871205157,7.044386514925322
1999-05-31,18,1999-18,1999,5,3,40.62,45.88,40.0,42.06,26.98,67374400,0.03849114703618173,1.3902653967717973
1999-06-30,22,1999-22,1999,6,1,42.06,44.75,40.81,44.0,28.23,55424500,0.046330615270570696,1.6734198947429193
1999-07-31,26,1999-26,1999,7,1,44.0,48.5,42.25,45.38,29.11,63996400,0.031172511512575163,1.1259229049647672
1999-08-31,31,1999-31,1999,8,2,45.38,47.12,43.62,45.31,29.16,52788200,0.00171762281003085,0.062038981463637635
1999-09-30,35,1999-35,1999,9,1,45.31,45.75,41.06,42.62,27.43,50355600,-0.05932784636488342,-2.1428681194810384
1999-10-31,39,1999-39,1999,10,1,42.69,46.44,39.12,46.06,29.64,68655600,0.08056872037914697,2.91006926605797
1999-11-30,44,1999-44,1999,11,1,44.94,44.94,39.81,40.62,26.22,81440000,-0.11538461538461542,-4.167587885553607
1999-12-31,48,1999-48,1999,12,1,40.62,42.12,37.06,41.44,26.75,82254300,0.02021357742181551,0.7300961233527711
2000-01-31,01,2000-01,2000,1,3,41.44,48.12,39.75,44.5,28.72,88993300,0.07364485981308411,2.659985688449291
2000-02-29,05,2000-05,2000,2,1,44.19,45.19,35.88,36.94,23.92,74708700,-0.16713091922005563,-6.036617550105498
2000-03-31,09,2000-09,2000,3,1,36.62,38.94,32.0,37.81,24.49,103214900,0.02382943143812688,0.8606974981034544
2000-04-30,14,2000-14,2000,4,3,37.75,41.25,34.06,39.69,25.71,78544600,0.049816251531237254,1.799317922005722
2000-05-31,18,2000-18,2000,5,1,39.69,40.19,36.25,39.06,25.39,64366700,-0.012446518864255185,-0.4495569973785308
2000-06-30,22,2000-22,2000,6,1,39.31,42.25,37.69,41.81,27.18,68452600,0.07050019692792442,2.5464033109316646
2000-07-31,27,2000-27,2000,7,3,41.81,50.25,41.44,48.81,31.73,88994200,0.16740250183958794,6.046426868542943
2000-08-31,31,2000-31,2000,8,1,48.81,54.88,45.31,53.64,34.97,99636200,0.10211156634100216,3.6881773660997537
2000-09-30,35,2000-35,2000,9,1,53.75,66.94,53.75,64.5,42.05,117177500,0.20245925078638827,7.312644914428628
