Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,30.5,31.5,28.12,29.94,15.07,115439800,,
1998-02-28,05,1998-05,1998,2,2,30.62,34.47,30.53,34.25,17.24,84141000,0.1439946914399468,4.4849041035364134
1998-03-31,09,1998-09,1998,3,2,34.25,37.56,33.78,36.47,18.46,94336000,0.0707656612529004,2.2040896186437777
1998-04-30,13,1998-13,1998,4,1,36.47,42.5,36.03,38.0,19.24,134567200,0.04225352112676051,1.3160415039974112
1998-05-31,17,1998-17,1998,5,1,38.25,39.47,36.25,37.75,19.11,79622200,-0.006756756756756688,-0.21044807834192653
1998-06-30,22,1998-22,1998,6,1,37.56,39.88,36.88,38.34,19.51,100962400,0.020931449502878285,0.6519375320691942
1998-07-31,26,1998-26,1998,7,1,38.5,44.22,38.5,39.88,20.29,98487600,0.03997949769349041,1.2452140524752524
1998-08-31,31,1998-31,1998,8,3,40.19,40.22,28.5,28.75,14.63,125600200,-0.2789551503203548,-8.688425148618371
1998-09-30,35,1998-35,1998,9,1,29.0,30.5,23.94,26.75,13.7,261433200,-0.06356801093643205,-1.9799093303474429
1998-10-31,39,1998-39,1998,10,1,26.0,29.22,22.0,28.75,14.72,410016800,0.07445255474452561,2.318922766897633
1998-11-30,44,1998-44,1998,11,2,28.72,33.31,27.5,32.59,16.69,189343800,0.13383152173913038,4.168358812593254
1998-12-31,48,1998-48,1998,12,1,32.41,32.91,27.5,30.06,15.5,195069600,-0.07130017974835234,-2.2207379003942775
1999-01-31,01,1999-01,1999,1,4,29.88,35.47,29.75,33.44,17.24,221660600,0.11225806451612885,3.4964251054589277
1999-02-28,05,1999-05,1999,2,1,33.31,33.81,29.78,32.66,16.84,155783200,-0.023201856148491795,-0.7226523339815621
1999-03-31,09,1999-09,1999,3,1,32.66,37.25,32.5,35.31,18.33,182440800,0.08847980997624694,2.7558200852709063
1999-04-30,13,1999-13,1999,4,1,35.25,38.06,34.41,35.78,18.58,150540600,0.013638843426077463,0.42479972169401836
1999-05-31,18,1999-18,1999,5,3,35.59,36.44,30.75,32.34,16.79,147007400,-0.09634015069967705,-3.0006407381239897
1999-06-30,22,1999-22,1999,6,1,32.44,37.44,30.94,36.66,19.17,156008600,0.1417510422870758,4.415022698937524
1999-07-31,26,1999-26,1999,7,1,36.66,38.19,33.19,33.19,17.35,157298800,-0.09494001043296818,-2.95703152750036
1999-08-31,31,1999-31,1999,8,2,33.62,33.78,29.53,30.25,15.82,171248400,-0.08818443804034592,-2.7466203377375438
1999-09-30,35,1999-35,1999,9,1,30.19,31.53,26.62,27.84,14.67,203572000,-0.072692793931732,-2.2641127012513445
1999-10-31,39,1999-39,1999,10,1,27.78,32.84,24.03,32.22,16.97,230882400,0.15678254942058611,4.883198763980399
1999-11-30,44,1999-44,1999,11,1,32.25,33.75,28.16,29.3,15.44,193441200,-0.09015910430170881,-2.808123916307972
