Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2004-06-30,25,2004-25,2004,6,23,3.75,4.42,3.69,4.02,4.01,65642000,,
2004-07-31,26,2004-26,2004,7,1,4.02,4.25,2.76,3.25,3.24,63843600,-0.1920199501246882,-5.94821876081929
2004-08-31,31,2004-31,2004,8,2,3.24,3.32,2.25,3.25,3.24,36370800,0.0,0.0
2004-09-30,35,2004-35,2004,9,1,3.3,4.28,3.24,3.91,3.9,45431600,0.2037037037037035,6.310147415578132
2004-10-31,39,2004-39,2004,10,1,3.91,5.15,3.88,5.08,5.07,34331200,0.30000000000000004,9.293126193851442
2004-11-30,44,2004-44,2004,11,1,5.12,5.68,4.26,4.36,4.35,42506000,-0.1420118343195268,-4.399112991172284
2004-12-31,48,2004-48,2004,12,1,4.37,4.42,3.65,4.24,4.22,108876400,-0.029885057471264354,-0.9257520346365414
2005-01-31,01,2005-01,2005,1,3,4.1,4.55,3.34,3.42,3.42,95512000,-0.18957345971563977,-5.872433613808176
2005-02-28,05,2005-05,2005,2,1,3.38,4.22,3.24,4.01,4.0,74758800,0.16959064327485374,5.253424164165529
2005-03-31,09,2005-09,2005,3,1,4.05,4.25,3.42,3.75,3.74,49673200,-0.06499999999999995,-2.013510675334477
2005-04-30,13,2005-13,2005,4,1,3.64,4.09,3.4,3.61,3.6,58089600,-0.03743315508021394,-1.1595701133147978
2005-05-31,18,2005-18,2005,5,2,3.62,5.08,3.52,5.06,5.05,109337600,0.4027777777777777,12.476882389893134
2005-06-30,22,2005-22,2005,6,1,5.03,5.49,4.81,5.12,5.11,96360800,0.011881188118811892,0.368044601736691
2005-07-31,26,2005-26,2005,7,1,5.11,6.02,4.7,5.89,5.87,101300000,0.1487279843444227,4.6071597568996046
2005-08-31,31,2005-31,2005,8,1,5.89,6.29,4.66,4.83,4.82,142442800,-0.1788756388415672,-5.541046282534928
2005-09-30,35,2005-35,2005,9,1,4.83,5.99,4.79,5.78,5.76,105534000,0.19502074688796678,6.041174704163453
2005-10-31,40,2005-40,2005,10,3,5.97,6.43,5.07,6.25,6.23,107847600,0.08159722222222232,2.527644277262837
2005-11-30,44,2005-44,2005,11,1,6.25,8.02,6.18,7.96,7.94,149352000,0.274478330658106,8.502539214278206
2005-12-31,48,2005-48,2005,12,1,8.0,9.05,7.81,8.01,7.99,136723200,0.006297229219143663,0.19506981935036874
2006-01-31,01,2006-01,2006,1,3,8.02,10.75,7.9,10.26,10.23,144388000,0.28035043804755944,8.684439997591667
2006-02-28,05,2006-05,2006,2,1,10.05,10.22,8.17,8.71,8.69,177689600,-0.15053763440860224,-4.6632174449433785
2006-03-31,09,2006-09,2006,3,1,8.75,9.95,8.75,9.08,9.06,104932400,0.0425776754890681,1.3189323712025507
2006-04-30,14,2006-14,2006,4,3,9.15,9.47,8.1,8.76,8.74,120773200,-0.03532008830022082,-1.094113459173093
2006-05-31,18,2006-18,2006,5,1,8.77,8.88,6.94,7.38,7.36,185092000,-0.1578947368421052,-4.891119049395493
2006-06-30,22,2006-22,2006,6,1,7.26,7.81,6.03,6.66,6.65,186738800,-0.09646739130434778,-2.9882788032765033
2006-07-31,27,2006-27,2006,7,3,6.71,6.75,5.41,6.43,6.41,168764400,-0.03609022556390984,-1.1179700684332579
2006-08-31,31,2006-31,2006,8,1,6.4,8.77,5.93,8.62,8.6,231516000,0.34165366614664583,10.583435446975898
2006-09-30,35,2006-35,2006,9,1,8.68,9.68,8.1,8.97,8.94,129500800,0.03953488372093017,1.2246755449261568
2006-10-31,40,2006-40,2006,10,2,8.97,10.56,8.77,9.76,9.73,158148000,0.0883668903803132,2.737348878874958
2006-11-30,44,2006-44,2006,11,1,9.78,11.15,9.41,9.75,9.72,140870800,-0.0010277492291880241,-0.03183667760825951
2006-12-31,48,2006-48,2006,12,1,9.69,10.22,8.98,9.11,9.09,95196800,-0.06481481481481488,-2.007774177683955
2007-01-31,00,2007-00,2007,1,3,9.14,11.08,8.89,10.96,10.93,129226400,0.2024202420242025,6.270389511069548
2007-02-28,04,2007-04,2007,2,1,11.05,12.61,10.76,10.81,10.78,178776400,-0.013723696248856387,-0.42512013695569345
2007-03-31,08,2007-08,2007,3,1,10.51,11.15,10.19,10.7,10.67,109531200,-0.010204081632652962,-0.31609272768201874
2007-04-30,13,2007-13,2007,4,2,10.75,11.52,10.19,10.5,10.47,129866800,-0.018744142455482615,-0.5806389374477612
2007-05-31,17,2007-17,2007,5,1,10.45,12.49,10.15,11.81,11.78,192641600,0.12511938872970374,3.8758342292089685
2007-06-30,21,2007-21,2007,6,1,11.81,12.06,9.92,10.72,10.68,172384800,-0.09337860780984719,-2.8925972872769052
2007-07-31,26,2007-26,2007,7,2,10.75,11.5,9.65,9.72,9.69,111863600,-0.0926966292134832,-2.8714715767518517
2007-08-31,30,2007-30,2007,8,1,9.72,11.85,9.31,10.11,10.08,192299200,0.04024767801857587,1.246755836120421
2007-09-30,35,2007-35,2007,9,4,10.02,12.94,10.02,12.83,12.79,131692800,0.2688492063492063,8.328165339066599
2007-10-31,39,2007-39,2007,10,1,12.85,14.38,12.5,14.09,14.05,133801600,0.0985144644253324,3.051691166081008
2007-11-30,43,2007-43,2007,11,1,13.76,14.5,11.4,14.18,14.14,167262000,0.006405693950177982,0.19842974079398235
2007-12-31,48,2007-48,2007,12,3,14.2,16.38,13.52,15.67,15.63,111820800,0.1053748231966054,3.264205098736127
2008-01-31,00,2008-00,2008,1,2,15.76,15.89,12.04,12.98,12.94,155022800,-0.17210492642354458,-5.331309332791723
2008-02-29,04,2008-04,2008,2,1,13.12,15.87,11.77,14.93,14.89,171161600,0.1506955177743432,4.668108211749181
2008-03-31,09,2008-09,2008,3,3,15.0,15.48,13.55,14.47,14.43,143108000,-0.03089321692411018,-0.9569818780326098
2008-04-30,13,2008-13,2008,4,1,14.62,17.41,14.62,16.68,16.63,167183200,0.15246015246015232,4.722771454486752
2008-05-31,17,2008-17,2008,5,1,16.82,18.67,15.36,18.08,18.03,196924000,0.08418520745640423,2.607812521826426
2008-06-30,22,2008-22,2008,6,2,18.0,18.8,16.63,17.06,17.01,124182800,-0.056572379367720416,-1.752447535168878
2008-07-31,26,2008-26,2008,7,1,16.84,18.09,15.02,15.95,15.9,135510400,-0.06525573192239864,-2.0214325054233013
2008-08-31,30,2008-30,2008,8,1,16.03,17.93,13.18,14.01,13.96,216141200,-0.12201257861635217,-3.7795943010632684
2008-09-30,35,2008-35,2008,9,2,14.12,15.06,11.02,12.1,12.07,318136800,-0.1353868194842407,-4.193889328170779
2008-10-31,39,2008-39,2008,10,1,11.94,12.12,6.1,7.74,7.72,307168400,-0.3603976801988401,-11.164070406863786
2008-11-30,44,2008-44,2008,11,3,7.41,8.04,5.2,7.16,7.13,232921600,-0.07642487046632118,-2.3674198853075756
2008-12-31,48,2008-48,2008,12,1,6.82,9.11,6.38,8.0,7.98,196979600,0.1192145862552596,3.6929206473930494
2009-01-31,00,2009-00,2009,1,2,8.02,8.81,6.46,6.65,6.63,162853600,-0.16917293233082709,-5.240484695780888
2009-02-28,05,2009-05,2009,2,2,6.62,7.78,6.3,7.0,6.98,303471600,0.052790346907994,1.635291185443945
2009-03-31,09,2009-09,2009,3,2,6.88,9.26,6.76,8.18,8.16,251432400,0.16905444126074487,5.23681418755716
2009-04-30,13,2009-13,2009,4,1,7.82,10.77,7.5,10.7,10.67,174939200,0.3075980392156863,9.528491318042123
2009-05-31,17,2009-17,2009,5,1,10.54,11.37,8.77,9.49,9.46,198562800,-0.11340206185567003,-3.5128655715589616
2009-06-30,22,2009-22,2009,6,1,9.59,10.44,9.1,9.54,9.52,174556800,0.006342494714587588,0.19647201255499408
2009-07-31,26,2009-26,2009,7,1,9.63,11.3,8.82,10.84,10.8,129618800,0.13445378151260523,4.164986529457234
2009-08-31,31,2009-31,2009,8,3,10.99,13.75,10.85,12.97,12.93,208309600,0.1972222222222222,6.109369997809742
2009-09-30,35,2009-35,2009,9,1,12.88,14.77,12.69,14.23,14.19,161830000,0.09744779582366592,3.0186488796733224
2009-10-31,39,2009-39,2009,10,1,14.15,16.25,13.52,14.19,14.15,132651600,-0.0028188865398167673,-0.08732089446888817
2009-11-30,44,2009-44,2009,11,2,14.23,16.93,14.04,15.67,15.63,153653200,0.10459363957597168,3.2400063055123964
2009-12-31,48,2009-48,2009,12,1,15.67,18.74,15.56,18.44,18.39,137897600,0.17658349328214973,5.470042289407118
2010-01-31,01,2010-01,2010,1,4,18.65,18.88,15.8,15.89,15.84,167783200,-0.13866231647634586,-4.29535468448816
2010-02-28,05,2010-05,2010,2,1,16.0,17.5,15.07,16.99,16.94,153820800,0.06944444444444464,2.1511866189470985
2010-03-31,09,2010-09,2010,3,1,16.93,19.5,16.88,18.61,18.56,144646400,0.09563164108618638,2.9623896957967943
2010-04-30,13,2010-13,2010,4,1,18.78,22.38,18.67,21.4,21.34,135281600,0.14978448275862077,4.639887000522093
2010-05-31,18,2010-18,2010,5,3,21.52,22.46,18.48,21.63,21.57,240633600,0.010777881911902654,0.3338673890324673
2010-06-30,22,2010-22,2010,6,1,21.08,24.49,21.08,21.45,21.39,282179200,-0.008344923504867818,-0.25850142402924564
2010-07-31,26,2010-26,2010,7,1,21.42,25.37,20.9,24.74,24.67,163086800,0.15334268349696134,4.750109695470275
2010-08-31,31,2010-31,2010,8,2,25.27,28.54,23.77,27.47,27.39,268615200,0.11025537089582493,3.4153902509493212
2010-09-30,35,2010-35,2010,9,1,27.97,30.94,27.8,27.95,27.87,240966000,0.017524644030668224,0.5428624282644172
2010-10-31,39,2010-39,2010,10,1,28.27,29.25,24.48,29.02,28.93,319368800,0.038033728022963675,1.1781741138000843
2010-11-30,44,2010-44,2010,11,1,29.08,36.61,27.3,34.81,34.71,308407600,0.1997926028344279,6.1889929024612655
2010-12-31,48,2010-48,2010,12,1,35.52,37.81,32.42,33.0,32.91,234303600,-0.0518582541054452,-1.6064176653157227
2011-01-31,01,2011-01,2011,1,3,33.28,36.65,30.51,32.28,32.19,217006400,-0.021877848678213296,-0.6777120287220737
2011-02-28,05,2011-05,2011,2,1,32.51,37.0,32.0,33.07,32.97,216401600,0.024231127679403608,0.7506097578134144
2011-03-31,09,2011-09,2011,3,1,33.17,33.69,29.42,33.4,33.3,295130400,0.010009099181073733,0.31005273925497767
2011-04-30,13,2011-13,2011,4,1,33.74,35.62,32.05,34.65,34.55,184078000,0.037537537537537524,1.162803577809239
