Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,9.44,10.79,8.58,10.51,7.07,1282155600,,
1998-02-28,05,1998-05,1998,2,2,10.82,11.42,10.35,10.98,7.38,1077183600,0.043847241867043696,1.5611289562791077
1998-03-31,09,1998-09,1998,3,2,11.15,11.67,10.0,11.4,7.66,1241974200,0.03794037940379402,1.3508221356106878
1998-04-30,13,1998-13,1998,4,1,11.45,12.46,11.01,12.21,8.21,967026000,0.07180156657963455,2.5564094780137028
1998-05-31,17,1998-17,1998,5,1,12.29,13.58,12.2,12.6,8.47,901249800,0.03166869671132755,1.1275263240863844
1998-06-30,22,1998-22,1998,6,1,12.62,15.71,12.16,15.34,10.32,1233312600,0.21841794569067297,7.776511476426347
1998-07-31,26,1998-26,1998,7,1,15.57,17.42,15.08,15.96,10.73,1270856400,0.039728682170542706,1.414492531122241
1998-08-31,31,1998-31,1998,8,3,16.02,17.54,13.58,13.65,9.18,1876048800,-0.14445479962721353,-5.143141528841257
1998-09-30,35,1998-35,1998,9,1,14.04,17.06,13.65,15.45,10.39,1683170400,0.13180827886710245,4.692877181207722
1998-10-31,39,1998-39,1998,10,1,15.03,15.94,10.28,15.75,10.59,2174566400,0.019249278152069227,0.685347680517451
1998-11-30,44,1998-44,1998,11,2,15.95,20.09,15.61,18.84,12.67,1087001200,0.1964117091595845,6.993005568082527
1998-12-31,48,1998-48,1998,12,1,18.53,24.44,18.47,23.2,15.6,1214291600,0.2312549329123914,8.233557156151806
1999-01-31,01,1999-01,1999,1,4,23.62,28.0,22.47,27.89,18.75,1420421200,0.20192307692307687,7.189231269812652
1999-02-28,05,1999-05,1999,2,1,28.27,29.38,22.91,24.45,16.44,1487170800,-0.12319999999999998,-4.386389638755026
1999-03-31,09,1999-09,1999,3,1,24.44,28.12,23.5,27.39,18.42,1134463200,0.12043795620437958,4.288050350712031
1999-04-30,13,1999-13,1999,4,1,27.62,30.0,24.81,28.52,19.17,1125257600,0.04071661237785018,1.4496666124951842
1999-05-31,18,1999-18,1999,5,3,28.44,30.58,25.94,27.25,18.32,1153496000,-0.044340114762650096,-1.578677110195594
1999-06-30,22,1999-22,1999,6,1,27.27,32.72,26.38,32.22,21.66,1066650600,0.18231441048034935,6.491087996158566
1999-07-31,26,1999-26,1999,7,1,32.53,34.62,30.5,31.06,20.89,728575600,-0.03554939981532779,-1.2656941478402084
1999-08-31,31,1999-31,1999,8,2,30.84,35.16,28.08,33.91,22.8,893489400,0.09143130684538048,3.2553030601007187
1999-09-30,35,1999-35,1999,9,1,34.09,36.78,32.94,34.28,23.05,754829800,0.010964912280701844,0.3903926754701974
1999-10-31,39,1999-39,1999,10,1,33.97,37.25,32.53,37.0,24.88,828612600,0.07939262472885034,2.826680085261325
1999-11-30,44,1999-44,1999,11,1,36.5,47.75,34.94,44.59,29.98,913060600,0.204983922829582,7.29820905203765
1999-12-31,48,1999-48,1999,12,1,45.19,53.59,44.59,53.56,36.01,843159600,0.20113408939292854,7.161140306116632
2000-01-31,01,2000-01,2000,1,3,54.97,57.88,48.62,54.75,36.81,986312600,0.0222160510969176,0.7909761067010683
2000-02-29,05,2000-05,2000,2,1,54.89,69.5,54.78,66.09,44.44,1246002200,0.2072806302635153,7.379980591741032
2000-03-31,09,2000-09,2000,3,1,66.34,82.0,62.16,77.31,51.98,1209113300,0.1696669666966697,6.04079078536742
2000-04-30,14,2000-14,2000,4,3,76.88,77.0,55.06,69.33,46.62,971808800,-0.10311658330126972,-3.671343446237899
2000-05-31,18,2000-18,2000,5,1,69.88,71.88,50.0,56.94,38.28,1306291900,-0.1788931788931788,-6.369279109910624
2000-06-30,22,2000-22,2000,6,1,58.58,69.56,57.88,63.56,42.74,773738600,0.11650992685475448,4.1481975322061775
2000-07-31,27,2000-27,2000,7,3,63.38,69.75,60.88,65.44,44.0,736369500,0.029480580252690736,1.049621037052668
2000-08-31,31,2000-31,2000,8,1,64.75,70.0,58.5,68.62,46.14,943606900,0.04863636363636359,1.7316399474128816
2000-09-30,35,2000-35,2000,9,1,68.88,69.62,54.62,55.25,37.15,1098540700,-0.19484178586909406,-6.937110314388959
2000-10-31,40,2000-40,2000,10,2,57.38,59.44,45.25,53.88,36.22,1359114200,-0.02503364737550473,-0.8912932749039036
2000-11-30,44,2000-44,2000,11,1,52.88,57.62,45.19,47.88,32.19,1156157100,-0.11126449475427946,-3.961440153826984
2000-12-31,48,2000-48,2000,12,1,49.19,55.75,35.16,38.25,25.72,1350238800,-0.20099409754582165,-7.156156062710302
