Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,47.92,48.12,42.19,42.7,18.4,30756292,,
1998-02-28,05,1998-05,1998,2,2,43.14,45.19,41.3,43.41,18.71,27159505,0.016847826086956674,0.5491765445750157
1998-03-31,09,1998-09,1998,3,2,43.65,46.4,42.58,46.14,20.07,24469290,0.07268840192410475,2.3693718817684295
1998-04-30,13,1998-13,1998,4,1,46.2,47.44,44.12,45.87,19.95,27034511,-0.005979073243647326,-0.19489557683939154
1998-05-31,17,1998-17,1998,5,1,46.73,47.92,44.83,45.96,19.99,25074021,0.002005012531328232,0.06535596035365672
1998-06-30,22,1998-22,1998,6,1,46.02,47.95,44.66,45.87,20.14,30995743,0.007503751875937992,0.2445944364161168
1998-07-31,26,1998-26,1998,7,1,45.93,46.97,42.91,43.05,18.9,25806915,-0.061569016881827254,-2.006921235388323
1998-08-31,31,1998-31,1998,8,3,43.05,43.85,37.01,37.01,16.24,32584406,-0.14074074074074072,-4.587625328158273
1998-09-30,35,1998-35,1998,9,1,37.03,42.58,35.43,40.53,17.98,45108665,0.1071428571428572,3.492459131398688
1998-10-31,39,1998-39,1998,10,1,40.41,46.11,39.7,44.39,19.68,39916679,0.09454949944382651,3.0819624518831574
1998-11-30,44,1998-44,1998,11,2,45.13,47.83,43.77,46.2,20.49,20906860,0.041158536585365724,1.3416153980372958
1998-12-31,48,1998-48,1998,12,1,45.75,45.75,41.07,43.14,19.32,38030600,-0.0571010248901902,-1.8612812940397052
1999-01-31,01,1999-01,1999,1,4,43.17,46.11,40.56,41.78,18.71,28943986,-0.031573498964803326,-1.0291787778517871
1999-02-28,05,1999-05,1999,2,1,41.78,46.73,41.66,46.67,20.9,28340939,0.117049706039551,3.8153856037300438
1999-03-31,09,1999-09,1999,3,1,46.67,48.15,42.73,44.21,19.98,36096248,-0.044019138755980736,-1.4348604023098868
1999-04-30,13,1999-13,1999,4,1,44.12,63.37,43.88,62.24,28.13,61251427,0.40790790790790776,13.296282512265263
1999-05-31,18,1999-18,1999,5,3,62.24,65.47,56.81,57.64,26.06,41664485,-0.07358691788126559,-2.398660164188505
1999-06-30,22,1999-22,1999,6,1,57.85,63.1,57.17,60.19,27.39,36215761,0.05103607060629334,1.663586314316801
1999-07-31,26,1999-26,1999,7,1,60.19,63.78,57.23,58.83,26.77,35821390,-0.022635998539613067,-0.7378494647813238
1999-08-31,31,1999-31,1999,8,2,59.54,61.41,53.61,53.91,24.53,62806998,-0.08367575644378034,-2.727518823575215
1999-09-30,35,1999-35,1999,9,1,53.91,55.69,50.41,53.91,24.73,39270841,0.008153281695882475,0.2657666956900715
1999-10-31,39,1999-39,1999,10,1,53.61,56.4,49.04,56.1,25.74,42290931,0.04084108370400319,1.3312676133704642
1999-11-30,44,1999-44,1999,11,1,56.1,60.9,54.56,55.57,25.49,42098696,-0.009712509712509698,-0.3165917368530273
1999-12-31,48,1999-48,1999,12,1,55.06,64.61,54.8,63.39,29.28,53143263,0.14868575912122406,4.846603413417402
2000-01-31,01,2000-01,2000,1,3,63.51,67.13,53.79,55.27,25.53,54535691,-0.12807377049180324,-4.17472915296974
2000-02-29,05,2000-05,2000,2,1,55.15,57.26,48.87,51.47,23.77,45487230,-0.06893850372111243,-2.2471391303737733
2000-03-31,09,2000-09,2000,3,1,51.53,56.52,43.65,54.08,25.18,63442717,0.05931846865797219,1.9335617235678029
2000-04-30,14,2000-14,2000,4,3,55.51,59.54,47.44,53.61,24.96,49004554,-0.008737092930897528,-0.2847967732249918
2000-05-31,18,2000-18,2000,5,1,53.7,57.02,48.69,50.79,23.65,42878591,-0.05248397435897445,-1.7107825980195515
2000-06-30,22,2000-22,2000,6,1,50.76,52.19,42.79,42.96,20.18,43228839,-0.14672304439746298,-4.7826262044636545
2000-07-31,27,2000-27,2000,7,3,43.59,48.21,39.58,40.92,19.22,37712877,-0.04757185332011893,-1.550665699570477
2000-08-31,31,2000-31,2000,8,1,41.19,42.16,37.01,37.29,17.52,49934035,-0.08844953173777315,-2.8831261646648882
2000-09-30,35,2000-35,2000,9,1,37.18,39.85,33.89,35.49,16.87,51518837,-0.037100456621004474,-1.2093370660474871
2000-10-31,40,2000-40,2000,10,2,36.12,44.3,32.74,43.59,20.72,62510993,0.22821576763485463,7.438986254984749
2000-11-30,44,2000-44,2000,11,1,43.5,46.61,41.99,43.5,20.68,40167861,-0.0019305019305019266,-0.06292719155673296
2000-12-31,48,2000-48,2000,12,1,44.21,54.62,43.41,52.13,24.98,50433659,0.20793036750483562,6.7777575664152465
2001-01-31,00,2001-00,2001,1,2,49.9,53.11,42.43,48.82,23.39,50246344,-0.06365092073658929,-2.0747835672520623
2001-02-28,04,2001-04,2001,2,1,48.82,49.67,41.25,46.7,22.46,47607560,-0.039760581445062004,-1.296047253550261
2001-03-31,08,2001-08,2001,3,1,46.7,51.28,40.99,44.93,21.72,44808020,-0.03294746215494215,-1.07396487388811
2001-04-30,13,2001-13,2001,4,2,44.93,51.78,44.18,47.61,23.02,37547908,0.059852670349908044,1.950974714286563
2001-05-31,17,2001-17,2001,5,1,47.62,56.46,47.32,50.97,24.64,47279022,0.0703735881841876,2.293917552856129
2001-06-30,21,2001-21,2001,6,1,50.97,52.77,46.04,47.32,23.11,34355259,-0.062094155844155896,-2.0240388147878767
2001-07-31,26,2001-26,2001,7,2,48.11,52.66,47.35,51.81,25.3,31954872,0.09476417135439208,3.0889599587100465
2001-08-31,30,2001-30,2001,8,1,51.81,52.46,47.96,49.9,24.37,32987143,-0.03675889328063242,-1.198203369981842
2001-09-30,35,2001-35,2001,9,4,49.53,51.65,35.67,46.63,23.01,36591167,-0.05580631924497326,-1.8190786995439996
2001-10-31,39,2001-39,2001,10,1,46.26,50.45,44.9,47.32,23.35,40249291,0.014776184267709658,0.4816487169479272
2001-11-30,43,2001-43,2001,11,1,47.68,54.44,47.45,53.37,26.34,34129019,0.1280513918629549,4.173999692800823
2001-12-31,48,2001-48,2001,12,3,53.37,55.04,47.91,48.08,23.96,40291729,-0.09035687167805617,-2.9452983613820347
2002-01-31,00,2002-00,2002,1,2,48.39,52.66,33.67,42.04,20.95,156625122,-0.12562604340567618,-4.0949423427139875
2002-02-28,04,2002-04,2002,2,1,42.7,45.8,40.21,44.52,22.19,47191053,0.05918854415274466,1.929326667337509
2002-03-31,08,2002-08,2002,3,1,44.22,49.1,44.22,46.57,23.45,39376301,0.05678233438485791,1.8508931674289526
2002-04-30,13,2002-13,2002,4,1,46.34,48.11,42.29,45.26,22.79,42444665,-0.02814498933901921,-0.9174221001883122
2002-05-31,17,2002-17,2002,5,1,45.19,49.23,43.95,47.45,23.9,35743050,0.04870557261956998,1.587620737222044
2002-06-30,22,2002-22,2002,6,3,47.45,49.1,43.55,48.93,24.9,35496574,0.04184100418410042,1.36386130654342
2002-07-31,26,2002-26,2002,7,1,48.96,49.43,35.3,41.09,20.91,60312883,-0.16024096385542164,-5.223260162782611
2002-08-31,30,2002-30,2002,8,1,41.13,43.98,37.43,43.01,21.88,41499232,0.046389287422285985,1.5121184442657152
2002-09-30,35,2002-35,2002,9,3,42.7,43.21,37.57,38.87,20.01,42168605,-0.0854661791590492,-2.785879953077923
2002-10-31,39,2002-39,2002,10,1,39.57,42.48,34.3,36.99,19.04,64784767,-0.04847576211894067,-1.580129768595512
2002-11-30,43,2002-43,2002,11,1,36.63,45.83,36.01,45.4,23.37,40104556,0.2274159663865547,7.412915705370743
2002-12-31,48,2002-48,2002,12,2,45.8,45.84,40.72,42.27,22.0,42764837,-0.05862216516902019,-1.9108648164377948
2003-01-31,00,2003-00,2003,1,2,42.63,44.55,39.57,41.36,21.53,47450950,-0.021363636363636362,-0.6963751843819198
2003-02-28,05,2003-05,2003,2,3,40.96,41.6,36.86,38.86,20.22,43765070,-0.060845332094751625,-1.9833317996548079
2003-03-31,09,2003-09,2003,3,3,39.03,42.73,35.34,39.3,20.7,46887457,0.023738872403560762,0.7737990558192912
2003-04-30,13,2003-13,2003,4,1,39.3,46.9,38.71,46.46,24.47,59082408,0.1821256038647343,5.936618130602985
2003-05-31,17,2003-17,2003,5,1,46.46,46.47,43.41,45.26,23.84,46777499,-0.025745811197384505,-0.8392178051746725
