Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,32.55,35.64,30.77,35.14,26.92,101674911,,
1998-02-28,05,1998-05,1998,2,2,35.14,38.06,35.02,36.81,28.2,75008211,0.047548291233283635,2.0877664313658464
1998-03-31,09,1998-09,1998,3,2,36.81,36.81,33.79,35.1,26.89,96721945,-0.04645390070921984,-2.039713562594278
1998-04-30,13,1998-13,1998,4,1,35.1,41.97,34.51,40.96,31.43,130655857,0.16883599851245812,7.413308048674988
1998-05-31,17,1998-17,1998,5,1,40.96,42.21,35.86,37.24,28.57,119701675,-0.09099586382437164,-3.995477123532819
1998-06-30,22,1998-22,1998,6,1,37.24,39.36,34.36,34.55,26.51,167383883,-0.07210360518025893,-3.1659494499442036
1998-07-31,26,1998-26,1998,7,1,34.88,39.77,33.54,33.97,26.1,185022808,-0.01546586193889099,-0.6790802897571437
1998-08-31,31,1998-31,1998,8,3,34.03,34.71,25.65,27.07,20.8,123239228,-0.2030651340996169,-8.916252495257261
1998-09-30,35,1998-35,1998,9,1,27.38,31.44,23.55,25.03,19.23,175676329,-0.0754807692307693,-3.3142351097438048
1998-10-31,39,1998-39,1998,10,1,24.91,27.62,22.2,26.57,20.46,118455853,0.06396255850234,2.808489622692956
1998-11-30,44,1998-44,1998,11,2,27.07,32.68,27.07,31.75,24.45,128614801,0.19501466275659807,8.5627696804035
1998-12-31,48,1998-48,1998,12,1,31.57,33.29,29.16,29.59,22.78,113166650,-0.06830265848670747,-2.9990561987172715
1999-01-31,01,1999-01,1999,1,4,29.59,38.17,28.86,32.55,25.06,185485354,0.10008779631255482,4.394688766112021
1999-02-28,05,1999-05,1999,2,1,32.8,35.51,32.37,34.71,26.72,108380436,0.06624102154828404,2.9085331476871774
1999-03-31,09,1999-09,1999,3,1,34.71,36.19,30.64,30.7,23.64,141471769,-0.1152694610778443,-5.061290430380328
1999-04-30,13,1999-13,1999,4,1,30.7,35.51,29.72,31.32,24.11,158288088,0.019881556683587043,0.8729661060508274
1999-05-31,18,1999-18,1999,5,3,31.2,31.2,28.12,28.73,22.12,142681907,-0.08253836582330976,-3.6241224447005185
1999-06-30,22,1999-22,1999,6,1,28.73,30.83,28.18,30.4,23.4,117840040,0.05786618444846292,2.5408079716260743
1999-07-31,26,1999-26,1999,7,1,29.53,29.53,26.33,27.19,20.93,202950937,-0.10555555555555551,-4.634768985742215
1999-08-31,31,1999-31,1999,8,2,27.19,29.78,24.85,27.38,21.08,139390979,0.007166746297180948,0.31467991705443593
1999-09-30,35,1999-35,1999,9,1,27.38,29.23,24.79,25.65,19.75,101999292,-0.06309297912713463,-2.7703078377776014
1999-10-31,39,1999-39,1999,10,1,25.28,27.5,23.06,26.14,20.17,123164723,0.02126582278481015,0.9337469295725835
1999-11-30,44,1999-44,1999,11,1,25.71,28.61,23.06,27.5,21.4,225020881,0.06098165592464033,2.6776031454826685
1999-12-31,48,1999-48,1999,12,1,27.5,29.59,26.76,28.86,22.45,166912114,0.0490654205607477,2.1543810583012286
2000-01-31,01,2000-01,2000,1,3,28.86,37.49,28.36,35.82,27.88,247072276,0.24187082405345217,10.620145836747026
2000-02-29,05,2000-05,2000,2,1,35.82,38.47,30.58,33.54,26.1,144199796,-0.06384505021520792,-2.803330029132001
2000-03-31,09,2000-09,2000,3,1,33.54,41.93,32.55,40.69,31.67,185073291,0.21340996168582382,9.370476678977916
2000-04-30,14,2000-14,2000,4,3,40.69,43.04,36.56,43.04,33.49,111137455,0.057467634985790994,2.523308327205143
2000-05-31,18,2000-18,2000,5,1,43.04,43.28,37.67,41.62,32.39,110547998,-0.032845625559868696,-1.4421968210101384
2000-06-30,22,2000-22,2000,6,1,41.62,41.99,37.24,38.29,29.8,87972733,-0.0799629515282495,-3.511040283961948
2000-07-31,27,2000-27,2000,7,3,38.17,38.78,34.9,38.04,29.6,86322962,-0.006711409395973145,-0.29468683060176537
2000-08-31,31,2000-31,2000,8,1,38.47,42.42,36.93,38.43,29.9,103293765,0.010135135135135087,0.44501693675334014
2000-09-30,35,2000-35,2000,9,1,38.43,40.94,36.32,37.73,29.36,69094068,-0.018060200668896242,-0.7929933909771898
2000-10-31,40,2000-40,2000,10,2,37.98,41.37,33.05,35.33,27.49,112362290,-0.06369209809264309,-2.796614155673367
2000-11-30,44,2000-44,2000,11,1,35.33,37.73,27.5,28.55,22.21,137911201,-0.19206984357948342,-8.433467565333618
2000-12-31,48,2000-48,2000,12,1,28.73,31.57,25.65,28.55,22.37,114907448,0.007203962179198609,0.3163140045720912
2001-01-31,00,2001-00,2001,1,2,28.05,33.54,27.25,30.04,23.54,136978814,0.05230219043361628,2.296502243129444
2001-02-28,04,2001-04,2001,2,1,30.04,32.53,29.2,30.53,23.92,105872989,0.016142735768904126,0.7088006945060373
2001-03-31,08,2001-08,2001,3,1,30.53,30.58,25.71,28.21,22.11,137164927,-0.07566889632107032,-3.3224954575664847
2001-04-30,13,2001-13,2001,4,2,28.21,31.57,26.11,29.84,23.38,106079776,0.05744007236544557,2.522098098361475
2001-05-31,17,2001-17,2001,5,1,29.87,34.33,29.45,31.19,24.44,118274406,0.045337895637296954,1.990711634954791
2001-06-30,21,2001-21,2001,6,1,31.19,31.97,26.98,28.5,22.33,102690826,-0.08633387888707045,-3.790777114275337
2001-07-31,26,2001-26,2001,7,2,28.5,28.63,25.68,25.99,20.37,118252003,-0.0877742946708463,-3.8540233770237164
2001-08-31,30,2001-30,2001,8,1,26.19,27.6,24.09,25.09,19.66,115701570,-0.03485517918507608,-1.5304329803318995
2001-09-30,35,2001-35,2001,9,4,24.76,25.7,15.29,18.37,14.39,310772425,-0.26805696846388605,-11.76993591014367
2001-10-31,39,2001-39,2001,10,1,18.37,20.21,17.57,18.34,14.37,185160265,-0.001389854065323215,-0.06102618173685259
2001-11-30,43,2001-43,2001,11,1,18.39,21.61,17.81,20.19,15.82,204302688,0.10090466249130148,4.4305560021928745
2001-12-31,48,2001-48,2001,12,3,20.19,22.59,19.24,20.44,16.19,167536948,0.023388116308470375,1.0269333104346023
2002-01-31,00,2002-00,2002,1,2,20.62,23.28,19.75,20.78,16.45,165680282,0.016059295861642786,0.7051369868753714
2002-02-28,04,2002-04,2002,2,1,22.15,24.27,20.91,22.69,17.97,161980134,0.092401215805471,4.057183792990142
2002-03-31,08,2002-08,2002,3,1,22.64,24.66,22.34,22.77,18.03,141964624,0.0033388981636062187,0.14660546831274074
2002-04-30,13,2002-13,2002,4,1,22.34,24.83,21.8,22.87,18.11,158859502,0.00443704936217415,0.19482346205064033
2002-05-31,17,2002-17,2002,5,1,23.11,24.64,22.29,22.6,17.9,116814594,-0.011595803423522955,-0.5091524533147037
2002-06-30,22,2002-22,2002,6,3,22.69,23.04,18.2,18.64,14.76,178855652,-0.1754189944134078,-7.702356456164366
2002-07-31,26,2002-26,2002,7,1,18.64,19.73,14.7,17.49,13.85,192060717,-0.06165311653116534,-2.707085864586277
2002-08-31,30,2002-30,2002,8,1,17.2,17.31,13.3,15.47,12.25,262814902,-0.1155234657039711,-5.07244335129682
2002-09-30,35,2002-35,2002,9,3,15.37,16.42,14.34,14.94,11.83,156123060,-0.03428571428571425,-1.5054287231884478
2002-10-31,39,2002-39,2002,10,1,15.04,17.9,13.71,16.47,13.05,228564317,0.1031276415891802,4.528163319255204
2002-11-30,43,2002-43,2002,11,1,16.52,19.93,16.31,19.55,15.48,144298328,0.18620689655172407,8.176035306971746
2002-12-31,48,2002-48,2002,12,2,19.63,19.97,15.29,16.09,12.9,147783476,-0.16666666666666663,-7.318056293277183
2003-01-31,00,2003-00,2003,1,2,16.57,18.29,16.03,17.26,13.84,147870652,0.0728682170542636,3.1995222863630497
2003-02-28,05,2003-05,2003,2,3,17.42,17.56,15.67,16.83,13.49,120868928,-0.025289017341040387,-1.1103987150203787
2003-03-31,09,2003-09,2003,3,3,16.87,18.49,14.64,16.79,13.46,195078662,-0.002223869532987366,-0.09764641458783352
2003-04-30,13,2003-13,2003,4,1,16.79,19.02,16.69,18.41,14.76,201008313,0.0965824665676076,4.2407755637118845
2003-05-31,17,2003-17,2003,5,1,18.45,19.58,17.21,19.38,15.54,185501876,0.05284552845528445,2.3203593125025175
2003-06-30,22,2003-22,2003,6,2,19.63,21.26,18.6,19.48,15.62,209445919,0.005148005148005064,0.22604034882709081
2003-07-31,26,2003-26,2003,7,1,19.49,21.93,19.14,21.62,17.34,179229196,0.11011523687580027,4.834977013227948
2003-08-31,30,2003-30,2003,8,1,22.08,23.48,19.88,20.22,16.21,178924480,-0.06516724336793533,-2.86138533266547
2003-09-30,35,2003-35,2003,9,2,20.45,21.25,19.51,19.9,15.95,197219158,-0.01603948180135728,-0.7042669844239651
2003-10-31,39,2003-39,2003,10,1,20.14,22.64,20.09,22.33,17.91,158181553,0.12288401253918502,5.395632727833212
2003-11-30,44,2003-44,2003,11,3,22.54,23.44,22.08,22.78,18.26,118907045,0.019542155220547253,0.8580635519755524
2003-12-31,48,2003-48,2003,12,1,22.78,23.24,21.27,23.02,18.63,177671568,0.02026286966045987,0.889708925031502
2004-01-31,00,2004-00,2004,1,2,23.17,24.74,22.67,23.68,19.16,185083732,0.028448738593666256,1.2491368230070612
2004-02-29,05,2004-05,2004,2,2,23.48,28.03,22.59,26.17,21.18,408998277,0.10542797494780798,4.629167133325653
2004-03-31,09,2004-09,2004,3,1,26.44,26.68,24.22,24.65,19.95,202174758,-0.058073654390934815,-2.5499176319351085
2004-04-30,13,2004-13,2004,4,1,24.76,26.29,22.59,22.72,18.39,208253522,-0.07819548872180448,-3.4334339300789187
2004-05-31,18,2004-18,2004,5,3,22.87,23.61,21.1,23.15,18.74,167274607,0.01903208265361589,0.8356671134247918
2004-06-30,22,2004-22,2004,6,1,23.48,25.25,23.06,25.15,20.35,149132386,0.08591248665955198,3.7722744820201592
2004-07-31,26,2004-26,2004,7,1,25.0,25.16,22.27,22.78,18.44,116480488,-0.09385749385749387,-4.121126541570346
2004-08-31,31,2004-31,2004,8,2,22.79,22.87,20.6,22.15,17.92,144089609,-0.02819956616052055,-1.2381960756521024
2004-09-30,35,2004-35,2004,9,1,22.16,23.33,21.7,22.25,18.0,130669943,0.004464285714285587,0.19601936499849043
