Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2017-08-31,32,2017-32,2017,8,9,19.92,19.99,19.61,19.77,17.32,22100,,
2017-09-30,35,2017-35,2017,9,1,19.77,20.32,19.74,20.25,17.78,24700,0.026558891454965483,1.8631051626275639
2017-10-31,40,2017-40,2017,10,2,20.33,21.11,20.33,20.95,18.4,65000,0.03487064116985361,2.4461740693450933
2017-11-30,44,2017-44,2017,11,1,21.07,21.5,20.9,21.49,18.87,29900,0.025543478260869668,1.79187396808287
2017-12-31,48,2017-48,2017,12,1,21.67,22.27,21.6,22.13,19.54,51300,0.035506094329623705,2.4907510828316375
2018-01-31,00,2018-00,2018,1,2,22.13,23.5,22.1,23.08,20.38,37200,0.04298874104401218,3.015658447558599
2018-02-28,04,2018-04,2018,2,1,23.08,23.16,19.75,22.18,19.58,142300,-0.03925417075564286,-2.7536784927003723
2018-03-31,08,2018-08,2018,3,1,22.0,22.47,21.03,21.4,18.95,46100,-0.03217568947906024,-2.2571233171078315
2018-04-30,13,2018-13,2018,4,2,20.89,22.03,20.87,21.73,19.24,516000,0.015303430079155689,1.073535001817792
2018-05-31,17,2018-17,2018,5,1,21.44,22.3,21.1,21.92,19.41,101500,0.008835758835758822,0.6198281253774479
2018-06-30,21,2018-21,2018,6,1,21.98,22.57,21.55,21.84,19.42,84100,0.0005151983513653757,0.03614114353506208
2018-07-31,26,2018-26,2018,7,2,21.62,22.8,21.61,22.66,20.16,287400,0.03810504634397516,2.6730674616447376
2018-08-31,30,2018-30,2018,8,1,22.69,23.49,22.52,23.31,20.73,82900,0.028273809523809534,1.9834065958769285
2018-09-30,35,2018-35,2018,9,4,23.19,23.9,23.14,23.62,21.13,48400,0.01929570670525793,1.3535930458570444
2018-10-31,39,2018-39,2018,10,1,23.81,23.96,22.13,22.7,20.31,184000,-0.03880738286796026,-2.72233634042898
2018-11-30,43,2018-43,2018,11,1,22.77,23.74,22.39,23.43,20.96,2106700,0.03200393894633202,2.245075024175404
2018-12-31,48,2018-48,2018,12,3,23.79,23.79,20.07,21.31,19.14,2792800,-0.08683206106870234,-6.091265576088085
2019-01-31,00,2019-00,2019,1,2,21.17,22.68,20.95,22.68,20.38,73400,0.06478578892371978,4.5447204757529605
2019-02-28,04,2019-04,2019,2,1,22.75,23.8,22.6,23.55,21.15,58800,0.03778213935230612,2.6504155492240993
2019-03-31,08,2019-08,2019,3,1,23.67,23.96,23.06,23.65,21.35,47600,0.009456264775413947,0.6633565919767718
2019-04-30,13,2019-13,2019,4,1,23.89,24.35,23.8,24.3,21.94,88500,0.02763466042154561,1.9385703121737523
2019-05-31,17,2019-17,2019,5,1,24.34,24.36,22.81,22.81,20.59,530800,-0.061531449407475014,-4.316428690158689
2019-06-30,22,2019-22,2019,6,3,22.88,24.6,22.87,24.44,22.1,1621300,0.0733365711510443,5.144557503561359
2019-07-31,26,2019-26,2019,7,1,24.73,25.17,24.48,24.67,22.31,1162100,0.00950226244343888,0.666583326530486
