Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,37.06,38.31,33.01,37.12,20.82,32980392,,
1998-02-28,05,1998-05,1998,2,2,38.61,41.05,38.02,40.58,22.84,27839471,0.09702209414024976,4.0567122534887545
1998-03-31,09,1998-09,1998,3,2,40.1,41.77,38.43,40.04,22.54,25981530,-0.013134851138353776,-0.5491977062841545
1998-04-30,13,1998-13,1998,4,1,40.04,45.34,39.33,41.77,23.51,35329952,0.04303460514640656,1.7993737567560228
1998-05-31,17,1998-17,1998,5,1,41.77,43.14,37.78,40.76,23.02,26275960,-0.020842194810718917,-0.8714591024599122
1998-06-30,22,1998-22,1998,6,1,40.76,42.54,38.13,42.31,23.9,28931801,0.038227628149435144,1.5983832230157013
1998-07-31,26,1998-26,1998,7,1,42.54,44.51,40.82,41.47,23.42,31045465,-0.020083682008368076,-0.8397439739936404
1998-08-31,31,1998-31,1998,8,3,41.65,42.01,31.94,32.71,18.55,63808102,-0.20794192997438088,-8.694520385447124
1998-09-30,35,1998-35,1998,9,1,32.71,35.1,31.1,33.73,19.12,31851868,0.030727762803234526,1.2847969629060472
1998-10-31,39,1998-39,1998,10,1,32.77,38.37,31.52,37.12,21.05,25496619,0.1009414225941423,4.220588202624314
1998-11-30,44,1998-44,1998,11,2,37.78,42.9,37.54,41.95,23.87,26691748,0.13396674584323032,5.601451341965923
1998-12-31,48,1998-48,1998,12,1,41.47,43.02,38.31,42.25,24.04,29868588,0.007121910347716698,0.29778311045385886
1999-01-31,01,1999-01,1999,1,4,41.59,42.72,36.05,37.18,21.16,33248703,-0.11980033277870217,-5.009121708431314
1999-02-28,05,1999-05,1999,2,1,36.94,42.25,36.7,39.45,22.53,29752788,0.06474480151228734,2.7071259590101153
1999-03-31,09,1999-09,1999,3,1,39.68,48.56,38.67,46.89,26.79,45242478,0.18908122503328895,7.905911836827658
1999-04-30,13,1999-13,1999,4,1,46.95,58.16,46.95,56.01,32.0,49594829,0.19447555057857424,8.131460736104488
1999-05-31,18,1999-18,1999,5,3,55.89,62.68,53.39,55.36,31.71,40354656,-0.009062499999999973,-0.3789235340983034
1999-06-30,22,1999-22,1999,6,1,55.53,65.42,54.16,60.06,34.41,59588123,0.08514664143803197,3.560172832033127
1999-07-31,26,1999-26,1999,7,1,60.18,64.83,58.57,61.67,35.33,34307159,0.026736413833188033,1.1179096737971206
1999-08-31,31,1999-31,1999,8,2,61.55,64.05,58.33,58.57,33.65,32442720,-0.04755165581658649,-1.9882418178479615
1999-09-30,35,1999-35,1999,9,1,58.63,62.74,54.04,57.14,32.82,38289669,-0.024665676077265886,-1.0313274648410033
1999-10-31,39,1999-39,1999,10,1,57.14,61.25,49.87,54.28,31.18,49821814,-0.049969530773918414,-2.0893386149613407
1999-11-30,44,1999-44,1999,11,1,54.34,59.59,52.44,57.2,32.95,37466794,0.05676715843489433,2.3735627359854936
1999-12-31,48,1999-48,1999,12,1,58.99,61.02,51.42,55.0,31.68,82485016,-0.03854324734446135,-1.611579972346305
2000-01-31,01,2000-01,2000,1,3,55.0,57.68,42.54,45.76,26.36,80936404,-0.16792929292929293,-7.021501920595542
2000-02-29,05,2000-05,2000,2,1,45.76,47.55,40.28,45.88,26.54,62199071,0.006828528072837514,0.2855161368330014
2000-03-31,09,2000-09,2000,3,1,46.72,51.48,38.43,50.23,29.05,78221401,0.09457422758100975,3.954361439957358
2000-04-30,14,2000-14,2000,4,3,52.44,55.71,48.62,53.39,30.88,48185933,0.06299483648881243,2.633955980390139
2000-05-31,18,2000-18,2000,5,1,52.55,54.34,49.93,52.14,30.26,38383962,-0.020077720207253846,-0.8394946976628491
2000-06-30,22,2000-22,2000,6,1,51.9,56.37,30.63,32.12,18.64,156403572,-0.3840052875082618,-16.0561258653866
2000-07-31,27,2000-27,2000,7,3,32.59,35.99,31.46,32.41,18.81,116063288,0.009120171673819621,0.3813349166595289
2000-08-31,31,2000-31,2000,8,1,32.41,38.97,31.58,37.06,21.62,102447789,0.14938862307283363,6.2462747595958765
2000-09-30,35,2000-35,2000,9,1,37.06,39.8,32.65,33.96,19.81,74659193,-0.08371877890841828,-3.500470684068684
2000-10-31,40,2000-40,2000,10,2,34.32,51.6,31.82,51.3,29.93,214885513,0.5108531044926805,21.359918759664215
2000-11-30,44,2000-44,2000,11,1,50.41,51.96,44.81,46.48,27.21,126427474,-0.09087871700634809,-3.7998438203989084
2000-12-31,48,2000-48,2000,12,1,47.31,53.09,43.85,45.11,26.41,98074250,-0.029400955531054818,-1.2293201628352426
2001-01-31,00,2001-00,2001,1,2,44.33,47.13,40.46,45.05,26.38,112826453,-0.0011359333585763132,-0.047495931887657175
2001-02-28,04,2001-04,2001,2,1,45.43,47.61,43.62,44.55,26.19,85128588,-0.007202426080363811,-0.3011496545603591
2001-03-31,08,2001-08,2001,3,1,43.62,44.93,33.22,38.9,22.87,127988467,-0.12676594119893092,-5.300369483298954
2001-04-30,13,2001-13,2001,4,2,38.56,47.62,35.71,46.6,27.39,99372382,0.19763882815916034,8.26372449557148
2001-05-31,17,2001-17,2001,5,1,45.76,51.39,45.08,46.14,27.13,87775618,-0.00949251551661201,-0.39690345125932314
2001-06-30,21,2001-21,2001,6,1,46.05,46.88,31.46,33.27,19.56,436129632,-0.2790269074824917,-11.666743381162638
2001-07-31,26,2001-26,2001,7,2,32.8,35.94,32.3,35.15,20.77,170412727,0.06186094069529657,2.5865452436863343
2001-08-31,30,2001-30,2001,8,1,35.42,37.26,33.7,35.52,21.1,70418132,0.01588830043331746,0.6643256221802234
2001-09-30,35,2001-35,2001,9,4,35.52,36.47,21.12,25.17,14.95,122567796,-0.2914691943127963,-12.186983414045814
2001-10-31,39,2001-39,2001,10,1,25.69,29.55,24.14,28.17,16.73,87109768,0.11906354515050177,4.978314958422199
2001-11-30,43,2001-43,2001,11,1,28.36,32.27,27.67,31.59,18.88,66996477,0.12851165570830836,5.373361738352194
2001-12-31,48,2001-48,2001,12,3,31.46,33.27,29.79,32.24,19.27,57790813,0.02065677966101709,0.8637064774888354
2002-01-31,00,2002-00,2002,1,2,32.37,33.68,27.23,32.04,19.15,107148696,-0.00622729631551644,-0.2603772830623823
2002-02-28,04,2002-04,2002,2,1,32.75,36.7,28.74,36.34,21.84,99747683,0.14046997389033944,5.87336595213506
2002-03-31,08,2002-08,2002,3,1,36.75,38.97,35.62,36.49,21.93,73144566,0.004120879120879106,0.1723032364221159
2002-04-30,13,2002-13,2002,4,1,36.49,39.04,34.08,34.97,21.02,76132704,-0.041495668034655764,-1.7350273303681996
2002-05-31,17,2002-17,2002,5,1,35.27,37.67,33.84,37.37,22.57,59590850,0.07373929590865846,3.083206025669463
2002-06-30,22,2002-22,2002,6,3,37.37,37.37,32.39,33.59,20.28,59258870,-0.10146211785556047,-4.242359644129949
2002-07-31,26,2002-26,2002,7,1,33.59,35.06,26.27,30.85,18.63,83295614,-0.08136094674556227,-3.401884411411024
2002-08-31,30,2002-30,2002,8,1,30.85,32.29,27.27,28.55,17.34,79092522,-0.06924315619967791,-2.895212298957559
2002-09-30,35,2002-35,2002,9,3,28.27,29.36,20.34,20.65,12.54,125605966,-0.2768166089965398,-11.574325823787849
2002-10-31,39,2002-39,2002,10,1,21.07,23.54,17.89,22.82,13.86,98762439,0.10526315789473695,4.401289688256173
2002-11-30,43,2002-43,2002,11,1,22.59,25.99,20.5,24.8,15.18,101016551,0.09523809523809534,3.9821192417555853
2002-12-31,48,2002-48,2002,12,2,25.65,25.73,20.97,22.88,14.01,90894454,-0.07707509881422925,-3.2226834575077286
2003-01-31,00,2003-00,2003,1,2,23.98,24.79,21.36,23.3,14.27,75266723,0.01855817273376159,0.775958995716826
2003-02-28,05,2003-05,2003,2,3,23.34,23.66,20.88,21.82,13.47,60888562,-0.05606166783461797,-2.3440645851959925
2003-03-31,09,2003-09,2003,3,3,22.26,23.07,19.26,20.36,12.57,99140152,-0.06681514476614703,-2.7936916729465673
2003-04-30,13,2003-13,2003,4,1,20.9,22.5,20.45,22.5,13.89,77636738,0.1050119331742243,4.390785416923813
2003-05-31,17,2003-17,2003,5,1,22.63,25.15,21.94,24.98,15.54,85532837,0.1187904967602591,4.966898190310684
2003-06-30,22,2003-22,2003,6,2,25.41,27.85,25.1,25.6,15.92,93187058,0.024453024453024552,1.0224360215318427
2003-07-31,26,2003-26,2003,7,1,25.87,27.72,24.94,26.96,16.77,78334368,0.053391959798994915,2.23243807994149
2003-08-31,30,2003-30,2003,8,1,26.81,28.49,25.88,27.64,17.3,61265227,0.031604054859868835,1.321436707237318
2003-09-30,35,2003-35,2003,9,2,27.97,28.67,24.73,25.12,15.73,79279648,-0.09075144508670518,-3.7945222948173845
2003-10-31,39,2003-39,2003,10,1,25.12,29.6,25.03,29.18,18.27,87193367,0.16147488874761606,6.751628746193348
2003-11-30,44,2003-44,2003,11,3,29.55,29.67,27.27,28.31,17.84,58726340,-0.023535851122058027,-0.9840869390545405
2003-12-31,48,2003-48,2003,12,1,28.54,31.94,27.84,31.87,20.08,104915562,0.12556053811659185,5.249968865812288
2004-01-31,00,2004-00,2004,1,2,31.51,35.89,31.32,34.44,21.7,99406261,0.08067729083665354,3.3732992182401675
2004-02-29,05,2004-05,2004,2,2,34.28,35.28,32.81,33.42,21.16,65342448,-0.024884792626728047,-1.0404892212329073
2004-03-31,09,2004-09,2004,3,1,33.52,33.84,29.77,32.27,20.44,77647645,-0.03402646502835538,-1.4227231317425417
2004-04-30,13,2004-13,2004,4,1,32.26,34.31,32.2,32.97,20.88,63168897,0.02152641878669259,0.9000680477940628
2004-05-31,18,2004-18,2004,5,3,32.98,33.56,30.93,32.13,20.47,50799821,-0.019636015325670497,-0.8210260218274797
2004-06-30,22,2004-22,2004,6,1,32.04,35.84,31.46,34.92,22.25,64826911,0.0869565217391306,3.6358480033420597
2004-07-31,26,2004-26,2004,7,1,34.84,36.67,33.46,35.86,22.84,77578418,0.026516853932584183,1.108729379895539
2004-08-31,31,2004-31,2004,8,2,35.18,35.88,32.41,34.3,21.97,71011812,-0.038091068301225994,-1.59267334822405
2004-09-30,35,2004-35,2004,9,1,34.19,35.35,33.37,34.19,21.9,61386376,-0.003186162949476601,-0.13322064827903463
